"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5

0	0.1329650	0.0199478	0.0717017	0.5039618	0.0882634	0.7401505	0.6863510	0.1650085	0.3992495	0.2635863	0.3902670	0.5785696	0.1101332
50	0.0606530	0.0324979	0.0656708	0.4768240	0.0852140	0.7317484	0.7092114	0.2333910	0.3704238	0.2065299	0.3185290	0.6375826	0.1747359
100	0.0460979	0.0384874	0.0666026	0.3892137	0.1000153	0.6754688	0.9056250	0.1654512	0.4253738	0.2547941	0.3704934	0.6211298	0.1371531
150	0.0661970	0.0444557	0.0721424	0.4464311	0.1208590	0.6260553	0.8976183	0.1697105	0.5715894	0.1881444	0.2248163	0.4449744	0.2008869
200	0.1042461	0.0387565	0.0691167	0.4309261	0.0980661	0.6783272	0.7580215	0.1577929	0.3581551	0.2380055	0.3565729	0.5178266	0.1607943
250	0.0580208	0.0388946	0.0782620	0.4802465	0.1435830	0.6333731	0.8252845	0.0973514	0.4992458	0.1511480	0.3488622	0.4993968	0.1652819
300	0.1042595	0.0359286	0.0888340	0.5794255	0.0974604	0.6529899	0.6808936	0.1233868	0.4744743	0.2201444	0.3111416	0.5871151	0.1459771
350	0.1044141	0.0416810	0.0439912	0.5426092	0.0912689	0.8531749	0.9061677	0.1918456	0.5099131	0.1631734	0.2808391	0.7161905	0.1872553
400	0.1327955	0.0302461	0.1035072	0.5289572	0.1323901	0.6621545	0.6979939	0.1709679	0.4076040	0.2139584	0.2753083	0.6182533	0.0822266
450	0.1553004	0.0255123	0.0514556	0.5687996	0.0777897	0.5755949	0.8040956	0.1929602	0.5122097	0.2652348	0.3772800	0.6728604	0.1085425
500	0.0760067	0.0428434	0.0689934	0.6338699	0.1012387	0.7723265	0.7616287	0.1908770	0.5798998	0.1791215	0.3771936	0.5409102	0.1762690
550	0.0955376	0.0562370	0.0762602	0.4538533	0.0931675	0.6943870	0.6832119	0.1937198	0.4123831	0.2077540	0.5503039	0.5208627	0.1033760
600	0.1072666	0.0410692	0.0750803	0.4022773	0.0818006	0.6072644	0.8394367	0.1581897	0.5254939	0.1672764	0.4944226	0.4764058	0.1192472
650	0.0605705	0.0236227	0.0655944	0.4035517	0.1174898	0.8592997	0.8237147	0.1497863	0.5617738	0.1974966	0.4323886	0.5698789	0.1090598
700	0.0602926	0.0263010	0.1033088	0.4238815	0.0625315	0.7433013	0.7096740	0.1423411	0.4446951	0.1139325	0.3691657	0.6083604	0.1340368
750	0.1040279	0.0119816	0.0627849	0.4149746	0.0865137	0.7238208	0.8730478	0.1335572	0.4302800	0.1929099	0.3160637	0.5373270	0.1245207
800	0.0561283	0.0321160	0.0612688	0.4882947	0.0945350	0.7359893	0.8034756	0.1509908	0.4538148	0.2358096	0.3598578	0.5788794	0.1152580
850	0.0766683	0.0402152	0.1136243	0.4021369	0.0947119	0.7935820	0.7171263	0.1226636	0.4389626	0.2280846	0.4161029	0.4917441	0.1263139
900	0.0819367	0.0368346	0.0739555	0.5182313	0.1096377	0.7782164	0.8195680	0.1449565	0.4720436	0.2208244	0.3827877	0.5817062	0.1349005
950	0.0768696	0.0710496	0.0986310	0.4564959	0.1365685	0.5577002	0.7608860	0.2027261	0.5080252	0.1892758	0.4020221	0.4598088	0.2256959
1000	0.0513384	0.0464060	0.0775816	0.5434471	0.0592884	0.8299038	0.7550579	0.2062938	0.5181515	0.2819353	0.3080837	0.4696145	0.1442942

0	0.0683269	0.0224264	0.0955926	0.4751890	0.0930268	0.5858104	0.7477493	0.1728585	0.4476193	0.1886957	0.5312682	0.5627110	0.1351945
50	0.0262389	0.0624232	0.0023192	0.4677982	0.0815242	0.5703746	0.7800821	0.1431659	0.5625810	0.1366120	0.1144953	0.5974998	0.1958946
100	0.0169515	0.0448721	0.0001028	0.5289493	0.0764190	0.7185111	0.9119921	0.0893058	0.4284590	0.1981002	0.0267190	0.5533034	0.2133996
150	0.0281873	0.0206625	0.0004143	0.3956998	0.1352009	0.7451359	0.8787832	0.1414232	0.2658328	0.1206733	0.0153805	0.5991799	0.0899795
