G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0000000	0.7121802	0.7783473	0.5925766	0.8737568	0.3653923	0.0000000	0.7486787	0.5365676	0.8054695	0.3260618	0.3068172	0.7150558
0.7076551	0.7538361	0.7195652	0.5282411	0.9592846	0.0000000	0.0000000	0.8123896	0.4941280	0.6290627	0.7924935	0.2170845	0.2753268
0.9130755	0.5942730	0.7287762	0.5273446	0.9998974	0.2003257	0.0000000	0.3019815	0.0440444	0.0000000	0.7622243	0.2289520	0.2931069
0.0000000	0.0417833	0.1073590	0.4777982	0.0626846	0.6347317	0.7893775	0.1584331	0.6404795	0.2061053	0.0000000	0.3707403	0.1984514
0.0000000	0.0920770	0.0613700	0.3448729	0.1245345	0.6802386	0.6609822	0.1271714	0.5175882	0.1766455	0.3218838	0.0000000	0.2766186
0.0000000	0.0541517	0.1347642	0.6484574	0.0993592	0.8679886	0.7915242	0.1350209	0.5685266	0.2478961	0.2631664	0.5703799	0.0000000
0.0796256	0.0143405	0.0000000	0.7462794	0.1442726	0.0000000	0.8727526	0.2623459	0.6860189	0.4342474	0.3035343	0.4810031	0.2391120
0.8263475	0.6555119	0.0000000	0.8026970	1.0000000	0.1946752	0.0000000	0.6832538	0.4975369	0.8044760	0.8509056	0.2101839	0.2820829
0.7532981	0.0256898	0.9505623	0.7354758	0.0000000	0.1851491	0.0000000	0.6390126	0.4664170	0.7816422	0.7057596	0.2567156	0.2826116
0.7365667	0.6349281	0.7738570	0.6885958	0.7186820	0.2178332	0.0000000	0.0000000	0.5400719	0.9782354	0.8394547	0.2385337	0.2620020
0.7261461	0.6066987	0.8161966	0.5403155	0.7960624	0.1608383	0.0000000	0.7442258	0.5361516	0.8829397	0.0000000	0.0523376	0.2376065
0.7750009	0.6372334	0.7695436	0.6288612	0.6991742	0.2351691	0.0000000	0.7139705	0.6860054	0.8605118	0.7038351	0.0000000	0.2464393
0.7423485	0.5642238	0.7026170	0.8153147	0.8380273	0.2156794	0.0000000	0.7555544	0.5425166	0.7672487	0.8844420	0.2012041	0.0000000
