G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0068938	0.2135979	0.0005200	0.1142755	0.0733856	0.7090580	0.8403162	0.1524543	0.5876518	0.1856053	0.2245046	0.4857157	0.1762074
0.1201457	0.0468253	0.1193227	0.3690864	0.0223033	0.7428403	0.6347926	0.2528498	0.5752370	0.2940994	0.0650933	0.4197678	0.2647524
0.0196213	0.0918944	0.1179474	0.7880082	0.1049541	0.3829159	0.7846030	0.3928158	0.7040395	0.4166166	0.1160766	0.6887824	0.0739035
0.0352426	0.1455881	0.0837121	0.4880690	0.0040331	0.7087214	0.8750707	0.1324498	0.5697394	0.2509559	0.2850094	0.5120982	0.0754224
0.0568433	0.0640553	0.0831240	0.4713485	0.0130388	0.7890359	0.8079971	0.2579102	0.7425729	0.1892143	0.2363285	0.4974676	0.0040612
0.0216915	0.0495607	0.0003774	0.4504766	0.0170139	0.5385696	0.8665370	0.3397738	0.6419104	0.2334308	0.0453064	0.3993295	0.2281212
0.3258073	0.0262108	0.0498174	0.4405608	0.1100040	0.7087324	0.6079913	0.0480227	0.0836457	0.0717951	0.4643682	0.8557122	0.0016082
0.0015126	0.0243833	0.0353432	0.7163253	0.0846455	0.4392149	0.7936746	0.2069024	0.6052388	0.2813606	0.0613900	0.3525661	0.1665968
0.0772755	0.0201119	0.1584476	0.5527144	0.1008904	0.8834802	0.8073875	0.0500776	0.5106639	0.1800289	0.1759712	0.4642107	0.1915375
0.0011626	0.0055570	0.0649915	0.6350660	0.0806227	0.6091080	0.9504358	0.3757274	0.7543889	0.1807292	0.1197897	0.7767513	0.0977232
0.0636202	0.0007413	0.0731493	0.4979929	0.0221135	0.7104332	0.9260420	0.0828813	0.2317512	0.2167793	0.4873116	0.5050723	0.1197311
0.0145520	0.0013286	0.0013414	0.6428016	0.0762910	0.4554477	0.5577584	0.1339856	0.5188709	0.2601377	0.3794099	0.4920598	0.0251583
0.0002453	0.1390713	0.0743098	0.4900627	0.0876291	0.7713645	0.8867543	0.3930768	0.6954545	0.1178051	0.1481000	0.3980262	0.1886110
