G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0000000	0.7978103	0.9698205	0.6894741	1.0159206	0.4949210	0.0000000	0.8698693	0.6637180	0.9591271	0.4513317	0.3730184	0.9986101
0.8966683	0.8606546	1.0906106	0.7370076	0.9580356	0.0000000	0.0000000	0.8895852	0.6457814	0.9040190	0.9561614	0.2738287	0.3735718
1.0245850	0.7971492	0.9735810	0.7610750	1.1248807	0.2579091	0.0000000	0.3753300	0.0307281	0.0000000	0.9757764	0.2432722	0.3598027
0.0000000	0.0501287	0.1063626	0.5965056	0.1164641	0.8996884	1.0361737	0.2375334	0.7773666	0.2500731	0.0000000	0.5024921	0.2602672
0.0000000	0.0613178	0.1094372	0.5334454	0.1280885	0.8806291	0.9953890	0.1524230	0.5827526	0.2302151	0.3875913	0.0000000	0.2770634
0.0000000	0.0395491	0.1433718	0.7065619	0.1123175	0.9591830	0.9896094	0.2257946	0.6823161	0.2745296	0.3921372	0.6502294	0.0000000
0.0754876	0.0349481	0.0000000	0.9877354	0.1369289	0.0000000	0.9713616	0.3153678	0.9637481	0.6202992	0.4582195	0.6958453	0.2122356
1.0332513	0.8945505	0.0000000	1.0619136	1.0935836	0.2236418	0.0000000	0.9261369	0.7100830	1.0078346	0.9810700	0.2382368	0.3454749
0.9618175	0.0274826	1.0368320	0.7820277	0.0000000	0.2345786	0.0000000	0.8809058	0.7045277	0.9605099	0.9443981	0.2504087	0.3871142
0.9727123	0.7602956	0.9991458	0.7362107	1.0376930	0.2628306	0.0000000	0.0000000	0.6408636	1.1200538	0.9884520	0.3053918	0.3555634
1.0278784	0.7645096	1.0071745	0.7055357	1.0215046	0.2127828	0.0000000	0.9273296	0.6787294	1.0358055	0.0000000	0.0784605	0.2942142
1.0919671	0.8402180	1.0885964	0.7324349	1.0163874	0.2597158	0.0000000	0.9118579	0.7579565	0.9675819	1.0051484	0.0000000	0.3469477
0.9602809	0.7514102	0.9540584	0.7698146	0.9867300	0.2899817	0.0000000	0.9345143	0.6518181	1.0059880	1.0758708	0.2647418	0.0000000
