G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0677897	0.0618147	0.1238882	0.7305856	0.1279661	0.9724308	0.9425225	0.2303203	0.7094438	0.2612823	0.3764582	0.6944135	0.1989573
0.0779573	0.0115563	0.1175196	0.6447457	0.1139626	0.9645946	1.0785128	0.1985060	0.6962111	0.2767162	0.4748775	0.6532873	0.2450115
0.1142369	0.0563664	0.0464785	0.7576288	0.1220029	0.8950987	0.9507304	0.1954775	0.5098784	0.2648848	0.4416807	0.6177487	0.1914019
0.0926042	0.0708792	0.1231854	0.3664850	0.1108530	0.9261469	1.0255084	0.2050336	0.6430655	0.2419983	0.4141413	0.6731238	0.1760900
0.1080257	0.0375317	0.1315692	0.7382434	0.0494500	0.8918070	0.9845953	0.1742646	0.3967508	0.2365752	0.4483644	0.6226882	0.1940378
0.0872616	0.0651117	0.1118314	1.0137770	0.1213624	0.4499797	0.9869627	0.3070218	0.9179139	0.5352969	0.4610077	0.8556779	0.1475351
0.1376109	0.2949845	0.1205176	0.8639129	0.5604747	0.7312921	0.5315771	0.2895600	0.7945096	0.4139831	0.4916396	0.5318661	0.2693761
0.0780710	0.0444169	0.1213625	0.7040307	0.1260988	0.8889860	1.0841729	0.1118515	0.4421668	0.2852724	0.4304555	0.7856397	0.1736985
0.0836296	0.0438634	0.1076936	0.6245189	0.0995116	0.9353654	1.0730883	0.2532203	0.3503925	0.3021051	0.4358959	0.6759149	0.2389276
0.1291253	0.0356013	0.1087336	0.6941049	0.1410196	0.9546684	1.0383694	0.1200426	0.2071062	0.1245282	0.4956760	0.7193253	0.0997237
0.0892637	0.0489533	0.1253417	0.5431604	0.1281785	0.9960890	1.0425373	0.1946563	0.6998796	0.2630765	0.2396248	0.6185552	0.2471605
0.1060288	0.0352114	0.1019375	0.5892354	0.1105192	0.9208820	1.0116163	0.2170227	0.5087306	0.2562497	0.4062090	0.3496970	0.2201743
0.1043523	0.0725940	0.1138922	0.5810518	0.1435196	0.9253114	0.9182838	0.1695602	0.6161053	0.2509988	0.4803770	0.7252491	0.1210213
