G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0077520	0.3510743	0.0001106	0.2119266	0.1240816	0.9536528	0.9929255	0.2524129	0.7356909	0.2570133	0.2718777	0.7015085	0.2441919
0.1109905	0.1024439	0.1100235	0.4376275	0.0268998	0.8009272	0.9170149	0.2454442	0.6818219	0.3371012	0.1147672	0.4952584	0.2548222
0.0392693	0.1380694	0.1012488	0.9526240	0.1218055	0.4855929	0.9682016	0.6089964	0.9737166	0.4771647	0.1763293	0.8974005	0.0855476
0.0202262	0.2132599	0.1060531	0.6949626	0.0069134	0.8478026	1.0220212	0.1415916	0.6293260	0.2602575	0.4122499	0.6893191	0.1103747
0.0972449	0.0873870	0.1179276	0.6173429	0.0106797	0.7942667	1.0024782	0.3447059	0.9653671	0.2821745	0.3445486	0.5917740	0.0026728
0.0196493	0.0606460	0.0002500	0.4977115	0.0195315	0.8019946	0.9846465	0.4801826	0.8892700	0.2870903	0.0523163	0.4377154	0.3180723
0.4545327	0.0370375	0.0837178	0.5730088	0.0956866	0.9380875	0.9725785	0.0777578	0.1187820	0.0848416	0.5871620	1.0417503	0.0035052
0.0007850	0.0227212	0.0637496	0.9144848	0.1193362	0.5320714	0.8535392	0.2414478	0.8198177	0.3839263	0.1209666	0.5000402	0.2290435
0.1027594	0.0205769	0.1058788	0.5947949	0.1622274	1.0097783	0.9786254	0.0823550	0.7544143	0.2123863	0.2445772	0.6638992	0.1975992
0.0017884	0.0103467	0.1080413	0.8523117	0.1069335	0.6623554	1.0397657	0.5571449	0.9687904	0.2945790	0.1521928	0.9404739	0.1262992
0.0951333	0.0006732	0.1081029	0.5877535	0.0202307	0.8314839	1.0310219	0.0402593	0.3224278	0.2795139	0.5570013	0.6872921	0.1367616
0.0218751	0.0035792	0.0038142	0.8855372	0.1070903	0.5421835	0.6320837	0.1048741	0.5902838	0.4157455	0.4367166	0.5353050	0.0298061
0.0007217	0.1858105	0.1156313	0.5857724	0.0872990	1.0128027	1.0420672	0.4411703	0.8472526	0.2424556	0.2336443	0.5919451	0.2509441
