G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0587310	0.0732863	0.1208456	0.7611910	0.1258713	0.9662405	0.9290803	0.2386033	0.6913641	0.2734207	0.4218577	0.6963729	0.2480917
0.1099321	0.0104768	0.1081890	0.6421627	0.1235531	0.9021122	1.0576887	0.2344770	0.7755496	0.2819757	0.4209887	0.7044262	0.2284230
0.1112339	0.0774740	0.0496670	0.7091878	0.1163919	0.9424467	1.0050194	0.1884806	0.6111422	0.2275763	0.4493752	0.6787000	0.2023364
0.1145319	0.0776124	0.1010390	0.3762300	0.1166569	0.8574719	1.0272609	0.2083751	0.5668264	0.2552127	0.4073036	0.7422724	0.1886730
0.0974105	0.0482574	0.0999752	0.7083667	0.0496106	0.8389998	0.8910996	0.1797395	0.4449838	0.2497464	0.4944610	0.5767599	0.2110977
0.1490384	0.0661363	0.1562776	0.9285085	0.1321476	0.4825873	0.9977652	0.3392313	0.9415835	0.4281665	0.5105154	0.8241926	0.1755348
0.1173943	0.3632185	0.0973113	0.8633072	0.6576256	0.7469065	0.4684338	0.2973914	0.8190989	0.3847920	0.5518615	0.4671684	0.2623135
0.0962705	0.0427313	0.1527575	0.6550921	0.1176752	0.9086458	1.0762807	0.1061505	0.3982342	0.2645765	0.5130297	0.8139847	0.1908697
0.0731947	0.0511491	0.1371082	0.6163632	0.1082868	0.8874976	1.0132190	0.2252385	0.3248855	0.3178745	0.4671492	0.7029173	0.2302129
0.1679440	0.0600700	0.1147321	0.6776066	0.1065417	0.9037954	1.0346992	0.1436494	0.1279204	0.1711828	0.5159836	0.7953379	0.2024871
0.0978356	0.0647247	0.1019550	0.5483928	0.1124935	1.0550672	1.0547487	0.2030351	0.6750039	0.2363339	0.2467761	0.5602530	0.2491713
0.0851764	0.0508152	0.1133464	0.5959012	0.0797627	0.9803999	1.0347603	0.2175246	0.5695926	0.2437011	0.4490285	0.3828487	0.2045456
0.1271642	0.0820005	0.0967315	0.6222964	0.1799609	0.9664798	1.0164518	0.1809237	0.5954289	0.2365961	0.4515436	0.7013490	0.1025002
