"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0924044	0.0447529	0.1041768	0.6579369	0.1149259	0.9003566	1.0000000	0.2060085	0.6314694	0.2577268	0.4377763	0.6854678	0.2034496
100	0.0924053	0.0447529	0.1041768	0.6579373	0.1149259	0.9003558	1.0000000	0.2060071	0.6314115	0.2577271	0.4377812	0.6854739	0.2034474
150	0.0924057	0.0447529	0.1041768	0.6579378	0.1149259	0.9003553	1.0000000	0.2060067	0.6313852	0.2577273	0.4377839	0.6854780	0.2034450
200	0.0924058	0.0447528	0.1041768	0.6579383	0.1149259	0.9003550	1.0000000	0.2060066	0.6313738	0.2577275	0.4377854	0.6854805	0.2034431
250	0.0924059	0.0447528	0.1041768	0.6579386	0.1149259	0.9003549	1.0000000	0.2060067	0.6313691	0.2577276	0.4377861	0.6854820	0.2034418
300	0.0924059	0.0447528	0.1041768	0.6579387	0.1149259	0.9003548	1.0000000	0.2060067	0.6313674	0.2577276	0.4377865	0.6854829	0.2034410
350	0.0924059	0.0447528	0.1041768	0.6579388	0.1149259	0.9003548	1.0000000	0.2060068	0.6313669	0.2577277	0.4377867	0.6854833	0.2034405
400	0.0924059	0.0447528	0.1041768	0.6579389	0.1149259	0.9003547	1.0000000	0.2060068	0.6313668	0.2577277	0.4377868	0.6854836	0.2034402
450	0.0924059	0.0447528	0.1041768	0.6579389	0.1149259	0.9003547	1.0000000	0.2060068	0.6313669	0.2577277	0.4377869	0.6854837	0.2034401
500	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313669	0.2577277	0.4377869	0.6854838	0.2034400
550	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4377869	0.6854838	0.2034400
600	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4377869	0.6854838	0.2034400
650	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
700	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
750	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
800	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
850	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
900	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
950	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
1000	0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399

0	0.0924024	0.0447531	0.1041768	0.6579374	0.1149260	0.9003578	1.0000000	0.2060122	0.6315926	0.2577268	0.4377679	0.6854601	0.2034488
50	0.0446944	0.0447529	0.0011596	0.6594029	0.1149259	0.9008579	1.0000000	0.1962669	0.5964492	0.1720135	0.1070324	0.8164717	0.1990285
100	0.0310391	0.0447529	0.0000214	0.6608618	0.1149259	0.9022558	1.0000000	0.1694847	0.4852884	0.1459980	0.0391688	0.8211512	0.1897720
