G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0000000	0.7987904	1.0000000	0.7276781	1.0000000	0.4673985	0.0000000	0.8781902	0.6694422	0.9011970	0.5544634	0.3437547	0.9786343
0.9999875	0.7987752	1.0000000	0.7452635	0.9999999	0.0000001	0.0000001	0.8911636	0.6698443	0.9999999	0.9947328	0.2564835	0.3202578
0.9999914	0.7987525	1.0000000	0.7450191	0.9999996	0.2362149	0.0000003	0.3847135	0.0513537	0.0000000	0.9947320	0.2564582	0.3202632
0.0000003	0.0447528	0.1041754	0.6542428	0.1149259	0.9054444	1.0000000	0.2051943	0.6264806	0.2563830	0.0000000	0.5162523	0.2602360
0.0000003	0.0447528	0.1041754	0.6542428	0.1149259	0.9054444	1.0000000	0.2051943	0.6264806	0.2563830	0.3809847	0.0000000	0.2939080
0.0000003	0.0447528	0.1041754	0.6542428	0.1149259	0.9054444	1.0000000	0.2051943	0.6264806	0.2563830	0.3828177	0.6529190	0.0000000
0.0850801	0.0447528	0.0000000	0.9999998	0.1149259	0.0000010	1.0000000	0.3255855	0.9519434	0.5644703	0.4314846	0.6818742	0.2077610
0.9999916	0.7987752	0.0000000	0.9997349	0.9999999	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.9947320	0.2564576	0.3202626
0.9999916	0.0308658	1.0000000	0.7450058	0.0000000	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.9947320	0.2564576	0.3202626
0.9999916	0.7987752	1.0000000	0.7450058	0.9999999	0.2362110	0.0000001	0.0000000	0.6697769	0.9890997	0.9947320	0.2564576	0.3202626
0.9999916	0.7987752	1.0000000	0.7450058	0.9999999	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.0000000	0.0495587	0.3240639
0.9999916	0.7987752	1.0000000	0.7450058	0.9999999	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.9944127	0.0000000	0.3240782
0.9999916	0.7987752	1.0000000	0.7450058	0.9999999	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.9999997	0.2566854	0.0000000
