G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0000003	0.0447528	0.1041754	0.6542428	0.1149259	0.9054444	1.0000000	0.2051943	0.6264806	0.2563830	0.3822866	0.6525942	0.2283105
0.0924059	0.0000048	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313669	0.2577277	0.4377869	0.6854838	0.2034400
0.0924059	0.0447528	0.0000000	0.6623702	0.1149259	0.9003547	1.0000000	0.2060069	0.6313669	0.2577277	0.4377869	0.6854838	0.2034400
0.0924059	0.0447528	0.1041768	0.0000005	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4377869	0.6854838	0.2034399
0.0924059	0.0308675	0.1041768	0.6579390	0.0000006	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4377869	0.6854838	0.2034400
0.0850801	0.0447528	1.0000000	0.8901958	0.1149259	0.0000010	1.0000000	0.3255855	0.9519434	0.5644703	0.4314846	0.6818742	0.2077610
0.9999916	0.7987752	1.0000000	0.7450058	0.9999999	0.2362110	0.0000001	0.8898166	0.6698110	0.9890997	0.9947320	0.2564576	0.3202626
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.0000000	0.4259025	0.2577277	0.4377869	0.6854838	0.2034400
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.0000007	0.2577277	0.4377869	0.6854838	0.2034400
0.9999921	0.0447528	0.1042577	0.8114661	0.1149259	0.7307786	1.0000000	0.0000005	0.0513492	0.0000000	0.8851612	0.6778222	0.0018708
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.0000000	0.5162524	0.2413015
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4367454	0.0000000	0.2725325
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313671	0.2577277	0.4381127	0.6856778	0.0000000
