G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0067452	0.2954036	0.0000484	0.2523803	0.1149259	0.9082196	1.0000000	0.2557931	0.8366569	0.2556599	0.2650267	0.6781863	0.2213854
0.0928531	0.1145147	0.1042325	0.4503111	0.0203106	0.8309687	0.9103071	0.2205609	0.6813253	0.2868684	0.0946076	0.4674903	0.2494564
0.0856415	0.1075490	0.1054110	0.9817259	0.1209766	0.4484219	0.9413717	0.6252300	0.9350473	0.4815291	0.1782697	0.8602766	0.0743520
0.0367581	0.1897326	0.1041923	0.6209101	0.0119400	0.8509759	1.0000000	0.1232977	0.5903379	0.2175330	0.3965146	0.6117161	0.1016992
0.0885298	0.0777042	0.1042426	0.6830458	0.0088902	0.7513785	1.0000000	0.3820965	0.9266155	0.3088242	0.3205950	0.5834018	0.0003017
0.0354834	0.0571139	0.0000928	0.4768416	0.0076334	0.8058695	1.0000000	0.5239119	0.9133585	0.2873100	0.0517725	0.4682460	0.2678578
0.3562828	0.0472056	0.0863954	0.5645119	0.0963538	0.9468708	0.9365324	0.0839811	0.1095518	0.0997723	0.5713019	0.9418967	0.0012976
0.0017939	0.0134395	0.0636699	0.9589918	0.1103088	0.5362524	0.8689049	0.2846102	0.8482309	0.4375993	0.1311972	0.4709900	0.2013698
0.0760033	0.0138884	0.1041627	0.6183088	0.1149259	0.9612197	1.0000000	0.0851880	0.7127099	0.2430888	0.2437539	0.6825755	0.1740812
0.0019624	0.0138871	0.1043202	0.8701206	0.1149259	0.6682776	1.0000000	0.6172618	0.9993898	0.3484161	0.1171710	0.9921686	0.1338948
0.0912620	0.0000839	0.1041886	0.5767548	0.0132278	0.8616539	1.0000000	0.0405628	0.4442876	0.2687448	0.4367208	0.6353603	0.2164540
0.0109350	0.0092400	0.0014522	0.9539858	0.0915666	0.5510688	0.6813161	0.0564141	0.5956885	0.4577068	0.4121310	0.5687975	0.0293990
0.0079318	0.2116318	0.1041692	0.5900229	0.1102539	0.9306299	1.0000000	0.4147547	0.7780720	0.2500625	0.2399510	0.6617597	0.1833269
