G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0000052	0.0447528	0.1041754	0.6542432	0.1149259	0.9054443	1.0000000	0.2051961	0.6264975	0.2563833	0.3822876	0.6526002	0.2282894
0.0924059	0.0000065	0.1041768	0.6579389	0.1149259	0.9003547	1.0000000	0.2060068	0.6313669	0.2577277	0.4377868	0.6854837	0.2034402
0.0924059	0.0447528	0.0000038	0.6623697	0.1149259	0.9003547	1.0000000	0.2060068	0.6313669	0.2577277	0.4377868	0.6854837	0.2034402
0.0924059	0.0447528	0.1041768	0.0000018	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4377869	0.6854838	0.2034400
0.0924059	0.0308681	0.1041768	0.6579390	0.0000032	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4377869	0.6854837	0.2034401
0.0850844	0.0447528	0.9999813	0.8902137	0.1149259	0.0000029	1.0000000	0.3255634	0.9518658	0.5644689	0.4314953	0.6818992	0.2077229
0.9998674	0.7987696	0.9999968	0.7450182	0.9999993	0.2362812	0.0000008	0.8896872	0.6699010	0.9890069	0.9947284	0.2565600	0.3202426
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.0000054	0.4259055	0.2577277	0.4377869	0.6854838	0.2034400
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.0000040	0.2577277	0.4377869	0.6854838	0.2034400
0.9998744	0.0447528	0.1042575	0.8112382	0.1149259	0.7308281	1.0000000	0.0000018	0.0513495	0.0000000	0.8851049	0.6778845	0.0018778
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.0000032	0.5162619	0.2412060
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4367464	0.0000033	0.2725259
0.0924059	0.0447528	0.1041768	0.6579390	0.1149259	0.9003547	1.0000000	0.2060069	0.6313670	0.2577277	0.4381127	0.6856777	0.0000034
