G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
0.0067528	0.2954034	0.0000485	0.2523825	0.1149259	0.9082192	1.0000000	0.2557978	0.8366750	0.2556609	0.2650338	0.6782042	0.2213403
0.0928723	0.1145146	0.1042325	0.4503032	0.0203098	0.8309674	0.9103076	0.2205230	0.6810400	0.2868625	0.0946321	0.4675000	0.2494122
0.0856880	0.1075466	0.1054099	0.9816959	0.1209731	0.4484270	0.9413739	0.6248088	0.9349228	0.4814161	0.1783486	0.8603040	0.0743216
0.0367917	0.1897320	0.1041923	0.6209139	0.0119408	0.8509723	1.0000000	0.1232921	0.5903248	0.2175348	0.3965631	0.6118353	0.1016313
0.0885527	0.0777042	0.1042426	0.6830421	0.0088905	0.7513748	1.0000000	0.3820335	0.9265143	0.3088207	0.3206343	0.5834644	0.0003050
0.0355112	0.0571139	0.0000929	0.4768454	0.0076337	0.8058665	1.0000000	0.5238824	0.9133262	0.2873113	0.0518088	0.4682587	0.2678102
0.3565743	0.0472056	0.0863954	0.5645250	0.0963538	0.9468475	0.9365324	0.0839681	0.1095315	0.0997768	0.5715958	0.9419177	0.0012925
0.0018019	0.0134392	0.0636699	0.9589893	0.1103085	0.5362529	0.8689050	0.2845840	0.8481227	0.4375936	0.1311993	0.4709929	0.2013649
0.0759729	0.0138889	0.1041627	0.6183307	0.1149259	0.9612175	1.0000000	0.0852324	0.7129874	0.2431018	0.2437379	0.6826192	0.1739615
0.0019675	0.0138871	0.1043202	0.8701197	0.1149259	0.6682777	1.0000000	0.6172520	0.9993895	0.3484153	0.1171726	0.9921686	0.1338957
0.0912884	0.0000853	0.1041886	0.5767437	0.0132301	0.8616513	1.0000000	0.0405628	0.4441517	0.2687369	0.4367588	0.6354054	0.2163871
0.0109507	0.0092390	0.0014521	0.9539827	0.0915655	0.5510692	0.6813162	0.0564091	0.5956773	0.4577004	0.4121402	0.5688164	0.0293966
0.0079442	0.2116314	0.1041692	0.5900268	0.1102539	0.9306293	1.0000000	0.4147663	0.7780951	0.2500647	0.2399642	0.6617941	0.1832584
