G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.1005870	0.1237208	0.1065797	0.5933360	0.3253723	0.5818133	0.3309389	0.0656999	0.0012438	0.2858491	0.0630461	0.1882964	0.7698489
0.1833984	0.0633531	0.1486851	0.6832751	0.4394859	0.6881549	0.4075997	0.0601137	0.0007247	0.3780494	0.1945060	0.3941922	0.7881761
0.2021296	0.1258465	0.0618957	0.6116897	0.3714419	0.7255349	0.3274797	0.0624682	0.0002581	0.3042045	0.2505496	0.3788559	0.7496485
0.1908052	0.2353908	0.2479736	0.3176682	0.4430259	0.6900189	0.3233861	0.0514772	0.0001170	0.2462411	0.2283927	0.3848166	0.5452437
0.2203835	0.0952846	0.1681466	0.6477878	0.1956783	0.6405743	0.4126869	0.0853904	0.0011213	0.3054095	0.1384203	0.2893419	0.6741536
0.0791870	0.2063897	0.1824793	0.6155578	0.1571074	0.3265878	0.4974473	0.0371672	0.0077145	0.6516333	0.0407822	0.0943582	0.6016662
0.2342077	0.1049799	0.1251610	0.6607284	0.4614345	0.5275445	0.1842645	0.1171214	0.0002729	0.3004161	0.3537913	0.4012986	0.7183665
0.2734843	0.1092593	0.1415353	0.6587473	0.4434308	0.5765065	0.4072559	0.0395680	0.0000952	0.2290269	0.3462170	0.3609469	0.7496033
0.2020631	0.1129503	0.1233368	0.6331672	0.4664797	0.6902787	0.3225719	0.0480588	0.0004696	0.2907786	0.2410096	0.3249726	0.6793685
0.2363296	0.1393519	0.1311021	0.6635291	0.4519012	0.7093316	0.3680295	0.1194267	0.0059083	0.1718635	0.3254899	0.3835061	0.7395820
0.2534342	0.1016902	0.0877097	0.5988648	0.4169879	0.6759065	0.4140115	0.0813633	0.0004760	0.3368981	0.0884409	0.1553033	0.5443446
0.2041728	0.1202886	0.1174546	0.5704928	0.4535201	0.6778507	0.3582493	0.0722338	0.0004464	0.3217146	0.2052219	0.1423717	0.6641326
0.2228204	0.1394228	0.1100104	0.6325433	0.3801277	0.6105161	0.4649792	0.0957774	0.0001540	0.2509737	0.1941242	0.2667300	0.3347616
