G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	0.0912016	0.1057650	0.5982588	0.0185311	0.5748628	0.3388382	0.0219324	0.0000853	0.6245247	0.0500979	0.1699598	0.6087338
0.2178303	0.0000000	0.1235319	0.6532888	0.3772903	0.6338473	0.3895828	0.0667580	0.0014389	0.3622590	0.2997519	0.3250929	0.6703386
0.2704505	0.6325437	0.0000000	0.0260191	0.4300202	0.6066830	0.4716521	0.0847002	0.0003182	0.3187564	0.2570896	0.3619220	0.6545718
0.1946011	0.5865583	0.5683164	0.0000000	0.3487559	0.5657670	0.4217766	0.0476320	0.0007189	0.2961474	0.1079649	0.2723233	0.6550499
0.0775768	0.1285432	0.1188126	0.6213890	0.0000000	0.7561840	0.3791741	0.0295535	0.0000566	0.6159571	0.0512574	0.1580830	0.6701720
0.3847415	0.6628328	0.5347093	0.0130094	0.0456567	0.0000000	0.3648653	0.1924143	0.2070156	0.6216234	0.0264250	0.1513718	0.5173143
0.1671682	0.1045089	0.1235337	0.6576263	0.4445268	0.6160729	0.0000000	0.0801269	0.0002278	0.3167544	0.1834408	0.3174897	0.5374691
0.2682026	0.0752359	0.0949067	0.5939754	0.4517840	0.6811426	0.4015920	0.0000000	0.0001130	0.2684815	0.2418215	0.2965159	0.6149740
0.2528941	0.0811571	0.1540953	0.7971795	0.4273588	0.5854956	0.3785526	0.0559197	0.0000000	0.2599301	0.2818001	0.2817515	0.6770506
0.2182912	0.1200893	0.1094894	0.6243582	0.4781836	0.6109512	0.3457828	0.1481642	0.0088434	0.0000000	0.3461584	0.4231264	0.6183281
0.2378642	0.0598980	0.1060067	0.6234569	0.4070232	0.7462520	0.3213877	0.0631146	0.0007368	0.3170985	0.0000000	0.0159879	0.6344772
0.1903728	0.0873428	0.1499958	0.5827042	0.4426517	0.5431220	0.4698453	0.0571095	0.0000649	0.3492569	0.2087946	0.0000000	0.7168358
0.1808969	0.0686131	0.1086785	0.5088881	0.3097803	0.6839327	0.3838345	0.0557480	0.0000266	0.3565293	0.0336061	0.1755120	0.0000000
