"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3003164	0.1518072	0.3093713	0.9305654	0.5901081	0.9925577	0.1196038	0.1041594	0.0034271	0.5129351	0.3140478	0.4555702	0.9343358
100	0.2802925	0.1360148	0.3412675	0.9659143	0.5569258	0.8778610	0.0838367	0.1171143	0.0006253	0.5081836	0.2197684	0.5190700	1.0312602
150	0.3414349	0.1592968	0.3415326	0.9366460	0.5285442	0.8991398	0.0917077	0.1449950	0.0000642	0.5031269	0.2215175	0.4616349	1.0024165
200	0.2791951	0.1576068	0.3607404	0.9458504	0.5247929	0.9440352	0.1005463	0.1574070	0.0001863	0.5541596	0.1429877	0.5223195	1.0626865
250	0.2432624	0.1617054	0.3952166	1.0082191	0.4368716	0.9023124	0.1025382	0.1881739	0.0024483	0.5477229	0.0906687	0.4597403	1.0011818
300	0.2466308	0.1343127	0.3785975	0.9810660	0.4197349	0.8955855	0.0924364	0.1660656	0.0028073	0.6410251	0.0839171	0.3276599	1.0265684
350	0.2032642	0.1525002	0.4005584	0.9675450	0.4934706	0.8876559	0.0849258	0.1490190	0.0002217	0.5459303	0.1138119	0.3024283	1.0557853
400	0.2480962	0.1533402	0.4010186	0.9317404	0.4169701	0.8307395	0.0724635	0.1549303	0.0039685	0.5578368	0.1316727	0.2815737	1.1285722
450	0.2252486	0.1605123	0.3980144	1.0092608	0.4601854	0.8322100	0.1160752	0.1630110	0.0012543	0.5796126	0.1172777	0.3083107	1.1092561
500	0.2488939	0.1847656	0.3420314	0.9624333	0.4265261	0.8739322	0.1189023	0.1316482	0.0024138	0.6165201	0.0883927	0.3698264	0.9701013
550	0.2385873	0.1328660	0.2332586	0.9204385	0.4570927	1.0059019	0.5634132	0.1222876	0.0011286	0.5921513	0.1796108	0.3761114	1.1324563
600	0.2491968	0.1983354	0.1638388	0.9437191	0.6302951	0.9941431	0.5479090	0.0800842	0.0002957	0.4892616	0.2540534	0.4732610	1.0172146
650	0.2676900	0.2226535	0.1870494	0.9280806	0.5339738	1.0181131	0.6064811	0.1037104	0.0015714	0.5073704	0.1473817	0.4237648	0.9823107
700	0.2949872	0.1580310	0.1856003	0.9122109	0.5356449	1.1308007	0.6022160	0.0794338	0.0028703	0.4750838	0.2181461	0.3889408	0.9100660
750	0.2889131	0.1575866	0.2035986	0.9589566	0.5805355	1.0532717	0.5711148	0.1002495	0.0032065	0.4334617	0.3044377	0.4131667	0.9720693
800	0.3191343	0.1140011	0.1841549	0.9840406	0.6765168	1.0593194	0.6540312	0.1151378	0.0051745	0.4479599	0.3325651	0.4263900	0.9290018
850	0.3303936	0.1453246	0.1897399	0.9130038	0.5577572	0.9801212	0.5399596	0.0946386	0.0021163	0.4763779	0.2135927	0.4013849	0.9093840
900	0.3222996	0.1431335	0.2090307	0.9465760	0.6070478	0.9627957	0.4971812	0.0915045	0.0006274	0.5124417	0.2410733	0.4664367	0.9906285
950	0.3161648	0.1238965	0.2154225	0.9959404	0.5704263	1.1233642	0.5869996	0.0752746	0.0004681	0.4669497	0.2023880	0.4116789	0.9888922
1000	0.3412291	0.1465503	0.1899075	0.9648603	0.5825724	0.9784206	0.5283597	0.0839561	0.0006379	0.4575001	0.1850603	0.4145111	1.0159299

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3412436	0.0182283	0.1768587	0.9592726	0.5956184	0.5881133	0.5673710	0.0531375	0.0004755	0.3077320	0.8716525	0.5635820	1.0616658
100	0.3346359	0.0073659	0.1632955	0.9416467	0.4363808	0.4833362	0.6199994	0.0189043	0.0023641	0.3806298	0.8627848	0.6164560	1.0137265
150	0.3886838	0.0055487	0.2014803	0.8702346	0.3684566	0.4252740	0.6669814	0.0060491	0.0068716	0.3631050	0.8784145	0.5649074	0.9389524
200	0.3881200	0.0027577	0.2332010	0.8681309	0.2823570	0.4326784	0.7902889	0.0011111	0.0051593	0.4043693	0.9064273	0.5794481	0.9769932
250	0.3941962	0.0078746	0.2105947	0.7271028	0.3565196	0.5157691	0.8421732	0.0001595	0.0059482	0.4518425	0.8938572	0.5946955	0.9365739
300	0.3990230	0.0135113	0.2170121	0.7609040	0.2780059	0.4908225	0.8154951	0.0000571	0.0007778	0.4424579	0.9428930	0.5838996	0.9294184
350	0.3851585	0.0099047	0.2167711	0.7454637	0.2818395	0.4887241	0.8019333	0.0013976	0.0098534	0.4543274	0.8027319	0.5762358	1.0769255
400	0.3219109	0.0090269	0.2008742	0.7560942	0.3242587	0.5353440	0.8345150	0.0001782	0.0109151	0.4883120	0.8749841	0.6588027	1.0421432
450	0.3565163	0.0048927	0.2465976	0.7057068	0.2909344	0.4521694	0.7868013	0.0000204	0.0030773	0.4533121	0.8896608	0.6044664	1.0833162
500	0.3070553	0.0036314	0.2452882	0.7699931	0.2982724	0.4079832	0.8090645	0.0010026	0.0018841	0.4399172	0.8275348	0.6704110	1.0353559
550	0.2702958	0.2525714	0.2302308	0.8347867	0.3542806	0.8665296	0.7673437	0.0372269	0.0000002	0.7365321	0.1157837	0.5619124	1.0957362
600	0.2173477	0.2268299	0.2453599	0.9886213	0.4425794	1.0134271	0.6304193	0.0607412	0.0009453	0.6474641	0.1279940	0.4711024	0.9718935
650	0.2006879	0.1749017	0.2335055	0.9671995	0.4534375	1.0498513	0.6003037	0.0620892	0.0013762	0.5115294	0.0953464	0.3615502	1.0684994
700	0.2080024	0.2002901	0.2093386	0.9301830	0.4913835	0.9560099	0.6177461	0.0609209	0.0003389	0.4397940	0.1023642	0.3365718	0.9755245
750	0.2431669	0.1876495	0.2281578	0.9837873	0.4729451	0.9843907	0.5394755	0.0985716	0.0021456	0.4028183	0.1088373	0.2637080	0.9514264
800	0.2877184	0.1600314	0.2096306	0.9670434	0.5406952	1.0135309	0.5583814	0.0972458	0.0001078	0.4290412	0.2180085	0.3439249	1.0662179
850	0.3174224	0.1423261	0.1916221	0.9617840	0.4941463	0.9953832	0.6013086	0.0785003	0.0002672	0.4507508	0.2328055	0.4588826	1.0927572
900	0.3208677	0.1174645	0.1745105	1.0019154	0.6317343	0.9868454	0.5317101	0.0624411	0.0007400	0.4000493	0.3150360	0.4730944	1.0149703
950	0.2868136	0.1522290	0.1633106	0.9254575	0.6021014	0.9735135	0.5378869	0.0986380	0.0002809	0.4452201	0.2685228	0.5496335	1.0607589
1000	0.2689204	0.1439523	0.1612372	0.9763235	0.5866720	0.9356497	0.5216241	0.0984187	0.0003585	0.3800007	0.2056244	0.5415306	1.0303412

0	0.3671702	0.1567551	0.1908953	0.9914347	0.6672774	1.0367745	0.5593458	0.1114243	0.0022840	0.4718951	0.3977996	0.5863825	0.9588504
50	0.3098198	0.1896884	0.1973096	0.9927076	0.4698293	0.6491838	0.5752651	0.1225299	0.0020263	0.5886013	0.1386580	0.4455824	0.1862330
100	0.2988303	0.2010445	0.2146467	0.8709081	0.3841844	0.5157903	0.7715669	0.0979489	0.0025396	0.7293685	0.0606262	0.4235763	0.1242252
150	0.2721467	0.2608756	0.2009272	0.9379892	0.3914789	0.4938640	0.7135421	0.0717800	0.0031492	0.7566353	0.0705282	0.3313614	0.0568436
200	0.2230792	0.2898916	0.1908661	0.8035343	0.2644329	0.4441283	0.8079415	0.0612353	0.0072119	0.8125890	0.0709257	0.2392542	0.1109069
250	0.1572031	0.3487167	0.2008778	0.8094052	0.2138342	0.4226533	0.7980593	0.0389266	0.0048464	0.9146580	0.0721201	0.1928491	0.0932915
300	0.1640357	0.3237139	0.2620672	0.7804690	0.1861112	0.4707833	0.7197510	0.0454111	0.0071681	0.8926761	0.0619709	0.2241884	0.1109542
350	0.1610288	0.4154805	0.2848930	0.7529236	0.1808189	0.4361934	0.8094515	0.0403735	0.0131696	0.8605546	0.0525034	0.2909086	0.1079671
