G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	0.1524125	0.1598931	0.8710780	0.0237742	1.0108082	0.5487543	0.0452661	0.0000752	0.9100760	0.0645527	0.2661467	0.9737955
0.3184781	0.0000000	0.1714819	0.9129193	0.5815917	1.0393379	0.5826731	0.0905372	0.0005643	0.5277530	0.4029221	0.4662565	0.9884872
0.3285360	0.9817920	0.0000000	0.0563002	0.6616726	0.9834501	0.6440248	0.0941511	0.0009849	0.4790841	0.3692037	0.5555359	1.0596756
0.3257641	1.0025212	0.7927712	0.0000000	0.6234559	0.9629359	0.6459296	0.1040991	0.0009810	0.5007572	0.1797285	0.4883346	1.0050949
0.1260149	0.1558741	0.1682187	0.9200316	0.0000000	0.9916672	0.6150214	0.0393181	0.0001401	0.9924433	0.0620211	0.2000080	1.0480939
0.5866503	1.0612063	0.9411493	0.0246725	0.0433084	0.0000000	0.5898384	0.3085801	0.2666407	0.9939252	0.0574022	0.2521781	0.9170174
0.2804941	0.1797595	0.2146963	0.9773387	0.6436487	0.9564804	0.0000000	0.1721222	0.0010252	0.4688808	0.3247014	0.4784362	0.9950663
0.4143333	0.1374093	0.1858115	0.9327591	0.6557983	1.0284103	0.6030635	0.0000000	0.0001773	0.3749023	0.4826666	0.5295025	1.0096649
0.3002411	0.1100182	0.2028996	1.0168742	0.6778962	0.9598300	0.6490849	0.0662749	0.0000000	0.4051386	0.3904168	0.4514902	1.0207414
0.3599117	0.1705164	0.1803019	0.9835704	0.7238508	0.9709234	0.6093407	0.2618349	0.0126891	0.0000000	0.5194092	0.6187294	0.8895229
0.2779077	0.1146875	0.1887479	1.0381280	0.5879880	0.9619363	0.5557494	0.0811324	0.0003468	0.4740363	0.0000000	0.0403505	0.9630845
0.2877560	0.1677325	0.2125766	1.0465604	0.6284412	0.9191321	0.5783623	0.1209272	0.0002657	0.5499933	0.2932534	0.0000000	1.0533924
0.3463759	0.1493728	0.1599790	0.9364449	0.5981183	1.0170098	0.6124747	0.0982425	0.0001666	0.5586462	0.0615146	0.1915799	0.0000000
