"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3325896	0.1523806	0.3020691	0.9186704	0.6757174	0.9611394	0.2959087	0.1039965	0.0037260	0.5735923	0.3608928	0.4822284	0.9207565
100	0.2793593	0.1692419	0.3661197	0.9429474	0.6497714	1.0053185	0.1339764	0.0755101	0.0051549	0.5187352	0.2762237	0.4664836	0.9458134
150	0.3051204	0.1579609	0.3749683	0.9647338	0.5862369	0.9344605	0.0896112	0.1219680	0.0009504	0.5772567	0.2494638	0.5906205	0.9602740
200	0.2801887	0.1556943	0.3377963	1.0256447	0.5857533	0.8916286	0.1006157	0.1244330	0.0013006	0.5905467	0.1948263	0.5094115	0.9959630
250	0.2210344	0.1661951	0.3405636	1.0374443	0.5334021	0.8540463	0.1150768	0.1487591	0.0030288	0.5415254	0.1422117	0.5021401	0.9705350
300	0.2288093	0.1525029	0.3883131	1.0393474	0.5260143	0.8420239	0.1113518	0.1687356	0.0020033	0.5372073	0.0883816	0.4280535	0.9922995
350	0.2279660	0.1835892	0.4250803	1.0041866	0.4847359	0.9283044	0.0924763	0.1671134	0.0003610	0.5602627	0.1033959	0.3151708	1.0395987
400	0.2001232	0.1524437	0.4679267	0.9226935	0.4602999	0.9008772	0.0991123	0.1635280	0.0012001	0.5562837	0.1084629	0.2753279	1.0408392
450	0.2437291	0.1439484	0.3641823	1.0028036	0.3997003	0.8551963	0.1048956	0.1552968	0.0073527	0.6073937	0.0929138	0.3099091	1.0852077
500	0.2538809	0.1821749	0.3140769	1.0097056	0.4059698	0.7804428	0.0957451	0.1547477	0.0019543	0.6163019	0.1258726	0.3140099	1.0461803
550	0.2999999	0.1539373	0.2817763	0.9545340	0.4225438	0.8722575	0.3964863	0.1264218	0.0049436	0.5964512	0.1576511	0.3107332	1.1039081
600	0.2839843	0.1838910	0.2093883	0.8929503	0.4727592	0.9372175	0.5200549	0.1008624	0.0064909	0.5932674	0.2156833	0.4066919	1.1122833
650	0.2543358	0.2099988	0.2152652	0.8654821	0.5055126	0.9767054	0.5780755	0.0857776	0.0033865	0.5338137	0.1775970	0.4384213	0.9692626
700	0.2979057	0.1858613	0.1519728	0.9539260	0.5990853	0.9799535	0.5274314	0.0951281	0.0024330	0.4664476	0.1919750	0.3923098	0.9751136
750	0.2963481	0.1541715	0.1976074	1.0592673	0.5410442	1.0657878	0.5462607	0.0860063	0.0066603	0.4694634	0.2283367	0.4068022	1.0471285
800	0.2893609	0.1583464	0.1905172	1.0121853	0.6268609	1.0618600	0.6001306	0.0961614	0.0052555	0.4523199	0.2291931	0.4017754	0.9713878
850	0.2338694	0.1116521	0.1947285	0.9497015	0.5614322	0.9993403	0.5181983	0.1120187	0.0027182	0.4221577	0.2662600	0.4151531	1.0084613
900	0.2949488	0.1292578	0.2387552	0.9441105	0.5777314	0.9084219	0.4700357	0.0928110	0.0005840	0.4647279	0.1670917	0.4604814	0.9797188
950	0.2675373	0.1319058	0.2071225	1.0068483	0.5721591	1.0508295	0.5557045	0.0596429	0.0013179	0.4920317	0.1952458	0.4373802	0.9691071
