G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	1.0022850	0.9261839	0.0403342	0.0249047	0.0000000	0.5524582	0.2693906	0.2919130	0.9039913	0.0587969	0.2815976	1.0421855
1.0456147	0.9406669	0.9545077	0.0179075	0.0321764	0.0000000	1.0034516	0.7309789	0.8859105	0.0000000	0.0742678	0.1942880	0.9835354
0.0000000	0.1929859	0.1632615	0.9592128	0.0419275	0.9137652	0.5369761	0.0686384	0.0021519	0.9646360	0.0000000	0.0358949	1.0073628
0.0000000	0.1502484	0.2051633	1.0228937	0.0308270	1.1304636	0.5986832	0.0561420	0.0001914	0.9638312	0.0640949	0.0000000	0.9981145
0.0000000	0.1632731	0.2031809	0.8675751	0.0304555	1.0744260	0.5396368	0.0471993	0.0008629	0.9021211	0.0396985	0.1658115	0.0000000
0.6123166	0.0000000	0.6066652	0.0491849	0.0309683	0.0000000	0.6204488	0.2522163	0.3746437	1.0379897	0.0635884	0.2159040	1.0995886
0.5694570	0.9911190	0.0000000	0.0378181	0.0268456	0.0000000	0.5755940	0.2644977	0.2388125	0.9758881	0.0568516	0.1741821	1.0344959
0.6754019	1.0472676	0.8827800	0.0000000	0.0324373	0.0000000	0.5711695	0.2984514	0.2303743	1.0345644	0.0910255	0.2161137	1.0996907
0.5642170	1.0308858	0.9918942	0.0532291	0.0000000	0.0000000	0.5425318	0.2758121	0.2426565	1.0378867	0.0699906	0.2062097	0.9872581
0.5321272	0.9469271	0.9448738	0.0534813	0.0274922	0.0000000	0.0000000	0.4688627	0.2599836	0.9975932	0.0667637	0.1920346	1.0465319
0.5469053	1.0236289	0.9101781	0.0353961	0.0645234	0.0000000	0.5205993	0.0000000	0.2390255	0.9645078	0.0699837	0.2218502	1.0109940
0.5955451	1.0104151	1.0505506	0.0291887	0.0357600	0.0000000	1.1234116	0.2484125	0.0000000	0.9927435	0.0721449	0.2158325	1.0590986
0.5780185	1.0034987	0.9281720	0.0587953	0.0210660	0.0000000	0.4515047	0.3433131	0.3164721	0.9716911	0.0000000	0.0159389	1.0714774
