G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	0.1374338	0.1807147	0.8998696	0.0409493	1.0203664	0.5742909	0.0773115	0.0008106	0.9948385	0.0527612	0.2561347	1.0490411
0.3439423	0.0000000	0.1581157	0.8626888	0.5755937	0.9900001	0.6033266	0.1098552	0.0034355	0.5252374	0.3323939	0.4408978	1.1308961
0.3292604	1.1074090	0.0000000	0.0667015	0.6908939	1.0478745	0.6514283	0.1098524	0.0013166	0.4034967	0.4217337	0.5554604	1.0602972
0.2967732	0.9913976	0.7334313	0.0000000	0.6666860	0.9218671	0.6236224	0.0958447	0.0008023	0.4424305	0.2474248	0.4263262	0.9993772
0.1112501	0.1885008	0.2070336	0.9976301	0.0000000	0.9587018	0.6104913	0.0592796	0.0003560	1.0169809	0.0617740	0.2207277	0.9093588
0.5528885	1.0335208	1.0031297	0.0365173	0.0397353	0.0000000	0.5736074	0.3104252	0.2422490	0.9643259	0.0649528	0.2416587	0.9350727
0.2914796	0.1491904	0.1961126	1.0285770	0.6198507	0.9724630	0.0000000	0.1669447	0.0023328	0.5026613	0.3811453	0.3851191	0.9745900
0.3278596	0.1354225	0.2093773	0.9430211	0.6141548	1.1168284	0.5291711	0.0000000	0.0002435	0.3390865	0.3928200	0.5819109	1.0206662
0.2982448	0.1641920	0.1857684	1.0783976	0.6492571	1.1494273	0.6075212	0.0896174	0.0000000	0.4265579	0.2917260	0.4523949	1.1061936
0.3708253	0.1967109	0.1408374	0.9353114	0.7446880	1.0236537	0.5265400	0.2799714	0.0086218	0.0000000	0.5514469	0.5985485	0.9812291
0.2799486	0.1486699	0.1428519	1.1054625	0.5742544	0.9873202	0.6318891	0.0865816	0.0008329	0.5101607	0.0000000	0.0480833	1.0343719
0.3164289	0.1656051	0.2155398	1.0131350	0.5836402	0.9728659	0.6197913	0.0895924	0.0013130	0.5226604	0.3076193	0.0000000	0.9684576
0.3034060	0.1351738	0.1952486	0.9517518	0.6944112	0.9582440	0.6291655	0.1191316	0.0001112	0.4529130	0.0516679	0.1695853	0.0000000
