G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.2109767	0.1485814	0.0371830	0.8660091	0.4509616	1.0166422	0.2004967	0.1232328	0.2599279	0.4345558	0.5693695	0.4764987	0.8223613
0.2858128	0.3612793	0.6343913	0.8500021	0.1760351	0.4111907	0.8764805	0.0039581	0.0092909	0.6487014	0.5966858	0.5865040	0.9155022
0.2815022	0.1217507	0.0586196	0.7462106	0.3017752	0.5814970	0.3743206	0.1517834	0.3046740	0.1732275	0.0130687	0.0859947	1.0404236
0.2940161	0.0549030	0.4718646	1.0628729	0.5476424	0.9436492	0.6385397	0.0779130	0.0002082	0.6247331	0.2069575	0.4096970	0.8450119
0.2695747	0.1012614	0.0447015	0.9027291	0.6381455	0.9848771	0.1553809	0.0380357	0.2287990	0.5079561	0.1971490	0.4952831	0.8150899
0.0032192	0.1891463	0.3715159	0.9371784	0.0080118	0.7322992	0.2288814	0.1101734	0.1001629	1.0817986	0.0115028	0.2406146	1.0235001
0.2017381	0.4714255	0.0561137	0.5982386	0.5433455	0.5749625	0.6362104	0.0322453	0.0276832	0.8138812	0.1797141	0.6297892	0.9972516
0.4573198	0.1716941	0.1530316	1.0567470	0.6150345	1.0254049	0.0524790	0.2242033	0.5099528	0.2698494	0.5625823	0.6343544	0.9502419
0.2012543	0.1974169	0.4993285	0.9216542	0.4554305	0.8611353	0.4080413	0.0900070	0.0030817	0.5396162	0.0295648	0.1472232	0.9763384
0.3752217	0.1386621	0.1638889	1.0297923	0.5749507	0.9968212	0.1645744	0.1639152	0.0643019	0.4326368	0.2682620	0.5619778	1.0509501
0.2402206	0.1105379	0.3556948	0.9673037	0.5398331	1.1199863	0.0488008	0.1614464	0.3355223	0.4094122	0.1915336	0.3921614	0.9398345
0.3560687	0.0580597	0.3509532	1.0332637	0.6286549	0.9874403	0.5021781	0.0382673	0.0009594	0.4769523	0.3976121	0.7462739	1.0294085
0.2997942	0.0855203	0.0941658	1.0862734	0.6376267	0.7950604	0.6852130	0.0818359	0.0033345	0.4740353	0.2465893	0.5388093	0.8708036
