G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.1601002	0.1531455	0.1816304	0.9710850	0.4184937	1.0000000	0.5732494	0.1007320	0.0003086	0.4608079	0.0775292	0.2498894	0.9999936
0.3202555	0.0766239	0.1796302	0.9706447	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.5178932	0.9994163
0.3202555	0.1648432	0.0911635	0.9261430	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.5178933	0.9994163
0.3202555	0.4623732	0.3109681	0.4931507	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.5178933	0.9994163
0.3200601	0.1531455	0.1816304	0.9710850	0.3110422	1.0000000	0.5732494	0.1006518	0.0003080	0.4612311	0.3392215	0.5177154	0.9994185
0.1645649	0.3669999	0.2715429	0.8071638	0.1594174	0.5000000	0.8169700	0.0418943	0.0035447	0.8761241	0.0598005	0.2036733	0.9999926
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.2866247	0.1389082	0.0007401	0.4606430	0.3397251	0.5178933	0.9994163
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.5732494	0.0503862	0.0001308	0.4606430	0.3397251	0.5178933	0.9994163
0.3202555	0.1531452	0.1816303	0.9710853	0.6222457	1.0000000	0.5732494	0.1007639	0.0001555	0.4606430	0.3397247	0.5178924	0.9994163
0.3644970	0.1531455	0.1816304	0.9710850	0.6581968	1.0000000	0.5732494	0.1608731	0.0014505	0.2303168	0.4624172	0.5555569	0.9986457
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.1698625	0.4125729	0.9994163
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.2589478	0.9994163
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.1887406	0.4311511	0.4997081
