"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.3202464	0.1531039	0.1816261	0.9711325	0.6221525	1.0000000	0.5732493	0.1007873	0.0003133	0.4606431	0.3396503	0.5176798	0.9994168
50	0.3202228	0.1536079	0.2773727	0.9723717	0.6207249	0.9685822	0.2990759	0.1040719	0.0002836	0.4637579	0.3333551	0.5176565	0.9994166
100	0.3193573	0.1560242	0.3431296	0.9765848	0.6117387	0.9304155	0.1347483	0.1216654	0.0002872	0.4805764	0.3067335	0.5154456	0.9994183
150	0.3159950	0.1590964	0.3653296	0.9802701	0.5969988	0.9068486	0.0937236	0.1418433	0.0003750	0.5039279	0.2760281	0.5084315	0.9994306
200	0.3101025	0.1615309	0.3721305	0.9823054	0.5814113	0.8946015	0.0881483	0.1529439	0.0005249	0.5236058	0.2499964	0.4971983	0.9994645
250	0.3032777	0.1630985	0.3743243	0.9831628	0.5673903	0.8886953	0.0893152	0.1558991	0.0006624	0.5366115	0.2287400	0.4837809	0.9995176
300	0.2971410	0.1640115	0.3751171	0.9834345	0.5555878	0.8859553	0.0907885	0.1550061	0.0007407	0.5440959	0.2118051	0.4698079	0.9995759
350	0.2924800	0.1645173	0.3754378	0.9834768	0.5461153	0.8847119	0.0916834	0.1531550	0.0007644	0.5480480	0.1991359	0.4564550	0.9996268
400	0.2893358	0.1647901	0.3755780	0.9834514	0.5389087	0.8841548	0.0921397	0.1515443	0.0007581	0.5500211	0.1903587	0.4446769	0.9996650
450	0.2873907	0.1649347	0.3756420	0.9834177	0.5337380	0.8839073	0.0923563	0.1504450	0.0007420	0.5509697	0.1846979	0.4351100	0.9996907
500	0.2862629	0.1650103	0.3756719	0.9833921	0.5302369	0.8837978	0.0924556	0.1497824	0.0007265	0.5514143	0.1812625	0.4279380	0.9997068
550	0.2856775	0.1644404	0.2799797	0.9829304	0.5297089	0.9151673	0.3673445	0.1446354	0.0008038	0.5481162	0.1832005	0.4231471	0.9997163
600	0.2865391	0.1615109	0.2141212	0.9803487	0.5384202	0.9533128	0.5305507	0.1257404	0.0007910	0.5300350	0.1999115	0.4234605	0.9997204
650	0.2906621	0.1580478	0.1918259	0.9766933	0.5535272	0.9768703	0.5707389	0.1085415	0.0006409	0.5060805	0.2232751	0.4318511	0.9997143
700	0.2973532	0.1556480	0.1850159	0.9738353	0.5695924	0.9891134	0.5764174	0.0997490	0.0004810	0.4867755	0.2480220	0.4458030	0.9996900
750	0.3043853	0.1543540	0.1828622	0.9722179	0.5839908	0.9950178	0.5756729	0.0971272	0.0003747	0.4744576	0.2722787	0.4615244	0.9996469
800	0.3101795	0.1537318	0.1821177	0.9714725	0.5957926	0.9977569	0.5745575	0.0973333	0.0003205	0.4675495	0.2936905	0.4764464	0.9995935
850	0.3142768	0.1534402	0.1818352	0.9711809	0.6047980	0.9990001	0.5738818	0.0983258	0.0002995	0.4639675	0.3104363	0.4891083	0.9995411
900	0.3168899	0.1532993	0.1817201	0.9710863	0.6112326	0.9995569	0.5735411	0.0992559	0.0002950	0.4622019	0.3221869	0.4989180	0.9994975
950	0.3184379	0.1532275	0.1816708	0.9710652	0.6155651	0.9998044	0.5733810	0.0999073	0.0002970	0.4613607	0.3297390	0.5059548	0.9994658
1000	0.3193059	0.1531895	0.1816490	0.9710666	0.6183340	0.9999139	0.5733081	0.1003048	0.0003005	0.4609692	0.3342690	0.5106854	0.9994449

0	0.3202464	0.1531039	0.1816261	0.9711325	0.6221525	1.0000000	0.5732493	0.1007873	0.0003133	0.4606431	0.3396503	0.5176798	0.9994168
50	0.3231199	0.0860265	0.1820971	0.9696151	0.6152019	0.8547499	0.5793102	0.0690298	0.0003070	0.3666947	0.6845762	0.5276767	0.9994142
