G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000002	0.9999999	0.9147667	0.0357248	0.0269514	0.0000023	0.5547518	0.2786874	0.2432445	1.0000000	0.0589429	0.1993854	1.0000000
0.9999987	1.0000000	0.9147679	0.0357138	0.0269516	0.0000010	1.0000000	0.7343599	0.7708961	0.0000000	0.0589429	0.1993855	0.9999997
0.0000000	0.1531455	0.1816304	0.9710850	0.0269508	1.0000000	0.5732494	0.0455977	0.0000789	0.9483755	0.0000000	0.0225862	1.0000000
0.0000000	0.1531455	0.1816304	0.9710850	0.0269508	1.0000000	0.5732494	0.0455977	0.0000789	0.9483755	0.0589429	0.0000000	1.0000000
0.0000000	0.1531455	0.1816304	0.9710850	0.0269508	1.0000000	0.5732494	0.0455977	0.0000789	0.9483755	0.0589429	0.1993851	0.0000000
0.5575212	0.0000000	0.5914891	0.0357244	0.0269529	0.0000023	0.5547518	0.2786874	0.2432446	1.0000000	0.0589429	0.1993858	1.0000000
0.5575234	0.9999998	0.0000000	0.0357270	0.0269566	0.0000053	0.5547523	0.2786305	0.2431618	1.0000000	0.0589429	0.1993869	0.9999998
0.5575234	0.9999999	0.9147641	0.0000076	0.0269566	0.0000053	0.5547523	0.2786305	0.2431618	1.0000000	0.0589429	0.1993869	0.9999998
0.5575211	0.9999999	0.9147667	0.0357248	0.0000004	0.0000023	0.5547518	0.2786874	0.2432445	1.0000000	0.0589429	0.1993858	1.0000000
0.5575203	1.0000000	0.9147679	0.0357138	0.0269513	0.0000010	0.0000000	0.4755194	0.3026992	1.0000000	0.0589429	0.1993853	1.0000000
0.5575212	0.9999999	0.9147667	0.0357248	0.0269529	0.0000023	0.5547806	0.0000000	0.2314888	1.0000000	0.0589429	0.1993858	1.0000000
0.5575212	0.9999999	0.9147667	0.0357248	0.0269529	0.0000023	1.0000000	0.2112359	0.0000000	1.0000000	0.0589429	0.1993858	1.0000000
0.5575212	0.9999999	0.9147667	0.0357248	0.0269529	0.0000023	0.5547518	0.2786874	0.2432446	1.0000000	0.0000000	0.0225866	1.0000000
