G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.1601015	0.1531455	0.1816304	0.9710850	0.4185549	1.0000000	0.5732494	0.1007323	0.0003086	0.4608076	0.0775307	0.2499651	0.9999936
0.3202555	0.0766326	0.1796309	0.9706524	0.6222457	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397250	0.5178930	0.9994163
0.3202555	0.1647865	0.0911602	0.9261736	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.5178933	0.9994163
0.3202555	0.4625018	0.3109763	0.4931056	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.5178933	0.9994163
0.3200660	0.1531455	0.1816304	0.9710850	0.3111474	1.0000000	0.5732494	0.1006550	0.0003081	0.4612280	0.3392430	0.5177390	0.9994183
0.1645811	0.3667980	0.2715023	0.8073085	0.1595153	0.5000005	0.8169693	0.0418971	0.0035447	0.8761150	0.0598011	0.2036870	0.9999926
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.2866248	0.1388798	0.0007372	0.4606430	0.3397251	0.5178932	0.9994163
0.3202555	0.1531455	0.1816304	0.9710851	0.6222458	1.0000000	0.5732494	0.0504043	0.0001311	0.4606430	0.3397251	0.5178931	0.9994163
0.3202554	0.1531446	0.1816302	0.9710858	0.6222439	1.0000000	0.5732494	0.1007640	0.0001568	0.4606430	0.3397242	0.5178890	0.9994163
0.3644904	0.1531455	0.1816304	0.9710850	0.6580972	1.0000000	0.5732494	0.1608604	0.0014479	0.2303172	0.4623730	0.5554223	0.9986465
0.3202555	0.1531455	0.1816304	0.9710851	0.6222458	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.1698627	0.4127411	0.9994163
0.3202555	0.1531455	0.1816304	0.9710851	0.6222458	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.3397251	0.2590273	0.9994163
0.3202555	0.1531455	0.1816304	0.9710850	0.6222459	1.0000000	0.5732494	0.1007639	0.0003089	0.4606430	0.1887422	0.4312950	0.4997089
