"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5

0	0.2046252	0.0638009	0.0840464	0.6359823	0.4498225	0.6983630	0.4216508	0.0425100	0.0006034	0.2767607	0.2678916	0.2764798	0.5712524
50	0.2371829	0.0978099	0.2321002	0.5599992	0.3940891	0.6280109	0.2493122	0.0693641	0.0011121	0.3848845	0.2363029	0.3766408	0.6724885
100	0.1250312	0.0972517	0.2392063	0.5575918	0.4081169	0.6686125	0.0781529	0.0548355	0.0083411	0.3715782	0.1995310	0.2568675	0.7003601
150	0.2075987	0.1096700	0.2175636	0.6846392	0.4131341	0.7141004	0.0441971	0.0746843	0.0007211	0.3859295	0.1343363	0.3803862	0.6727059
200	0.2062922	0.0774474	0.2558947	0.7645171	0.3743149	0.6035403	0.0934667	0.1091596	0.0013267	0.3893715	0.1563803	0.3906046	0.6248092
250	0.1412564	0.1258735	0.2453471	0.5856764	0.2829450	0.5372026	0.0678939	0.1110397	0.0053728	0.3548774	0.1292915	0.3141939	0.6258104
300	0.1669707	0.1244673	0.2123732	0.6750007	0.3687227	0.4945376	0.0540043	0.1268422	0.0019337	0.3354883	0.0669974	0.3705774	0.6204225
350	0.1705346	0.1103068	0.2590220	0.7053729	0.3493511	0.5711260	0.0660404	0.1116960	0.0001493	0.3325836	0.0624150	0.2451278	0.5930449
400	0.1383970	0.1066888	0.2930326	0.5824684	0.2962955	0.5807627	0.0802501	0.0846772	0.0014682	0.3288669	0.0928673	0.2012414	0.7011496
450	0.1251423	0.1320683	0.2069566	0.6329350	0.2257225	0.5248033	0.0444437	0.1164305	0.0030625	0.4198913	0.0691531	0.1441850	0.6309148
500	0.1401729	0.1210456	0.2094500	0.7447746	0.1911126	0.5598933	0.0511172	0.0973352	0.0007323	0.3561073	0.0664012	0.1817326	0.5997028
550	0.1925269	0.1525974	0.1586329	0.6280196	0.2852836	0.5767590	0.2403102	0.0473567	0.0041006	0.4491583	0.0993562	0.1844473	0.7149555
600	0.1665411	0.1132009	0.1134624	0.5147910	0.2440874	0.5677875	0.3369973	0.0406287	0.0032346	0.3518540	0.1554099	0.2642903	0.6779942
650	0.1541843	0.1186240	0.1350083	0.5392562	0.2626863	0.7115356	0.4585243	0.1017892	0.0151261	0.3948391	0.1132420	0.2839086	0.5615153
700	0.1769022	0.1281110	0.0683418	0.5571929	0.3976554	0.6169527	0.2809587	0.0445913	0.0008593	0.3025103	0.1682684	0.2389044	0.6121377
750	0.2579158	0.0924121	0.1320228	0.6090584	0.2844895	0.7904659	0.3267478	0.0614760	0.0027309	0.3547108	0.1429840	0.2655456	0.7086160
800	0.1612113	0.0823345	0.1408869	0.7554591	0.3927254	0.6402822	0.3880365	0.0608830	0.0168437	0.2870757	0.1472125	0.2321000	0.5556201
850	0.1540266	0.0817048	0.1551863	0.6704149	0.4373591	0.7557473	0.3165505	0.0731338	0.0011790	0.2236690	0.1678320	0.2608140	0.7732142
900	0.1516293	0.0988938	0.1474728	0.6850507	0.3739458	0.4923086	0.3220850	0.0713379	0.0016920	0.2872609	0.0938831	0.3245701	0.6724298
950	0.1557948	0.0635245	0.1694744	0.6828861	0.3759761	0.7155006	0.3656116	0.0360890	0.0036325	0.3124460	0.1161887	0.3214588	0.5921149
1000	0.2138175	0.0847525	0.1109954	0.6719009	0.3488591	0.6616225	0.4446851	0.0352664	0.0007907	0.2969668	0.1015649	0.2484368	0.5969585

0	0.2413837	0.0727800	0.0994499	0.6851437	0.5194553	0.6547328	0.4310376	0.0603890	0.0002757	0.3127283	0.3151033	0.2938372	0.5043385
50	0.1780457	0.0702405	0.1196305	0.5540116	0.4593393	0.5478273	0.3390427	0.0741275	0.0000000	0.2264636	0.4297206	0.2921571	0.5737842
100	0.2393496	0.0087779	0.1524263	0.6425726	0.3422440	0.3865998	0.3597543	0.0209500	0.0044393	0.2328211	0.4464080	0.3692856	0.6536435
150	0.2268536	0.0024037	0.1398170	0.5683136	0.3077251	0.4052467	0.4183381	0.0139810	0.0001884	0.2494432	0.5418750	0.3739077	0.8172405
200	0.1888734	0.0066260	0.1485473	0.5336766	0.2256314	0.2466772	0.4525938	0.0049215	0.0010121	0.2550466	0.4233991	0.3347677	0.6153768
250	0.2472379	0.0096939	0.1565557	0.5452765	0.2374295	0.3063093	0.4811098	0.0019784	0.0036928	0.4190007	0.4732717	0.4208488	0.5445025
