G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	0.6517924	0.5959657	0.0293944	0.0152112	0.0000000	0.3854151	0.2264402	0.2470292	0.4692625	0.0371073	0.1624362	0.6256150
0.6754514	0.6439628	0.5849312	0.0199194	0.0110105	0.0000000	0.6925461	0.4260988	0.5695734	0.0000000	0.0537877	0.1220220	0.6262815
0.0000000	0.1425177	0.1183437	0.6119613	0.0375367	0.5603926	0.3384145	0.0375304	0.0026196	0.6761192	0.0000000	0.0333793	0.7479154
0.0000000	0.0930484	0.1277283	0.7433766	0.0294621	0.7697260	0.3943424	0.0418426	0.0000616	0.5711550	0.0631966	0.0000000	0.6125458
0.0000000	0.0727148	0.1473183	0.4837632	0.0122850	0.7344290	0.3611352	0.0230145	0.0011679	0.5354955	0.0238498	0.1333372	0.0000000
0.4889940	0.0000000	0.4088147	0.0470948	0.0298835	0.0000000	0.3869269	0.1579466	0.1822522	0.7084952	0.0620313	0.1228783	0.6119282
0.4268955	0.6185927	0.0000000	0.0305306	0.0239176	0.0000000	0.3994150	0.1168905	0.1105501	0.6155952	0.1006785	0.1204260	0.6964156
0.3603793	0.7586856	0.5272826	0.0000000	0.0317894	0.0000000	0.3690307	0.1847386	0.1185639	0.6790578	0.0604074	0.1618226	0.6067042
0.4436670	0.6028376	0.6784829	0.0415165	0.0000000	0.0000000	0.4028138	0.1531569	0.1807461	0.6328042	0.0489421	0.1611781	0.7012886
0.3243829	0.6376007	0.5699210	0.0306721	0.0201051	0.0000000	0.0000000	0.2517386	0.1585281	0.6601292	0.0459561	0.0827809	0.6934119
0.3259291	0.8550260	0.6189411	0.0318074	0.0469517	0.0000000	0.3180849	0.0000000	0.1995019	0.6004227	0.0344520	0.1256614	0.6565333
0.4482981	0.5983756	0.6571635	0.0222635	0.0168985	0.0000000	0.7692234	0.1415394	0.0000000	0.5672686	0.0491455	0.1080612	0.6522438
0.4254557	0.7680254	0.6528188	0.0299644	0.0215583	0.0000000	0.2647875	0.2641857	0.2140373	0.5752908	0.0000000	0.0084200	0.6493709
