G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0948553	0.1038981	0.1540056	0.5048103	0.2594228	0.6193476	0.4579940	0.0814474	0.0003184	0.2975184	0.0827630	0.1826122	0.6484992
0.2765547	0.0758569	0.1070152	0.5947482	0.4664099	0.6311641	0.4554701	0.1055001	0.0007773	0.2755071	0.2745384	0.3514459	0.6281060
0.2650345	0.0886950	0.0590251	0.5565769	0.3364634	0.6782454	0.3669581	0.0724582	0.0007920	0.3955005	0.3436559	0.3970219	0.6339799
0.2136986	0.2726955	0.2148546	0.4001371	0.3996781	0.7621112	0.3687830	0.0455625	0.0004963	0.2333145	0.2498990	0.3275370	0.5260286
0.2022755	0.1045177	0.1225386	0.6598923	0.2121298	0.7172116	0.4045544	0.0676713	0.0004149	0.1835514	0.1314080	0.2452133	0.6440775
0.1147303	0.3110150	0.1817493	0.5587671	0.1021149	0.3683354	0.4602326	0.0213476	0.0111701	0.5090389	0.0314004	0.1200030	0.6450927
0.2680108	0.0839131	0.1331041	0.6261870	0.3991935	0.6023321	0.2455701	0.0935110	0.0014338	0.3148292	0.3778173	0.4237952	0.7818244
0.2048478	0.1199522	0.1276039	0.6335411	0.5004062	0.6685602	0.4003680	0.0397288	0.0000833	0.4222530	0.3201291	0.2934793	0.5601925
0.2227070	0.0929424	0.2012605	0.7222269	0.4269479	0.6065523	0.2506000	0.0599430	0.0002947	0.2753085	0.2036403	0.4096526	0.5649488
0.2738296	0.0697870	0.0951176	0.7118825	0.3178522	0.8696184	0.3251655	0.1045686	0.0016547	0.1154358	0.2421764	0.3188043	0.6787651
0.1467182	0.1234193	0.1051145	0.6690552	0.3960229	0.6387027	0.3731017	0.0486343	0.0027764	0.2468592	0.0557859	0.2626845	0.4847538
0.1887895	0.1250330	0.1128037	0.5750258	0.4315573	0.7422971	0.3670262	0.0689812	0.0002679	0.3269570	0.1434781	0.1665015	0.7622799
0.3203688	0.0918486	0.1619711	0.5930275	0.3695343	0.6227852	0.3407238	0.0970213	0.0001921	0.4034039	0.1965938	0.2258171	0.3872228
