G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.0000000	0.0816754	0.1155157	0.6549303	0.0130839	0.6094122	0.4002451	0.0436768	0.0004611	0.6506857	0.0198944	0.1917389	0.6917562
0.2328961	0.0000000	0.0798395	0.5922800	0.2809548	0.6396513	0.3972020	0.0589726	0.0068320	0.3484458	0.1723053	0.2394393	0.8167570
0.2034417	0.6968793	0.0000000	0.0480395	0.3783171	0.5904354	0.4146191	0.0825227	0.0005726	0.3160268	0.3399089	0.3639207	0.6692246
0.1870437	0.7098625	0.5509716	0.0000000	0.4069591	0.5412770	0.4041351	0.0695120	0.0001857	0.2462481	0.1474705	0.3097559	0.6273725
0.0884265	0.1034880	0.1315223	0.5777654	0.0000000	0.6960365	0.3977304	0.0337387	0.0003577	0.6849402	0.0462686	0.1317015	0.5319208
0.3354729	0.6273342	0.6441904	0.0498579	0.0148102	0.0000000	0.3221003	0.1550704	0.1811151	0.5847759	0.0482994	0.1713117	0.6340487
0.1619132	0.0861032	0.1267658	0.6456398	0.3906247	0.6316943	0.0000000	0.0960053	0.0028024	0.3316566	0.2746627	0.2343248	0.6744429
0.1791300	0.0920549	0.1340229	0.6133990	0.4045195	0.6966925	0.3861921	0.0000000	0.0002342	0.2222616	0.2372210	0.3858812	0.6763329
0.2263897	0.1069309	0.1294539	0.7375723	0.4518245	0.7050003	0.3409434	0.0583831	0.0000000	0.2732741	0.1696013	0.2857746	0.6949628
0.3315905	0.1096569	0.1218685	0.4993776	0.5018736	0.6792296	0.3018390	0.2117652	0.0020236	0.0000000	0.3193614	0.3346639	0.6475256
0.1829311	0.0661295	0.1007582	0.7712833	0.3658857	0.7559882	0.4070546	0.0765063	0.0006349	0.2878511	0.0000000	0.0194703	0.7481906
0.2780847	0.1013638	0.1162295	0.5912771	0.3567333	0.5929870	0.4155966	0.0601118	0.0004558	0.3255371	0.2061626	0.0000000	0.7063714
0.1689452	0.0667305	0.1204212	0.5324772	0.3907904	0.5685543	0.4298635	0.0779415	0.0001040	0.3128260	0.0254983	0.1165501	0.0000000
