G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.1634880	0.0955491	0.0203330	0.5491510	0.2916912	0.6441414	0.1281275	0.0491962	0.1625934	0.2118424	0.4278353	0.3524926	0.5358009
0.2713676	0.2510131	0.3926210	0.4998298	0.1015125	0.2375245	0.4945395	0.0014929	0.0220718	0.3838012	0.4206983	0.4034906	0.5700774
0.2413208	0.0979046	0.0206899	0.4405409	0.2249014	0.3709304	0.2608120	0.1053425	0.1942930	0.1404212	0.0202314	0.1073228	0.6229021
0.1482905	0.0413121	0.3417747	0.6052691	0.3502058	0.5861338	0.4075216	0.0762307	0.0000210	0.3630205	0.1343046	0.2474568	0.5028664
0.1162420	0.0528859	0.0344681	0.6018617	0.3317286	0.7077881	0.1322327	0.0284209	0.1167181	0.2792042	0.1220888	0.3321016	0.4863253
0.0027693	0.1425641	0.2503877	0.6737671	0.0063986	0.3768484	0.1428676	0.0490080	0.0531928	0.6878218	0.0071386	0.1384453	0.7485690
0.1347262	0.3231805	0.0335400	0.3304012	0.4230903	0.3358517	0.3899657	0.0241019	0.0278253	0.4505881	0.1081436	0.3983767	0.5907078
0.3046593	0.0968800	0.1240593	0.6926252	0.4655678	0.6496229	0.0314627	0.1274995	0.2853367	0.1839762	0.3442530	0.3795470	0.5930422
0.1753702	0.1272097	0.2807021	0.5780067	0.2938785	0.5123148	0.2767189	0.0895447	0.0040319	0.3042300	0.0282820	0.0631086	0.6727053
0.2607339	0.0888128	0.0999552	0.6968399	0.3744315	0.8184767	0.0916063	0.1072591	0.0506474	0.2899588	0.1523773	0.3809666	0.6579242
0.1538262	0.0863648	0.2023140	0.6624111	0.3199927	0.6596117	0.0256198	0.0870051	0.1940970	0.3072153	0.1346983	0.3029988	0.6944220
0.2769992	0.0323074	0.2008297	0.6868688	0.3786834	0.6656202	0.3510954	0.0237829	0.0002577	0.3199611	0.3057610	0.5043437	0.7156252
0.1438313	0.0351187	0.0451438	0.7628530	0.3632077	0.4924009	0.5324060	0.0326757	0.0034115	0.3278426	0.1356151	0.3431628	0.6314628
