G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.4180996	0.0026140	0.0068360	0.0000000	0.7321414	0.7188980	0.3037865	0.0315735	0.3396069	0.0519770	0.0097330	0.0656400	0.4960909	0.1595825	0.5381377
0.0000000	0.2534872	0.0142546	0.0094155	0.3822969	0.5345833	0.6332198	0.2954717	0.0000000	0.3189954	0.0772230	0.0337930	0.2711287	0.3677737	0.0980116	0.2663644
0.0000000	0.2951478	0.0066230	0.0014494	0.3115541	0.4121581	0.7417817	0.2267840	0.0286896	0.3694300	0.0673275	0.0205625	0.0000000	0.4021504	0.2156979	0.4781351
0.0000000	0.0000000	0.0062325	0.0077291	0.3655358	0.5944804	0.5997280	0.1806180	0.0279541	0.3787854	0.0956170	0.0149992	0.3094778	0.4978877	0.0814861	0.2456589
0.0000000	0.3187460	0.0000000	0.0015901	0.3517047	0.5348098	0.6607423	0.2719267	0.0287970	0.3040594	0.1223196	0.0252492	0.3090925	0.5326299	0.0962159	0.2869153
0.0000000	0.2303374	0.0327889	0.0000000	0.3136901	0.4728728	0.5505042	0.1891333	0.0393722	0.3820622	0.0415472	0.0277733	0.2656098	0.4198958	0.1359377	0.2680569
0.0000000	0.2451209	0.0098683	0.0050751	0.3838206	0.0000000	0.7039835	0.5555394	0.0123166	0.3563833	0.0580992	0.0068541	0.3533635	0.4390801	0.0722338	0.2954288
0.0000000	0.2553845	0.0125360	0.0042187	0.2652076	0.2231473	0.0000000	0.2903574	0.0240603	0.3962631	0.0606684	0.0214106	0.3066770	0.4219450	0.1359709	0.3223440
0.0000000	0.2778397	0.0091609	0.0214680	0.2999815	0.3180437	0.1111073	0.0000000	0.0360550	0.3031063	0.0893248	0.0140009	0.2407289	0.3600962	0.0949563	0.2468612
0.0000000	0.2775371	0.0148766	0.0147267	0.4033912	0.5785322	0.6475691	0.2214049	0.0210054	0.0000000	0.1158643	0.0283644	0.2677507	0.3936348	0.0862542	0.3281635
0.0000000	0.2612037	0.0191655	0.0222081	0.3242597	0.6514848	0.6161446	0.3218871	0.0384265	0.2447632	0.0000000	0.0306577	0.2947614	0.4586167	0.1086728	0.3801197
0.0000000	0.3381122	0.0132897	0.0229727	0.2751293	0.6037051	0.6791832	0.2454473	0.0403308	0.3443906	0.0839202	0.0000000	0.3332366	0.3325896	0.1319247	0.2716822
0.0000000	0.3215881	0.0086861	0.0255087	0.3197435	0.5947046	0.6614769	0.3269843	0.0541207	0.2749188	0.0851506	0.0216015	0.3427702	0.0000000	0.0849277	0.4114042
0.0000000	0.2195644	0.0307081	0.0193285	0.2914937	0.5811163	0.7518039	0.2827871	0.0072475	0.3821274	0.0901169	0.0134048	0.2769474	0.3493230	0.0000000	0.2417104
0.0000000	0.3623071	0.0043332	0.0080502	0.3521905	0.6094641	0.6068620	0.2801421	0.0443756	0.4209186	0.0840742	0.0107118	0.2225301	0.4231830	0.1338511	0.0000000
0.7702297	0.0562090	0.0054280	0.0124209	0.0000000	0.0000000	0.7153286	0.7954489	0.0468348	0.5390344	0.6187782	0.4412051	0.0694851	0.1764544	0.6450082	0.6370237
