G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.4450607	0.1404399	0.1430837	0.4028569	0.3107701	0.4216483	0.0002085	0.4574323	0.5262276	0.6152719	0.2634107	0.6584014	0.2216084	0.6824688	0.0431103	0.5550177
0.8458731	0.2696556	0.0354627	0.6182380	0.3763243	0.5072757	0.0322991	0.6137772	0.4076870	0.4500309	0.2079470	0.2022606	0.1970931	0.6865050	0.0152057	0.5682665
0.6999312	0.5407983	0.0294038	0.4433294	0.3924518	0.5425425	0.0079555	0.5017249	0.3736297	0.4332882	0.1671637	0.2210800	0.2260086	0.5413710	0.0251179	0.5795416
0.9598218	0.4922731	0.1318115	0.2554177	0.4544989	0.5405594	0.0056848	0.5707246	0.4445275	0.3825501	0.1617550	0.2495237	0.2084137	0.6129569	0.0787645	0.5707922
0.8524089	0.5510971	0.0471323	0.5046708	0.2017487	0.5215989	0.0012119	0.6249428	0.4136740	0.5330308	0.1275701	0.2791801	0.1651158	0.4923597	0.0706526	0.5563403
0.7760079	0.3461297	0.0435457	0.5314287	0.4864684	0.2661389	0.0042477	0.8380223	0.3877286	0.5162936	0.1613842	0.1544793	0.1846990	0.5621909	0.0269767	0.5533368
0.7715133	0.4948195	0.0530987	0.3671091	0.4195411	0.4927140	0.0018655	0.5779669	0.3421023	0.4736785	0.2068631	0.1924419	0.1918338	0.4641337	0.0179873	0.4793992
0.7832834	0.5170737	0.0442936	0.5265986	0.3566779	0.4798241	0.0038724	0.3517990	0.3021981	0.5010567	0.1908915	0.2130191	0.1564159	0.5764259	0.0191093	0.5338603
0.7699443	0.3883071	0.0322468	0.4924014	0.2523519	0.4170605	0.0011532	0.6211513	0.2022127	0.4703467	0.1947289	0.1567597	0.1567309	0.6270327	0.0391149	0.5419286
0.7702218	0.3972919	0.0500081	0.4555564	0.4606864	0.5038335	0.0050777	0.5970861	0.3734456	0.2112439	0.2467159	0.1803022	0.2307365	0.4679901	0.0315212	0.6669804
0.7618227	0.4429942	0.0198681	0.5318859	0.4693692	0.4573591	0.0170692	0.5060229	0.3676150	0.4782122	0.1104778	0.1718134	0.2946701	0.7479824	0.0206114	0.4685245
0.6973372	0.4642817	0.0416150	0.5061335	0.3292307	0.5195901	0.0275151	0.5932660	0.4079009	0.4319566	0.2128735	0.1184162	0.2200462	0.5271470	0.0218152	0.6601479
0.6990496	0.5368311	0.0333458	0.5157405	0.3588405	0.4708900	0.0055375	0.6376321	0.3106566	0.4623793	0.2262734	0.1925755	0.1404416	0.6446151	0.0502483	0.4412465
0.7061523	0.4562145	0.0446094	0.5619691	0.4031552	0.5590080	0.0042299	0.6727050	0.4724082	0.3757735	0.2340020	0.2719495	0.2335968	0.3260783	0.0452382	0.7421114
0.7912008	0.4661563	0.0690531	0.4917750	0.2441575	0.6367978	0.0057976	0.6822685	0.3885987	0.5023347	0.2241594	0.1741810	0.1975250	0.4987197	0.0223364	0.7149227
0.7536486	0.4302873	0.0880903	0.4078515	0.3888424	0.5734389	0.0251339	0.5511664	0.3640228	0.3627167	0.2393197	0.2133142	0.2193292	0.6088612	0.0765044	0.3863542
