G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.2916924	0.0083484	0.0052615	0.3145977	0.5282494	0.6329411	0.1678774	0.0256332	0.3553701	0.0437175	0.0274894	0.3586003	0.4384427	0.0720543	0.2425660
0.8059988	0.0000000	0.0056899	0.0051018	0.0135750	0.3622407	0.8469437	0.4785484	0.0201925	0.5741935	0.5601540	0.4321602	0.1094272	0.1662905	0.4744444	0.4990740
0.7966622	0.0659718	0.0000000	0.0017633	0.0232294	0.3568298	0.7461109	0.4710082	0.0678401	0.5998677	0.5031544	0.5433323	0.0562996	0.1789708	0.4497099	0.5926713
0.7754863	0.0523078	0.0063501	0.0000000	0.0126668	0.4358792	0.7316574	0.3442840	0.0137580	0.6025699	0.5865961	0.4342902	0.0204700	0.2121761	0.5185236	0.6940243
0.6524437	0.0486737	0.0114659	0.0033475	0.0000000	0.4133145	0.6616536	0.3549361	0.0432727	0.5785907	0.5395044	0.4700128	0.0490135	0.2700979	0.7010885	0.7922341
0.7597884	0.0731669	0.0222214	0.0078830	0.0041722	0.0000000	0.8325365	0.7312305	0.0282020	0.4705552	0.6731419	0.4608747	0.0605166	0.2361497	0.5458666	0.8005633
0.6729553	0.0446251	0.0240084	0.0064823	0.0138739	0.4818311	0.0000000	0.4028015	0.0330655	0.5442670	0.6275424	0.5157449	0.0321498	0.1838625	0.4231071	0.7270545
0.8403817	0.0883112	0.0221518	0.0053606	0.0165638	0.3715882	0.5358815	0.0000000	0.0300591	0.6500713	0.5865527	0.4473501	0.0433315	0.2824482	0.3991822	0.6411489
0.7387780	0.0734690	0.0140955	0.0040186	0.0001441	0.4562274	0.8128365	0.4115048	0.0000000	0.6561869	0.6360128	0.4706028	0.0743904	0.3836732	0.4471573	0.6853393
0.7611417	0.0636457	0.0183110	0.0015774	0.0149823	0.2978746	0.6898130	0.3167093	0.0526442	0.0000000	0.1009477	0.0298601	0.0619117	0.2226600	0.4565604	0.7028071
1.0000000	0.1013994	0.0295371	0.0038975	0.0082107	0.3970686	0.8740707	0.4392948	0.0298496	0.5487763	0.0000000	0.4615996	0.0484834	0.2101183	0.4671600	0.9185646
0.6195070	0.0633574	0.0127972	0.0165131	0.0098785	0.4139899	0.8758099	0.2883009	0.0396358	0.6675536	0.0519682	0.0000000	0.0552062	0.3102323	0.6630845	0.6013309
0.7272460	0.0674412	0.0094710	0.0115201	0.0261285	0.3849166	0.6575656	0.3459073	0.0142613	0.5442414	0.6764857	0.4303040	0.0000000	0.3430259	0.5701403	0.6727322
0.7058739	0.0497189	0.0065311	0.0133446	0.0490272	0.4061287	0.8161958	0.3865137	0.0512588	0.6646624	0.7977046	0.4971473	0.0722660	0.0000000	0.5889255	0.7381813
0.6459369	0.0987873	0.0069197	0.0058465	0.0106612	0.3472813	0.7153732	0.3964612	0.0412062	0.6037505	0.7307583	0.3906844	0.0772543	0.0140257	0.0000000	0.6795964
0.7838736	0.0611146	0.0038061	0.0017618	0.0182781	0.3049689	0.7095765	0.3602251	0.0250159	0.6198710	0.7467567	0.3941695	0.0407303	0.2574009	0.5073532	0.0000000
