G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.7254606	0.1454813	0.0910796	0.0006956	0.0981248	0.6851473	0.7861807	0.2955852	0.3211767	0.3648338	0.7138316	0.5423648	0.3273365	0.4230406	0.4127016	0.1721528
0.7146829	0.2198487	0.1416615	0.1550773	0.0837284	0.1789996	0.5276350	0.3715493	0.6661152	0.2907231	0.2384907	0.8359606	0.0712858	0.2445195	0.5865641	0.3830115
0.5384807	0.1152736	0.1746541	0.0326755	0.1202289	0.3392890	0.5422359	0.2172322	0.0682276	0.3962393	0.4923471	0.7566081	0.2030336	0.1358040	0.4553974	0.3324793
0.5038443	0.2816332	0.2611166	0.2266838	0.1111656	0.3837952	0.4489093	0.0519515	0.1527320	0.5452842	0.4974701	0.4964679	0.2026687	0.3369151	0.2378152	0.5182502
0.5232039	0.0798906	0.0022684	0.0005583	0.1968005	0.5405206	0.6512198	0.1619187	0.2949350	0.5731226	0.6001664	0.5593468	0.1161392	0.2657799	0.5615340	0.5967814
0.7912089	0.3909655	0.1920230	0.1533203	0.0123420	0.2954031	0.8336815	0.4643580	0.0129757	0.2715417	0.5205674	0.4973207	0.1175229	0.0844236	0.6583668	0.5449473
0.6597812	0.2573777	0.0020275	0.0231165	0.0136049	0.5718978	0.8396178	0.3003297	0.0414507	0.4901510	0.5525556	0.4651074	0.0241291	0.5966647	0.6831826	0.7156061
0.6848503	0.0514688	0.0988527	0.0623286	0.4869394	0.1436350	0.8362093	0.3412280	0.4889357	0.1161831	0.4371337	0.5949519	0.1215488	0.3389863	0.4934346	0.5672056
0.7591238	0.0744788	0.1674803	0.0001529	0.0285199	0.4229164	0.6520095	0.4458343	0.1660422	0.4145328	0.5307092	0.5269874	0.0336858	0.4695874	0.4506457	0.3815401
0.7561687	0.1805505	0.2568518	0.1767514	0.0181970	0.1984248	0.6155067	0.1066272	0.1240924	0.3249206	0.7093978	0.5559902	0.0137451	0.5473061	0.6257229	0.4577074
0.8441109	0.0118510	0.0000017	0.0015657	0.0507019	0.5523904	0.4684192	0.4324096	0.2164939	0.5990304	0.6683041	0.5303247	0.1049112	0.6380058	0.4398302	0.5586563
0.8927125	0.2853497	0.0025425	0.0966758	0.1020759	0.4243111	0.6482536	0.2981619	0.2067759	0.2582099	0.5833118	0.5627022	0.2724716	0.2527439	0.2234669	0.4816790
0.7773539	0.2260777	0.0004246	0.0043565	0.0268610	0.6666939	0.4874937	0.1246771	0.0617108	0.4958663	0.5845446	0.7016556	0.0041338	0.5305941	0.7890443	0.7735595
0.7733868	0.0924480	0.0001576	0.0019542	0.0150937	0.4202000	0.7602181	0.4179756	0.0707693	0.4377115	0.6279410	0.3996373	0.2632892	0.0128496	0.5687063	0.4755636
0.7177943	0.3779804	0.1665159	0.2268044	0.1172360	0.2566688	0.4114445	0.2920927	0.0007355	0.3016909	0.6959874	0.6881684	0.1186631	0.2801353	0.7249300	0.6382258
0.7626438	0.0862323	0.1733815	0.0881375	0.1378105	0.1523519	0.6362359	0.4484589	0.0163963	0.4982386	0.6668045	0.7442271	0.1498289	0.4783467	0.3080291	0.2615735
