"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.0292582	0.6365749	0.0473712	0.6517803	0.5555690	0.7394196	0.0061377	0.6655635	0.5274779	0.7307343	0.2671613	0.3444116	0.3001965	0.7594602	0.0336901	0.7279898
50	0.9634548	0.5768873	0.0638977	0.4809364	0.5996086	0.8665861	0.0220694	0.4293255	0.1610851	0.5758024	0.2632157	0.3078718	0.3372582	0.7530240	0.0229133	0.8368803
100	1.0082654	0.6365609	0.0820299	0.4746093	0.5627503	0.9081428	0.0310681	0.2839114	0.0859457	0.6328922	0.2818908	0.2711725	0.3144820	0.7314922	0.0233408	0.8328881
150	1.0196023	0.6800377	0.1099611	0.4220359	0.5085669	0.9621748	0.0320646	0.2436753	0.0411771	0.5898963	0.2903093	0.2313165	0.2339229	0.7573463	0.0241103	0.8379566
200	1.0112868	0.7222887	0.1025162	0.4437524	0.4112956	0.9935751	0.0154390	0.2620948	0.0457721	0.5896553	0.2636433	0.1970419	0.2804563	0.8220008	0.0184462	0.8963042
250	0.9837840	0.6942396	0.0887966	0.4240359	0.3928912	1.0946169	0.0097619	0.3060433	0.0428017	0.5876667	0.3020090	0.1755429	0.2342852	0.7124604	0.0180177	0.7703446
300	1.0431307	0.6576410	0.0927981	0.4058633	0.4091223	1.0639646	0.0077252	0.3170189	0.0314940	0.5916871	0.2437590	0.1553044	0.2113267	0.7436524	0.0283233	0.7856525
350	0.9154507	0.6551508	0.0864346	0.4372155	0.4050701	1.0188770	0.0068586	0.2833909	0.0468856	0.4557844	0.2817929	0.1313278	0.2517050	0.7364510	0.0162110	0.7810493
400	0.9903012	0.6718253	0.1052437	0.4025336	0.3507030	1.0558312	0.0018310	0.2814953	0.0339970	0.4837443	0.2619945	0.1433194	0.2665681	0.7536493	0.0273346	0.7108094
450	0.9786002	0.7298494	0.0588394	0.4212531	0.3262960	0.9664526	0.0069313	0.3210167	0.0376957	0.3651080	0.2874798	0.1252409	0.2224024	0.8290008	0.0405123	0.6860650
500	0.9212226	0.7419742	0.0797181	0.3753775	0.3131969	0.9754956	0.0020480	0.3066540	0.0421835	0.2932889	0.3033083	0.1068866	0.1658879	0.8176890	0.0400802	0.7732583
550	1.0272017	0.5771904	0.0776755	0.4606093	0.2166076	0.7388101	0.0025750	0.6441047	0.3376455	0.4706935	0.3673021	0.1144705	0.1793875	0.7816717	0.0301908	0.7016952
600	1.0549246	0.6092659	0.0817959	0.5890675	0.2982447	0.6565634	0.0003343	0.7440008	0.4067394	0.5953707	0.3113488	0.1448085	0.1768005	0.8386667	0.0235307	0.6074585
650	1.0616836	0.5665842	0.0723725	0.6170602	0.3903354	0.6188929	0.0009154	0.7704493	0.4427262	0.6229262	0.3015960	0.1978909	0.1701680	0.8011074	0.0351667	0.6513268
700	1.0603258	0.6525424	0.0864750	0.5984841	0.5163336	0.6184315	0.0044712	0.8293356	0.3836184	0.5410740	0.2730097	0.1772016	0.2219272	0.7443803	0.0674154	0.6697395
750	0.9558303	0.6287338	0.0606058	0.5641165	0.4995658	0.6846110	0.0092026	0.7847156	0.4368470	0.5696215	0.2728761	0.2023695	0.2764932	0.7948613	0.0574600	0.6508231
800	0.9418983	0.5725125	0.0744706	0.5935179	0.4678972	0.7908719	0.0132602	0.6846616	0.4302717	0.5534137	0.2964833	0.2329202	0.2180224	0.6954855	0.0419737	0.6671196
850	1.0194906	0.5803980	0.0834831	0.5788274	0.5076135	0.7369280	0.0159027	0.6808445	0.4391252	0.5415763	0.3105240	0.3054834	0.2461845	0.7157432	0.0367846	0.7162826
900	1.0241355	0.5929997	0.0674531	0.5872956	0.4834582	0.7686113	0.0133854	0.6854633	0.5017055	0.5594862	0.3204406	0.3179843	0.2532101	0.7124896	0.0248610	0.7498856
950	0.9912864	0.5900882	0.0737488	0.7033385	0.4551148	0.7097471	0.0052768	0.8123080	0.5222593	0.5758696	0.3102382	0.3246081	0.2604718	0.6936574	0.0299495	0.7275493
1000	0.9295206	0.5441921	0.0620151	0.6541735	0.5045534	0.6963852	0.0022735	0.7335512	0.4583776	0.6131366	0.3156776	0.3105135	0.2599282	0.7838104	0.0311480	0.7184063

0	1.0292582	0.6365749	0.0473712	0.6517803	0.5555690	0.7394196	0.0061377	0.6655635	0.5274779	0.7307343	0.2671613	0.3444116	0.3001965	0.7594602	0.0336901	0.7279898
50	0.9955820	0.6144823	0.0583638	0.6413335	0.4971448	0.6556821	0.0165765	0.7488873	0.0783335	0.5206191	0.2631041	0.2471536	0.2653424	0.8364083	0.0055261	0.5184893
100	0.9314167	0.5834416	0.0501717	0.6420017	0.3482999	0.6557421	0.0178781	0.8668364	0.0251036	0.5383317	0.2951080	0.2175341	0.2769396	0.8439821	0.0000000	0.4120323
150	0.9503513	0.6206939	0.0635915	0.6801074	0.1986934	0.6356993	0.0018117	0.8497525	0.0080794	0.4968582	0.2550309	0.2025880	0.2095174	0.7014630	0.0033368	0.4180298
200	0.9869761	0.5801113	0.0546747	0.6272695	0.1194844	0.6705930	0.0000000	0.7595216	0.0033719	0.3297356	0.2873658	0.2075166	0.1663257	0.8085409	0.0021225	0.3833115
250	0.9188363	0.5856566	0.0548732	0.6721538	0.0970022	0.6607718	0.0004873	0.7477451	0.0008261	0.1064572	0.2758030	0.1628913	0.1222584	0.8030573	0.0000000	0.3226429
300	0.9917842	0.5671195	0.0518176	0.6215260	0.0757087	0.6494884	0.0000000	0.8183574	0.0028304	0.0292050	0.2801181	0.0944356	0.0654197	0.9070949	0.0028082	0.3617603
