G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.0381463	0.5575476	0.5733834	0.0000000	0.0368605	0.0008604	0.5283879	0.9166180	0.0505465	0.5276263	0.8621468	0.4647976	0.3166159	0.6028890	0.4101040
0.0000000	0.0288618	0.6201120	0.5528397	0.0561479	0.0441707	0.0003515	0.5231111	0.0000000	0.0575499	0.5204239	0.4566208	0.5285474	0.3373434	0.4837500	0.4278556
0.0000000	0.0461155	0.5887475	0.5265376	0.0624224	0.0491542	0.0000573	0.5189172	1.0204278	0.0675735	0.6113018	0.7439898	0.0000000	0.2999985	0.6076211	0.3299733
0.0000000	0.0000000	0.6526023	0.6268595	0.0634456	0.0296401	0.0000114	0.5675605	0.9416149	0.0585856	0.5842558	0.8004172	0.5250284	0.3546980	0.5964594	0.4357517
0.0000000	0.0312877	0.0000000	0.5750045	0.0578798	0.0486730	0.0002558	0.5348534	0.8757939	0.0726635	0.6455999	0.7741764	0.5204013	0.3332913	0.6323497	0.3706724
0.0000000	0.0248895	1.0603176	0.0000000	0.0678579	0.0334676	0.0001819	0.5498937	1.0129423	0.0343456	0.5974850	0.7856871	0.5028294	0.3876985	0.5464219	0.3907757
0.0000000	0.0275894	0.7131606	0.5473170	0.0497229	0.0000000	0.0001372	0.4961664	0.9743267	0.0676279	0.5559465	0.8046849	0.5346099	0.3618824	0.5685204	0.3971438
0.0000000	0.0297147	0.6296838	0.5184823	0.0715859	0.0278030	0.0000000	0.4354944	0.9611935	0.0874698	0.4827092	0.8615004	0.5243418	0.3572809	0.6392656	0.3689188
0.0000000	0.0364977	0.5932968	0.5457603	0.0616081	0.6791254	0.4095539	0.0000000	0.8675712	0.0856851	0.5497942	0.8858696	0.5388934	0.3326756	0.5190559	0.3978941
0.0000000	0.0378053	0.7168904	0.4834187	0.0686068	0.0394444	0.0047802	0.4398090	0.9103919	0.0000000	0.5871151	0.7780661	0.5228330	0.3768002	0.5388890	0.4032650
0.0000000	0.0450201	0.6772142	0.5747912	0.0538972	0.0429168	0.0000184	0.4494671	0.9856425	0.0362004	0.0000000	0.7880282	0.4295980	0.3556963	0.6111168	0.3569324
0.0000000	0.0247629	0.6467124	0.5853242	0.0769952	0.0332159	0.0000687	0.5015813	0.8770293	0.3339060	0.8827557	0.0000000	0.5617060	0.4069456	0.4549597	0.4351208
0.0000000	0.0324208	0.6156113	0.5571429	0.0749561	0.0356172	0.0003359	0.5325951	0.9232112	0.0817247	0.5700338	0.8499465	0.4853430	0.0000000	0.5221945	0.4601967
0.0000000	0.0360248	0.6325050	0.6137194	0.0772149	0.0348720	0.0005248	0.5255303	0.9341891	0.0585794	0.5568368	0.7943704	0.4907117	0.9248437	0.0000000	0.1485658
0.0000000	0.0453009	0.7230506	0.5530282	0.0901319	0.0340493	0.0000386	0.5131575	0.8306578	0.0717770	0.5582336	0.7071858	0.4914838	0.3607569	0.9696719	0.0000000
0.9958253	0.6417189	0.0532782	0.5514165	0.0000000	0.0000000	0.0006013	0.9575802	0.4585137	0.5809534	0.3198256	0.2663402	0.0064599	0.3838638	0.5817565	0.4017320
