G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5633864	0.2437707	0.1855938	0.6044268	0.3307089	0.5992723	0.0015452	0.6419474	0.7525359	0.5882308	0.4398998	0.8258365	0.2915341	0.9053366	0.0502395	0.7605435
1.0292226	0.3405477	0.0516569	0.7376055	0.5298778	0.7274960	0.0187782	0.7877408	0.4877617	0.5777327	0.2618098	0.2580950	0.2673854	0.7817300	0.0174555	0.7240860
0.9455196	0.5850904	0.0384194	0.5429018	0.4970011	0.6442458	0.0093148	0.6739253	0.4878505	0.5527369	0.2402331	0.3041614	0.3018285	0.7294629	0.0391110	0.7742080
1.0874485	0.5645505	0.1585548	0.3370697	0.4861579	0.6906396	0.0062882	0.7029793	0.5000683	0.5446812	0.2658582	0.3449925	0.2640394	0.7869863	0.0436292	0.6976617
1.0105267	0.6046304	0.0692610	0.6368348	0.2706545	0.6702656	0.0013105	0.8260300	0.5283349	0.5759508	0.2378216	0.3437534	0.2040018	0.7564890	0.0668116	0.7537364
1.0100409	0.5356610	0.0640478	0.6509599	0.5172767	0.3175226	0.0039341	0.8993561	0.4329264	0.5859419	0.2439516	0.2212391	0.2742993	0.6920461	0.0317059	0.7306503
1.0065036	0.6700881	0.0724888	0.6651486	0.5118936	0.6328589	0.0020603	0.7604928	0.4592341	0.5444219	0.2727193	0.2610590	0.2431013	0.7072341	0.0343883	0.6966568
0.9909748	0.5979376	0.0671587	0.6744460	0.4837085	0.6531233	0.0054016	0.4810087	0.4709214	0.6353222	0.2733361	0.2824106	0.2408696	0.7731414	0.0327875	0.7132633
0.9632566	0.5780372	0.0594482	0.6405137	0.3246988	0.6330454	0.0020946	0.8451057	0.2514578	0.5811177	0.2626485	0.2105863	0.1813726	0.8620643	0.0776769	0.6978586
0.9662995	0.5963836	0.0527679	0.5897309	0.5281943	0.6410396	0.0090548	0.7790760	0.5273655	0.2667435	0.3075938	0.2540861	0.2787965	0.7274721	0.0497950	0.8204357
0.9463903	0.5911181	0.0472547	0.6251979	0.5198956	0.6826057	0.0131287	0.7296951	0.4199900	0.6381407	0.1359679	0.2857066	0.2838817	0.8723877	0.0400929	0.6978537
0.9305005	0.6028351	0.0584750	0.7039639	0.5082988	0.7030671	0.0163240	0.7237169	0.4706404	0.5907200	0.3021339	0.1517025	0.3159503	0.6985169	0.0293141	0.7265453
0.9847772	0.6710809	0.0515643	0.5608034	0.5102130	0.6460480	0.0118733	0.9048779	0.4885787	0.5465080	0.2648341	0.2393079	0.1283089	0.8389872	0.0336864	0.6669539
1.0821095	0.5829330	0.0506395	0.6759890	0.5286980	0.7089771	0.0104566	0.8198967	0.4818544	0.5241919	0.2789536	0.3017646	0.2452494	0.3573418	0.0287624	0.8575105
1.0249634	0.6600212	0.0761540	0.6485764	0.4659707	0.7447990	0.0191388	0.7673128	0.4756646	0.5706850	0.2729389	0.2169123	0.2667137	0.7098991	0.0299172	0.8111746
1.0123232	0.5987756	0.0888187	0.4897266	0.4660883	0.6869656	0.0224113	0.7910921	0.4603884	0.5748454	0.3144006	0.2971798	0.2862681	0.6993089	0.0931503	0.4422639
