G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3724581	0.0073267	0.0071990	0.4439489	0.6951109	0.8440943	0.2640258	0.0356327	0.4618035	0.0941959	0.0332692	0.4297333	0.5437425	0.1559191	0.3921936
1.0113532	0.0000000	0.0072180	0.0039380	0.0248134	0.4901925	1.1106207	0.5289967	0.0425725	0.8414697	0.7986382	0.5308082	0.1128953	0.3359732	0.6436823	0.8647925
1.1083336	0.0930461	0.0000000	0.0028216	0.0320784	0.5409474	0.9254359	0.5547105	0.0539212	0.8623815	0.8037087	0.6204492	0.1145338	0.3363516	0.6963041	0.9167334
1.0141332	0.0721114	0.0042822	0.0000000	0.0224418	0.6169898	1.0213404	0.5454550	0.0308971	0.8417576	0.7736394	0.6003583	0.0533341	0.3125507	0.7636138	0.9293334
1.0079714	0.0642788	0.0191378	0.0059240	0.0000000	0.5906743	1.0143411	0.4785635	0.0519364	0.8534801	0.8539639	0.6097798	0.0824026	0.3259223	0.7574853	0.9840132
1.0256951	0.1074683	0.0155628	0.0083718	0.0119653	0.0000000	1.0355461	0.9870458	0.0489545	0.7882809	0.8910592	0.5779161	0.0957038	0.2938815	0.8241356	0.9797646
0.9666722	0.0553358	0.0197699	0.0133780	0.0272036	0.5957984	0.0000000	0.4850828	0.0425974	0.8150851	0.8265485	0.6596109	0.0714269	0.2821231	0.6415063	0.9760745
1.0335441	0.0935708	0.0176629	0.0051464	0.0292622	0.5593717	0.8685638	0.0000000	0.0547414	0.7834229	0.8456784	0.6188014	0.0830480	0.3405504	0.6016008	0.9455815
0.9752882	0.0949693	0.0178374	0.0082768	0.0001335	0.5683953	1.0648337	0.6172245	0.0000000	0.8083548	0.8881353	0.6390147	0.0967377	0.4044723	0.6502200	1.0243682
0.9659117	0.0784165	0.0173651	0.0091815	0.0216025	0.4793862	0.9980700	0.5095610	0.0420300	0.0000000	0.1348418	0.0416832	0.0897673	0.2817312	0.6796431	0.9403609
1.0181715	0.1070220	0.0077474	0.0060604	0.0284679	0.5828900	1.0520136	0.5601523	0.0417792	0.8671672	0.0000000	0.6237230	0.0776244	0.3437089	0.7145412	1.0403017
0.9518695	0.0781284	0.0118149	0.0153926	0.0134828	0.5112327	1.0619838	0.4930748	0.0632111	0.7781268	0.0945674	0.0000000	0.1053544	0.3473878	0.7350840	0.8712498
1.0578292	0.1046149	0.0117737	0.0067140	0.0199840	0.5398121	0.9905701	0.5233522	0.0457919	0.7706067	0.7647995	0.5652190	0.0000000	0.4088259	0.7622087	0.9256889
0.9744802	0.0585577	0.0145249	0.0164640	0.0567331	0.5527169	0.9733649	0.5032275	0.0611565	0.8573126	0.8550172	0.6561624	0.1151729	0.0000000	0.6867364	1.0536275
1.0437660	0.0862486	0.0088830	0.0087838	0.0247487	0.5718970	1.0160825	0.5048513	0.0624655	0.8682103	0.8266884	0.6191115	0.0793792	0.0287951	0.0000000	0.9684515
0.9386893	0.0670475	0.0113460	0.0097112	0.0215902	0.4912590	0.9676104	0.4619809	0.0484034	0.8236239	0.9362432	0.6034866	0.0760777	0.3457996	0.7802808	0.0000000
