G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0397542	0.1914904	0.1115387	0.0015815	0.0911100	0.9404889	0.9841906	0.4425441	0.4218111	0.5312117	0.8774303	0.7912473	0.3814323	0.5687141	0.4658197	0.2900351
0.9978403	0.3690147	0.2591551	0.1475082	0.0946056	0.2611007	0.7815461	0.5272029	0.7460136	0.4987718	0.3279234	1.0239831	0.0717189	0.3512107	0.8036873	0.5599608
0.6908374	0.0964326	0.2639597	0.0478736	0.1231488	0.4835759	0.8442708	0.2912999	0.0773187	0.5792238	0.8291100	0.9667594	0.3536132	0.1633298	0.6434221	0.4187509
0.7283062	0.4175680	0.3722379	0.2827634	0.1310989	0.5510303	0.5885887	0.0912899	0.2071144	0.5960629	0.7149450	0.6804536	0.3029172	0.4060817	0.2906250	0.7243315
0.8954034	0.1008154	0.0007786	0.0002805	0.2713893	0.7684463	0.8461169	0.1550027	0.4620608	0.9030155	0.8133948	0.6873445	0.1479500	0.3460289	0.7520793	0.8638963
0.9562665	0.5094522	0.2066244	0.2135462	0.0174487	0.4382076	1.1038710	0.5642313	0.0159092	0.3370906	0.7906922	0.6720082	0.0706744	0.0978296	0.8336781	0.7049185
0.8934563	0.2885091	0.0038413	0.0158970	0.0069600	0.8151420	0.9962391	0.3676039	0.0574787	0.7481971	0.8152179	0.6555382	0.0202781	0.7017159	0.8935741	0.9115093
0.9851018	0.0443870	0.1486699	0.0660963	0.5404824	0.1510179	1.0024300	0.4842769	0.6290177	0.1636711	0.5236321	0.8590253	0.1580833	0.3987300	0.7970959	0.6722576
0.9920097	0.1307468	0.1988417	0.0005158	0.0397717	0.6120808	0.7995775	0.4847358	0.1876069	0.5749767	0.7666855	0.6914055	0.0285257	0.7092136	0.5599903	0.5468387
1.0183879	0.2574126	0.3314908	0.2507364	0.0332149	0.3378157	0.8451417	0.1315188	0.2072392	0.4656900	0.8790618	0.8367100	0.0178751	0.8144279	0.8699481	0.5748607
1.0940246	0.0198541	0.0000088	0.0004215	0.0952349	0.6081998	0.6708586	0.4697254	0.3015531	0.7563783	0.9694763	0.6985990	0.1246116	0.7785147	0.6217569	0.7516628
1.1372142	0.3896313	0.0040792	0.0692131	0.1189075	0.6105105	0.9218864	0.4656765	0.2532360	0.4274893	0.7926433	0.7211184	0.4428317	0.2552070	0.3510138	0.5890503
1.0435128	0.3020573	0.0003864	0.0069361	0.0332656	0.7030829	0.6261899	0.2120789	0.0898061	0.5781558	0.9185923	0.9509756	0.0164638	0.7069276	1.0241972	0.9313720
0.9690387	0.1432295	0.0001739	0.0032666	0.0152887	0.6084325	0.9765916	0.5172597	0.0964337	0.5722546	0.8907876	0.6753312	0.3924053	0.0247721	0.8833977	0.6159127
1.0013982	0.4332922	0.2613361	0.2487595	0.1736950	0.3134203	0.5930579	0.4566538	0.0004629	0.4253671	0.9182140	0.7215587	0.0995678	0.3250851	0.9936562	0.8579160
0.9799280	0.1320758	0.2261800	0.0666848	0.1701296	0.1708631	0.8181117	0.6137856	0.0362525	0.7275608	0.9332585	0.9164796	0.2281004	0.6788829	0.4299905	0.3882099
