"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	1.0130972	0.6162452	0.0740876	0.5758048	0.5937831	0.6691293	0.0153048	0.6364480	0.3591133	0.6112578	0.2574401	0.3274681	0.3636106	0.6964660	0.0318585	0.7672349
100	0.9239101	0.6198910	0.0577046	0.5150513	0.6223170	0.8493205	0.0144623	0.4292954	0.1872734	0.6117795	0.2228867	0.2861059	0.3278187	0.7584561	0.0372599	0.8195264
150	1.0280718	0.5804025	0.0947412	0.5053940	0.5604006	0.9016038	0.0265822	0.3754996	0.1061540	0.6318729	0.2373006	0.2309919	0.2877959	0.7881509	0.0301068	0.8634144
200	0.9190013	0.6322751	0.0778682	0.4569374	0.4337955	0.9670488	0.0158543	0.2914177	0.0814991	0.6118122	0.2735341	0.2014111	0.2700274	0.8229635	0.0246192	0.8313646
250	1.0431547	0.6443476	0.0792507	0.4639550	0.3262269	1.0864559	0.0048672	0.2906021	0.0737389	0.5549615	0.2591399	0.1800745	0.2283948	0.7378751	0.0254309	0.8812273
300	1.0456367	0.6394780	0.0741377	0.5040035	0.3921640	1.1182815	0.0124909	0.3353689	0.0567405	0.5647695	0.2894600	0.1934569	0.2612414	0.7166860	0.0224888	0.8054886
350	1.0090568	0.6567301	0.0813482	0.5024874	0.4031625	1.0487508	0.0039201	0.3166051	0.0473718	0.4969611	0.2748918	0.1147887	0.2536354	0.7789544	0.0308621	0.6948126
400	1.0253337	0.6532907	0.1143000	0.4249641	0.3870489	0.9628839	0.0064274	0.3006533	0.0607321	0.5297953	0.2546393	0.1271685	0.1930277	0.7693505	0.0173174	0.7021946
450	1.0171333	0.7667685	0.1160228	0.4397394	0.3422341	0.9935479	0.0099484	0.2993758	0.0320568	0.4867161	0.2336220	0.1076943	0.2174544	0.7805903	0.0167645	0.8380808
500	1.0049889	0.7583404	0.1048378	0.4175940	0.2980192	0.9628272	0.0119825	0.3431872	0.0372776	0.3629921	0.2768779	0.1148623	0.1940352	0.7128314	0.0393599	0.8051658
550	0.9783876	0.6705676	0.0961449	0.4423574	0.2766151	0.8416289	0.0018069	0.4368880	0.2512187	0.3658958	0.3477118	0.1171150	0.1719694	0.7624287	0.0448400	0.7736791
600	1.1314331	0.6123183	0.1017605	0.5323045	0.2758465	0.7682757	0.0053939	0.6136475	0.3561361	0.4434700	0.3423385	0.1536775	0.1499161	0.8335622	0.0324992	0.6157544
650	1.0732037	0.6391462	0.0629682	0.5795316	0.3676806	0.6635623	0.0014217	0.7836134	0.4256427	0.5537269	0.3724170	0.1700327	0.1869975	0.8525522	0.0364869	0.6676588
700	1.1426132	0.6601550	0.0627096	0.6480888	0.4564921	0.6066046	0.0002677	0.8028972	0.4167823	0.4734430	0.3249085	0.2161132	0.2236870	0.7943024	0.0467775	0.6075471
750	1.0360050	0.6366227	0.0625504	0.5701675	0.4954848	0.6560010	0.0186445	0.8405178	0.4012831	0.4997505	0.2557707	0.1665271	0.2166526	0.7981581	0.0659424	0.6342173
800	0.9975169	0.6669254	0.0636591	0.5971781	0.4297102	0.6868536	0.0104779	0.8033449	0.3986454	0.6206118	0.3105768	0.2368093	0.2550209	0.6671099	0.0452654	0.6599035
850	0.9450178	0.6132931	0.0582094	0.6132910	0.4446352	0.6615572	0.0094967	0.7050868	0.4349841	0.5628218	0.3213936	0.3020163	0.2812603	0.7001327	0.0400925	0.7001235
900	0.9710942	0.5725748	0.0675094	0.6122997	0.4745349	0.7845310	0.0057019	0.7493949	0.4369931	0.5445470	0.3221699	0.4158579	0.2330999	0.6553723	0.0301710	0.7528453
950	1.0308785	0.5629340	0.0705438	0.6080345	0.4403776	0.8239965	0.0003584	0.7753543	0.5160117	0.6263668	0.3377390	0.3503126	0.2626321	0.7031975	0.0299298	0.8028771
1000	1.0060071	0.6091112	0.0573571	0.6356410	0.4646816	0.6382084	0.0044033	0.7176707	0.4799842	0.5856289	0.3010323	0.3372928	0.2479225	0.7101763	0.0321811	0.8266973

0	1.1065283	0.6800728	0.0676586	0.6544446	0.5187240	0.7041243	0.0105147	0.7551853	0.5379660	0.6999586	0.3023378	0.3219205	0.2709590	0.7671139	0.0378501	0.6663179
50	1.0650388	0.5775070	0.0705616	0.6430927	0.5882870	0.5755769	0.0227771	0.7864558	0.3250937	0.5451371	0.2837637	0.2338415	0.2055745	0.7556398	0.0142565	0.5618746
