G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.4308424	0.0097977	0.0091976	0.0000000	0.9818778	0.9000501	0.3501983	0.0220274	0.4849022	0.0857592	0.0193011	0.0778656	0.5238466	0.1667005	0.7736869
0.0000000	0.4471158	0.0196719	0.0023706	0.4415218	0.7234146	0.8698068	0.2734627	0.0000000	0.4600092	0.0994597	0.0236131	0.3910066	0.5486454	0.1337740	0.4326793
0.0000000	0.3908309	0.0145042	0.0058073	0.4790730	0.7710694	0.9507664	0.3014721	0.0264032	0.5594602	0.0737507	0.0442686	0.0000000	0.6149260	0.2033511	0.7466158
0.0000000	0.0000000	0.0136683	0.0005163	0.4564943	0.7625130	0.8965762	0.3369418	0.0378450	0.4994676	0.0887388	0.0334903	0.4391533	0.5394607	0.1400828	0.4863814
0.0000000	0.4170428	0.0000000	0.0185909	0.4289958	0.8316747	1.0258877	0.2954784	0.0427542	0.4491567	0.0889297	0.0474708	0.4220894	0.5694174	0.1263129	0.4292485
0.0000000	0.3275564	0.0218492	0.0000000	0.4303118	0.6872575	0.8625417	0.3248543	0.0336452	0.5129142	0.1030429	0.0373456	0.4261127	0.4896780	0.1370677	0.4051119
0.0000000	0.4018071	0.0095584	0.0158990	0.4542669	0.0000000	0.9842582	0.7938434	0.0178957	0.4653484	0.1201248	0.0211921	0.4463492	0.5335463	0.1517181	0.4319654
0.0000000	0.4079950	0.0066403	0.0027219	0.4552900	0.3334419	0.0000000	0.4367235	0.0396962	0.4447968	0.0880042	0.0220912	0.3126622	0.5309680	0.1109967	0.4254982
0.0000000	0.4021122	0.0136191	0.0071591	0.4367721	0.5585847	0.1681375	0.0000000	0.0264213	0.4063293	0.0784324	0.0290633	0.3367938	0.6230499	0.1289853	0.4138127
0.0000000	0.4012419	0.0388058	0.0178985	0.4762778	0.7465406	0.9162342	0.2438177	0.0473157	0.0000000	0.0810733	0.0390859	0.3721376	0.5396646	0.1433632	0.4749282
0.0000000	0.3872493	0.0083116	0.0072350	0.4052304	0.7735393	0.8826175	0.3585241	0.0287999	0.4429035	0.0000000	0.0380793	0.3834196	0.5113342	0.1526916	0.3939514
0.0000000	0.3608822	0.0073660	0.0218014	0.4053783	0.8771101	1.0123686	0.4556431	0.0532966	0.4738484	0.1020125	0.0000000	0.4470038	0.5372912	0.1177058	0.3257145
0.0000000	0.4656901	0.0025345	0.0148095	0.3811906	0.8249611	0.9520688	0.3244638	0.0285796	0.4974961	0.0764282	0.0422603	0.4429031	0.0000000	0.1058028	0.5676563
0.0000000	0.3394145	0.0153477	0.0187820	0.3647889	0.7016771	1.0208284	0.3588588	0.0387645	0.4204475	0.1161483	0.0245604	0.4219344	0.5231327	0.0000000	0.4079340
0.0000000	0.3908962	0.0054269	0.0096170	0.3795980	0.7948605	0.9001012	0.3173620	0.0416295	0.5118253	0.1310659	0.0189494	0.3147815	0.5411813	0.1648177	0.0000000
1.0510753	0.0726156	0.0230688	0.0085879	0.0000000	0.0000000	1.0146981	0.8978722	0.0562838	0.7428770	0.7367938	0.6838981	0.0771320	0.3530678	0.6837371	0.8192344
