G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5136838	0.2379371	0.1835968	0.5954879	0.3668994	0.6259514	0.0010145	0.6355479	0.7840214	0.6133740	0.4706881	0.8077594	0.3102029	0.8252415	0.0506533	0.7652837
1.0455560	0.2983854	0.0579488	0.8031095	0.5309076	0.6901493	0.0193302	0.7415379	0.5047372	0.5339951	0.2781109	0.2761840	0.2477285	0.8201986	0.0208245	0.6426750
1.0330254	0.6244351	0.0477081	0.5452436	0.5247166	0.6755229	0.0096293	0.6994626	0.5271356	0.5739325	0.2390553	0.2726027	0.2996213	0.7745711	0.0438523	0.7488435
0.9722333	0.5376421	0.1677289	0.3675683	0.4771505	0.7597534	0.0128813	0.7617679	0.5199503	0.6086067	0.3324506	0.2872416	0.2091159	0.7435350	0.0440808	0.6469339
0.9683462	0.6314525	0.0827055	0.7287375	0.2995341	0.6451647	0.0058558	0.9065405	0.4645692	0.6471218	0.2697759	0.3397143	0.1900562	0.8780735	0.0615722	0.6722555
1.0022236	0.5631848	0.0598659	0.6949782	0.5312201	0.3498067	0.0095941	0.8405801	0.4595221	0.5461015	0.2534781	0.2377740	0.2510347	0.7650255	0.0408776	0.7361229
1.0193121	0.6454185	0.0889183	0.6447262	0.4354625	0.6654859	0.0059398	0.8138013	0.5092298	0.5671820	0.2762595	0.2686010	0.2527210	0.7506208	0.0472371	0.6739485
1.0079534	0.5979488	0.0550253	0.6841734	0.4686926	0.5949103	0.0091001	0.4194867	0.4855579	0.6623614	0.3093360	0.2821427	0.2452188	0.8057942	0.0166953	0.7492016
1.0293672	0.6192854	0.0795024	0.6259808	0.3591781	0.5919170	0.0021570	0.8237210	0.2805321	0.5489135	0.2536615	0.2253177	0.1499740	0.8947293	0.0442885	0.7025881
1.0033918	0.6501539	0.0696716	0.5728362	0.4760533	0.6943198	0.0138316	0.7506350	0.5324663	0.3042032	0.3209083	0.2843490	0.2579284	0.7376554	0.0473330	0.7252169
0.9931780	0.5774504	0.0626617	0.6669925	0.5082899	0.7448952	0.0346280	0.7497340	0.4403782	0.5096066	0.1441465	0.2409381	0.2562500	0.8732415	0.0227114	0.6814886
1.0048191	0.5731125	0.0500995	0.6372115	0.5859469	0.7164444	0.0174375	0.7610014	0.4336288	0.5874514	0.3152398	0.1916022	0.2736697	0.7407620	0.0282617	0.7238322
1.0138430	0.6370774	0.0436994	0.5896349	0.4755198	0.6039683	0.0216233	0.8647429	0.4547382	0.6035117	0.2793732	0.2189878	0.1346976	0.7337253	0.0579717	0.7320631
1.0802022	0.5492349	0.0702334	0.5563972	0.5324196	0.6924796	0.0077923	0.8369393	0.5595181	0.6156136	0.2836992	0.3022889	0.2689326	0.4374238	0.0303438	0.8071300
1.0946223	0.6595326	0.0656464	0.5766098	0.5047275	0.7558907	0.0218226	0.6942378	0.4124259	0.5172349	0.2497417	0.1960011	0.2869251	0.8012702	0.0241981	0.7745126
1.0434109	0.5935034	0.0777252	0.5365423	0.4868919	0.6631424	0.0257073	0.7428474	0.4690180	0.6239131	0.2911230	0.2661154	0.2718061	0.6528698	0.1000613	0.3998872
