G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3962606	0.0072084	0.0106105	0.4558928	0.7107771	0.9212275	0.2577674	0.0375451	0.5061964	0.1030662	0.0364091	0.4505687	0.4928861	0.1501051	0.4527933
1.0695614	0.0000000	0.0008970	0.0097954	0.0472736	0.5774943	1.0693275	0.4979003	0.0424341	0.8085609	0.8408320	0.5386444	0.1110994	0.3362281	0.6626533	0.8829278
1.0484927	0.0610849	0.0000000	0.0081135	0.0194732	0.5071231	1.0155559	0.5222096	0.0582962	0.8861878	0.8522908	0.5783419	0.0856223	0.3317135	0.6815539	0.9208291
1.0233576	0.0750643	0.0054337	0.0000000	0.0153403	0.6162452	1.0073886	0.4748736	0.0374399	0.8946825	0.7960454	0.6599941	0.0700038	0.3647131	0.6771683	0.9173440
1.0748023	0.0909065	0.0138122	0.0138750	0.0000000	0.5651578	1.0439961	0.5747832	0.0667059	0.8200482	0.8231551	0.5448985	0.0567453	0.2640854	0.7335921	0.9755580
1.0123691	0.1152911	0.0070583	0.0155019	0.0065100	0.0000000	1.1368500	1.0587560	0.0202599	0.8468049	0.8191827	0.5309380	0.0682233	0.3573943	0.7735804	0.9016577
1.0689155	0.0705611	0.0274503	0.0217770	0.0396035	0.5129450	0.0000000	0.3920868	0.0448853	0.7789570	0.8883116	0.5801689	0.0789021	0.3080974	0.6566022	0.9629845
0.9913887	0.0867497	0.0156837	0.0042986	0.0220278	0.5587667	0.8971235	0.0031315	0.0552419	0.8138003	0.9278178	0.5868401	0.1215396	0.3031905	0.6627239	0.9018206
0.9907335	0.0706942	0.0169386	0.0029529	0.0021020	0.5200807	1.0826908	0.5377372	0.0000000	0.7632256	0.8515802	0.7234542	0.0946409	0.4344261	0.7172179	0.9405983
0.9820301	0.1081522	0.0135455	0.0064785	0.0298170	0.4606039	1.0196755	0.4711131	0.0515295	0.0000000	0.1108281	0.0341091	0.1227355	0.3012145	0.6053519	0.9092594
1.0214850	0.0802729	0.0127075	0.0030076	0.0304762	0.4961978	0.9943137	0.4465611	0.0541044	0.7781213	0.0000000	0.5994746	0.0508084	0.3250858	0.7157884	0.9785893
0.9903272	0.0860335	0.0218342	0.0089484	0.0250289	0.5085374	1.0988963	0.5044816	0.0417300	0.8217703	0.0782841	0.0000000	0.0799228	0.3722208	0.7174910	0.8601886
1.0653593	0.0980114	0.0110799	0.0101476	0.0105259	0.6054881	0.9463238	0.4523335	0.0609817	0.7750492	0.8236965	0.5355274	0.0000000	0.4226429	0.7506100	0.9470847
1.0549284	0.0596765	0.0101992	0.0107995	0.0411278	0.6001255	1.0297508	0.4136490	0.0926177	0.8010715	0.8384712	0.6660153	0.1100169	0.0000000	0.6756650	0.9065003
1.0960522	0.0830371	0.0078330	0.0086322	0.0200712	0.5433608	0.9731663	0.4914734	0.0595080	0.8419466	0.7964799	0.6137803	0.0676839	0.0264028	0.0000000	1.0237061
0.9599973	0.0597083	0.0084231	0.0140279	0.0247551	0.5310542	1.0440301	0.4469679	0.0358043	0.8300214	0.8827933	0.6623431	0.0946112	0.3736525	0.9800347	0.0000000
