G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.8491873	0.1873124	0.0951153	0.0024497	0.1241986	0.9430335	1.0006601	0.4919144	0.3811595	0.5053379	0.9400564	0.8364982	0.3479568	0.6111315	0.5524119	0.2967928
0.9387769	0.3896477	0.2805850	0.1593594	0.1051153	0.2245237	0.7254933	0.5875894	0.6686126	0.5796152	0.3691911	1.0511719	0.0570618	0.3291023	0.7960437	0.5770296
0.5976385	0.0907369	0.2370526	0.0578232	0.1216291	0.4221357	0.8146843	0.3069434	0.0788053	0.5348352	0.8077894	0.9969134	0.3325564	0.1696853	0.6480556	0.3924160
0.7195769	0.4547290	0.3514166	0.2774823	0.1394340	0.5405661	0.6528175	0.0959356	0.2278281	0.7105373	0.6482776	0.7119245	0.3232150	0.3884321	0.3198455	0.7788016
0.8538097	0.0786782	0.0026465	0.0001147	0.2759280	0.7238573	0.8548379	0.1848769	0.4160610	0.8929972	0.7616967	0.6309746	0.1435832	0.3771642	0.6957952	0.8764828
0.9470989	0.5618184	0.1911617	0.2378018	0.0133133	0.3658803	1.0763500	0.5358876	0.0280261	0.3817522	0.8101712	0.6931737	0.0638164	0.0989116	0.9454043	0.6872405
0.9285887	0.2570394	0.0074770	0.0144529	0.0129116	0.8234308	0.9950734	0.3203097	0.0527767	0.6660289	0.8655740	0.6683218	0.0151637	0.6774178	0.9579987	0.9794721
1.0097867	0.0565894	0.1395778	0.0772458	0.5704784	0.1160318	0.9524675	0.4409799	0.6689032	0.1150578	0.6617193	0.8584546	0.1652279	0.4210035	0.6852554	0.6063996
1.0268337	0.1057173	0.2281084	0.0011352	0.0521829	0.6192002	0.8495097	0.4840799	0.1708947	0.5970022	0.8097011	0.7590672	0.0272988	0.7477778	0.6322391	0.5742143
0.8949647	0.2680168	0.2833084	0.2449397	0.0402386	0.3197001	0.8500471	0.1318659	0.1893646	0.4774320	0.9211827	0.8985773	0.0173979	0.8416814	0.8956263	0.4678106
1.0415081	0.0298885	0.0001924	0.0005486	0.0779721	0.6032001	0.6609387	0.4891472	0.3212954	0.7918427	0.9369710	0.6865153	0.1247576	0.7464162	0.7004693	0.7029080
1.0664285	0.3732822	0.0097302	0.0629760	0.0908276	0.5834342	0.9390146	0.4927401	0.2700131	0.3729614	0.7868555	0.7836523	0.3935614	0.2451818	0.3688754	0.5267252
1.0781472	0.3184886	0.0020875	0.0100123	0.0292514	0.7632837	0.5418594	0.2725370	0.1315114	0.5394990	0.9560077	0.8491908	0.0200344	0.6701964	1.0415331	0.8723951
1.0148263	0.1865086	0.0016346	0.0020076	0.0061001	0.5941165	1.0424690	0.4586939	0.0803034	0.5866872	0.8273058	0.7001671	0.4254956	0.0347165	0.8970907	0.6890227
1.0501350	0.3768651	0.2615527	0.3220715	0.1751879	0.2997631	0.5227958	0.4264655	0.0046179	0.4430640	0.8636717	0.7026892	0.0819929	0.3040158	0.9625538	0.8488263
0.9493104	0.1452779	0.2490447	0.0948054	0.1445055	0.1697147	0.8398169	0.5939214	0.0724832	0.7376143	0.8690683	0.9710724	0.2282125	0.7175266	0.3941407	0.3470402
