"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.5712110	0.0891939	0.0463153	0.3284537	0.0272467	0.5385375	0.9994030	0.5017128	0.1997675	0.7628961	0.8725415	0.6258323	0.0794553	0.2914814	0.7018376	0.4243494
100	0.5239032	0.1283262	0.2861690	0.4519587	0.0560198	0.5345658	0.9989166	0.4983592	0.2479044	0.6819311	0.8812086	0.6476245	0.0832299	0.3088170	0.7628763	0.3298799
150	0.5186838	0.2607283	0.4846024	0.4996526	0.0852560	0.5224385	0.9976695	0.4907046	0.2627643	0.6024418	0.8784317	0.6677407	0.0940059	0.3443857	0.7996618	0.3049351
200	0.5181080	0.4116795	0.5799427	0.5184905	0.1059678	0.5056256	0.9959514	0.4820122	0.2677106	0.5511500	0.8750845	0.6805067	0.1095589	0.3714695	0.8079473	0.2905457
250	0.5180444	0.5007879	0.6198071	0.5284290	0.1183614	0.4898586	0.9943384	0.4755668	0.2699370	0.5242429	0.8733907	0.6873668	0.1248665	0.3854787	0.8003946	0.2795879
300	0.5180374	0.5437737	0.6363000	0.5380427	0.1251891	0.4780198	0.9931299	0.4721971	0.2715480	0.5114144	0.8728280	0.6908053	0.1368261	0.3903794	0.7873398	0.2716166
350	0.5180366	0.5631246	0.6441067	0.5479050	0.1288725	0.4702400	0.9923397	0.4711362	0.2730005	0.5053309	0.8727201	0.6925525	0.1449234	0.3904439	0.7746965	0.2661482
400	0.5180366	0.5717071	0.6487626	0.5560374	0.1309319	0.4655118	0.9918655	0.4712950	0.2742719	0.5021776	0.8727251	0.6935314	0.1499515	0.3885107	0.7647983	0.2626095
450	0.5180365	0.5756332	0.6519395	0.5616235	0.1321741	0.4627404	0.9915953	0.4718759	0.2752847	0.5002839	0.8727318	0.6941589	0.1529421	0.3861491	0.7578924	0.2604758
500	0.5180365	0.5775649	0.6541106	0.5650349	0.1329846	0.4611151	0.9914440	0.4724649	0.2760238	0.4990018	0.8727239	0.6946011	0.1547108	0.3840722	0.7533853	0.2592830
550	0.9468255	0.5440775	0.5851046	0.2940515	0.1234704	0.4579071	0.9897379	0.4763950	0.1208412	0.5555475	0.8295359	0.6874813	0.1528257	0.4093293	0.7334112	0.7278631
600	0.9941333	0.4748503	0.4267532	0.2137664	0.0959437	0.4598442	0.9921275	0.4857905	0.0732744	0.6679859	0.8345758	0.6665232	0.1426201	0.3800736	0.6838833	0.8272580
650	0.9993527	0.4011658	0.2861431	0.1616034	0.0677140	0.4715689	0.9944002	0.4940871	0.0578298	0.7381862	0.8374197	0.6466306	0.1288091	0.3546169	0.6498834	0.8610233
700	0.9999286	0.3121546	0.1774236	0.1076508	0.0472688	0.4884087	0.9961224	0.4994773	0.0517718	0.7698920	0.8356881	0.6336895	0.1148466	0.3368304	0.6383456	0.8817481
750	0.9999921	0.2158418	0.0948964	0.0613212	0.0346638	0.5046308	0.9973618	0.5023983	0.0485621	0.7826304	0.8325111	0.6265387	0.1027973	0.3268259	0.6396218	0.8975182
800	0.9999991	0.1422784	0.0444876	0.0321986	0.0274352	0.5171789	0.9981880	0.5036265	0.0464542	0.7875217	0.8297080	0.6228116	0.0938200	0.3231099	0.6460966	0.9089172
850	0.9999999	0.1037625	0.0220413	0.0181930	0.0233728	0.5256592	0.9986968	0.5038495	0.0449959	0.7893832	0.8277587	0.6208547	0.0878767	0.3232906	0.6534989	0.9161937
900	1.0000000	0.0880040	0.0141272	0.0123293	0.0210650	0.5309426	0.9989929	0.5035926	0.0440143	0.7901060	0.8265482	0.6197800	0.0842391	0.3252492	0.6598613	0.9202515
950	1.0000000	0.0822367	0.0116562	0.0099906	0.0197222	0.5340936	0.9991600	0.5031956	0.0433811	0.7904007	0.8258342	0.6191580	0.0821059	0.3276200	0.6646220	0.9222125
1000	1.0000000	0.0802103	0.0109212	0.0090714	0.0189225	0.5359403	0.9992536	0.5028306	0.0429870	0.7905298	0.8254192	0.6187839	0.0808749	0.3297319	0.6679117	0.9229997

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.0791496	0.0271404	0.2526633	0.0478725	0.5371561	0.9998007	0.5014210	0.5468468	0.7668973	0.8241576	0.6435674	0.0800065	0.4919569	0.8936618	0.9092454
100	1.0000000	0.0812064	0.1502573	0.3469140	0.1274586	0.5196433	0.9999180	0.4950752	0.7011267	0.6293597	0.7742788	0.7073854	0.0912722	0.5591721	0.9192637	0.8822846
150	1.0000000	0.1101067	0.2643262	0.3832958	0.1962332	0.4808786	0.9999224	0.4867350	0.7484447	0.5197088	0.6265357	0.7569082	0.1163225	0.5856286	0.9159074	0.8622172
200	1.0000000	0.1748228	0.3214668	0.3973708	0.2395782	0.4390544	0.9998918	0.4839296	0.7632609	0.4802624	0.4951486	0.7845020	0.1413490	0.5943222	0.9032929	0.8463962
250	1.0000000	0.2337551	0.3459672	0.4030348	0.2635650	0.4068447	0.9998622	0.4873166	0.7683037	0.4833237	0.4187119	0.7980248	0.1589153	0.5954887	0.8890694	0.8308179
300	1.0000000	0.2707513	0.3560957	0.4060059	0.2759552	0.3859670	0.9998457	0.4942108	0.7703829	0.5052236	0.3806709	0.8042511	0.1694539	0.5936781	0.8776992	0.8159812
350	1.0000000	0.2905373	0.3604597	0.4084716	0.2821057	0.3736982	0.9998419	0.5018095	0.7714638	0.5303450	0.3629327	0.8070339	0.1753076	0.5911201	0.8701539	0.8038378
400	1.0000000	0.3003726	0.3626744	0.4107574	0.2850962	0.3669207	0.9998457	0.5083723	0.7721090	0.5507707	0.3548392	0.8082716	0.1784206	0.5888448	0.8656841	0.7952092
450	1.0000000	0.3051872	0.3640867	0.4126167	0.2865421	0.3633301	0.9998523	0.5132680	0.7725065	0.5646445	0.3511173	0.8088321	0.1800304	0.5871781	0.8632264	0.7896924
500	1.0000000	0.3076470	0.3651060	0.4139305	0.2872456	0.3614816	0.9998588	0.5165702	0.7727464	0.5730882	0.3493548	0.8090954	0.1808471	0.5860924	0.8619428	0.7864181
550	1.0000000	0.3078778	0.3386265	0.1743439	0.2724060	0.3610160	0.9931448	0.5186721	0.2769421	0.6084139	0.4410128	0.7958390	0.1810756	0.4324128	0.6278613	0.7939518
600	1.0000000	0.2897231	0.2238743	0.0817793	0.2184545	0.3671092	0.9913338	0.5201899	0.1254165	0.6804497	0.6790565	0.7510153	0.1786635	0.3603257	0.5978723	0.8159434
650	1.0000000	0.2267232	0.1017936	0.0436536	0.1519645	0.3864387	0.9915461	0.5209982	0.0787628	0.7355186	0.8004624	0.7000590	0.1703181	0.3236730	0.5924758	0.8373871
700	1.0000000	0.1505613	0.0414570	0.0247897	0.0982371	0.4174263	0.9928447	0.5201872	0.0634329	0.7666805	0.8354014	0.6629152	0.1551866	0.3072547	0.5933191	0.8559512
750	1.0000000	0.1067032	0.0200278	0.0153701	0.0635352	0.4519432	0.9946108	0.5176380	0.0568971	0.7807627	0.8398804	0.6415860	0.1359385	0.3015944	0.5999657	0.8737393
800	1.0000000	0.0889231	0.0133644	0.0112522	0.0435807	0.4819482	0.9962761	0.5142477	0.0526834	0.7864566	0.8363801	0.6306708	0.1173168	0.3018720	0.6116132	0.8907753
850	1.0000000	0.0825227	0.0114077	0.0095775	0.0326084	0.5038095	0.9975186	0.5109384	0.0493853	0.7887259	0.8322798	0.6252203	0.1028220	0.3056176	0.6256708	0.9049035
900	1.0000000	0.0802996	0.0108436	0.0089127	0.0265374	0.5179516	0.9983128	0.5081628	0.0468905	0.7896823	0.8293265	0.6223716	0.0931555	0.3110810	0.6391873	0.9145806
950	1.0000000	0.0795360	0.0106799	0.0086508	0.0230571	0.5264776	0.9987766	0.5060426	0.0451643	0.7901273	0.8274950	0.6207597	0.0872875	0.3168451	0.6502672	0.9200736
1000	1.0000000	0.0792749	0.0106313	0.0085480	0.0209818	0.5314563	0.9990366	0.5045440	0.0440556	0.7903567	0.8264152	0.6197849	0.0838827	0.3219603	0.6583956	0.9226492

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.0791584	0.0385360	0.3183594	0.0184219	0.5385507	0.9323214	0.2341919	0.0547101	0.7905388	0.8942779	0.6187646	0.0791761	0.3109747	0.4337464	0.5980131
100	1.0000000	0.0839421	0.2009341	0.4379679	0.0205477	0.5381520	0.9089411	0.1379127	0.0584732	0.7901270	0.9168035	0.6203106	0.0794112	0.2591025	0.4378488	0.5453156
150	1.0000000	0.1325788	0.3174468	0.4841397	0.0227274	0.5371416	0.8845240	0.1032674	0.0596344	0.7896583	0.9242184	0.6217585	0.0800206	0.2305091	0.4580496	0.5460611
200	1.0000000	0.2115878	0.3675704	0.5020280	0.0242932	0.5358270	0.8470385	0.0907999	0.0600154	0.7893055	0.9267486	0.6227031	0.0808321	0.2241885	0.4679059	0.5518912
250	1.0000000	0.2703344	0.3870889	0.5093801	0.0252432	0.5346057	0.8201171	0.0863524	0.0601695	0.7890918	0.9276634	0.6232225	0.0816025	0.2257227	0.4709455	0.5543656
300	1.0000000	0.3030677	0.3946575	0.5134615	0.0257707	0.5336774	0.8068106	0.0848175	0.0602571	0.7889764	0.9280179	0.6234850	0.0821992	0.2279450	0.4713719	0.5545322
350	1.0000000	0.3192275	0.3977927	0.5167446	0.0260520	0.5330575	0.8009368	0.0843337	0.0603198	0.7889171	0.9281646	0.6236143	0.0826039	0.2291868	0.4711210	0.5540226
400	1.0000000	0.3267787	0.3993266	0.5194793	0.0262019	0.5326772	0.7984275	0.0842167	0.0603668	0.7888865	0.9282287	0.6236801	0.0828554	0.2296298	0.4708177	0.5535634
450	1.0000000	0.3302704	0.4002429	0.5214866	0.0262841	0.5324558	0.7973663	0.0842157	0.0604006	0.7888701	0.9282580	0.6237159	0.0830032	0.2296869	0.4705923	0.5532994
500	1.0000000	0.3319407	0.4008505	0.5227905	0.0263311	0.5323302	0.7969196	0.0842423	0.0604236	0.7888607	0.9282720	0.6237370	0.0830878	0.2296138	0.4704416	0.5531811
550	1.0000000	0.3321441	0.3827444	0.2206243	0.0256240	0.5322947	0.8947599	0.3507372	0.0481354	0.7891120	0.8595919	0.6231603	0.0831137	0.2614512	0.7160818	0.8775716
600	1.0000000	0.3204891	0.2843796	0.1039574	0.0234806	0.5326883	0.9637731	0.4466624	0.0443802	0.7897050	0.8372262	0.6215814	0.0828703	0.3104348	0.7068368	0.9292217
650	1.0000000	0.2689171	0.1430210	0.0565655	0.0213067	0.5337206	0.9878443	0.4814998	0.0432212	0.7901620	0.8296772	0.6201406	0.0822239	0.3322737	0.6854059	0.9289594
700	1.0000000	0.1833149	0.0588136	0.0325764	0.0197586	0.5350462	0.9956126	0.4943833	0.0428382	0.7904179	0.8269171	0.6192190	0.0813909	0.3371688	0.6756372	0.9240504
750	1.0000000	0.1218841	0.0259959	0.0191642	0.0188243	0.5362568	0.9981198	0.4992484	0.0426807	0.7905446	0.8257937	0.6187186	0.0806291	0.3365762	0.6727145	0.9219414
800	1.0000000	0.0946251	0.0152205	0.0128490	0.0183070	0.5371634	0.9989424	0.5011022	0.0425909	0.7906045	0.8252909	0.6184675	0.0800578	0.3353583	0.6723625	0.9217279
850	1.0000000	0.0845274	0.0119588	0.0102169	0.0180314	0.5377619	0.9992201	0.5017936	0.0425283	0.7906327	0.8250526	0.6183441	0.0796796	0.3346661	0.6726904	0.9220856
900	1.0000000	0.0809905	0.0110054	0.0091649	0.0178848	0.5381260	0.9993177	0.5020325	0.0424830	0.7906464	0.8249363	0.6182817	0.0794487	0.3344374	0.6730697	0.9224303
950	1.0000000	0.0797726	0.0107281	0.0087498	0.0178050	0.5383367	0.9993537	0.5021003	0.0424513	0.7906535	0.8248786	0.6182481	0.0793147	0.3344351	0.6733554	0.9226363
1000	1.0000000	0.0793557	0.0106461	0.0085868	0.0177598	0.5384555	0.9993678	0.5021089	0.0424303	0.7906575	0.8248494	0.6182287	0.0792388	0.3345057	0.6735462	0.9227327

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.3591045	0.0830124	0.5199110	0.0177059	0.5385840	0.9991275	0.1862731	0.0424028	0.7906506	0.8693328	0.6182039	0.0791567	0.3355717	0.7071815	0.3505021
100	1.0000000	0.4670844	0.2958953	0.7188858	0.0177004	0.5385961	0.9929668	0.0728161	0.0424003	0.7906173	0.8837268	0.6182013	0.0791490	0.3444813	0.7805331	0.2436304
150	1.0000000	0.5653352	0.3893396	0.8016719	0.0176972	0.5386033	0.9487995	0.0320564	0.0423988	0.7905837	0.8883816	0.6181998	0.0791445	0.3598241	0.8265826	0.2225035
200	1.0000000	0.6410338	0.4208579	0.8449245	0.0176952	0.5386075	0.9119744	0.0174133	0.0423979	0.7905600	0.8898868	0.6181989	0.0791418	0.3728324	0.8455262	0.2168421
250	1.0000000	0.6820915	0.4315338	0.8740601	0.0176940	0.5386101	0.8992322	0.0121528	0.0423974	0.7905460	0.8903734	0.6181983	0.0791402	0.3807940	0.8525881	0.2143468
300	1.0000000	0.7013870	0.4355124	0.8940768	0.0176933	0.5386116	0.8952514	0.0102629	0.0423971	0.7905385	0.8905307	0.6181980	0.0791392	0.3849345	0.8553153	0.2129759
350	1.0000000	0.7099090	0.4372289	0.9066517	0.0176929	0.5386125	0.8940193	0.0095839	0.0423969	0.7905348	0.8905815	0.6181978	0.0791386	0.3869088	0.8564441	0.2122347
400	1.0000000	0.7135862	0.4380729	0.9139067	0.0176926	0.5386130	0.8936386	0.0093400	0.0423968	0.7905330	0.8905979	0.6181976	0.0791383	0.3878080	0.8569395	0.2118590
450	1.0000000	0.7151783	0.4385192	0.9178356	0.0176925	0.5386134	0.8935210	0.0092523	0.0423967	0.7905321	0.8906032	0.6181976	0.0791381	0.3882091	0.8571649	0.2116788
500	1.0000000	0.7158840	0.4387601	0.9198691	0.0176924	0.5386136	0.8934848	0.0092208	0.0423967	0.7905317	0.8906049	0.6181975	0.0791380	0.3883869	0.8572694	0.2115955
550	1.0000000	0.4757872	0.4367530	0.6088237	0.0176923	0.5386137	0.9041344	0.3250156	0.0423967	0.7905440	0.8460917	0.6181975	0.0791379	0.3881543	0.8347946	0.7769898
600	1.0000000	0.3941869	0.4233972	0.3536167	0.0176923	0.5386137	0.9632650	0.4384651	0.0423966	0.7905789	0.8316952	0.6181975	0.0791378	0.3839804	0.7692984	0.8824854
650	1.0000000	0.3610444	0.3743094	0.1901333	0.0176923	0.5386138	0.9877031	0.4792220	0.0423966	0.7906128	0.8270391	0.6181975	0.0791378	0.3734407	0.7197540	0.9034538
700	1.0000000	0.3278218	0.2580462	0.1050345	0.0176923	0.5386138	0.9956456	0.4938639	0.0423966	0.7906360	0.8255332	0.6181975	0.0791378	0.3606773	0.6952683	0.9099597
750	1.0000000	0.2605064	0.1294824	0.0606028	0.0176923	0.5386138	0.9981832	0.4991240	0.0423966	0.7906495	0.8250462	0.6181975	0.0791378	0.3502045	0.6843389	0.9141438
800	1.0000000	0.1739015	0.0554425	0.0342121	0.0176923	0.5386138	0.9989939	0.5010137	0.0423966	0.7906566	0.8248887	0.6181975	0.0791378	0.3433422	0.6793354	0.9173728
850	1.0000000	0.1174574	0.0253359	0.0196218	0.0176923	0.5386138	0.9992542	0.5016925	0.0423966	0.7906601	0.8248377	0.6181975	0.0791378	0.3393826	0.6768613	0.9196180
900	1.0000000	0.0929980	0.0150954	0.0129879	0.0176923	0.5386139	0.9993383	0.5019364	0.0423966	0.7906618	0.8248213	0.6181975	0.0791378	0.3372369	0.6755426	0.9210090
950	1.0000000	0.0839658	0.0119352	0.0102638	0.0176923	0.5386139	0.9993657	0.5020240	0.0423966	0.7906626	0.8248159	0.6181975	0.0791378	0.3360975	0.6748087	0.9218057
1000	1.0000000	0.0807998	0.0110013	0.0091815	0.0176923	0.5386139	0.9993748	0.5020555	0.0423966	0.7906629	0.8248142	0.6181975	0.0791378	0.3354900	0.6743952	0.9222429

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.3518756	0.0920667	0.0106162	0.0084782	0.0179501	0.7220154	0.9992021	0.4965891	0.0423990	0.7287119	0.8174373	0.6182011	0.0792084	0.3499321	0.7046097	0.3674432
100	0.2803688	0.1434851	0.0106332	0.0084753	0.0216905	0.7773450	0.9985825	0.4831243	0.0423730	0.6201112	0.7784690	0.6181278	0.0794427	0.4312296	0.7705399	0.2498039
150	0.2724796	0.1968354	0.0106456	0.0084873	0.0381876	0.7973134	0.9975986	0.4704316	0.0423296	0.5409854	0.7124669	0.6175120	0.0810959	0.5491912	0.8092175	0.2041465
200	0.2716092	0.2304683	0.0106519	0.0085320	0.0640668	0.8016941	0.9956244	0.4582475	0.0423567	0.5020863	0.6547426	0.6156914	0.0872298	0.6347454	0.8223406	0.1727298
250	0.2715131	0.2473066	0.0106554	0.0086143	0.0857164	0.7948538	0.9923843	0.4457808	0.0426197	0.4858007	0.6200707	0.6132812	0.0988552	0.6790636	0.8218569	0.1530921
300	0.2715025	0.2548046	0.0106583	0.0087103	0.0990164	0.7836459	0.9887947	0.4348845	0.0432637	0.4794905	0.6028547	0.6113776	0.1125379	0.6978571	0.8126903	0.1425412
350	0.2715014	0.2579258	0.0106612	0.0087921	0.1061213	0.7735178	0.9857986	0.4270570	0.0442977	0.4771494	0.5950845	0.6103273	0.1243545	0.7037160	0.7992052	0.1370824
400	0.2715012	0.2591705	0.0106638	0.0088486	0.1097732	0.7663496	0.9836953	0.4222594	0.0455604	0.4762980	0.5917567	0.6099529	0.1327478	0.7035459	0.7857081	0.1341485
450	0.2715012	0.2596523	0.0106659	0.0088826	0.1117437	0.7618840	0.9823630	0.4196431	0.0468148	0.4759832	0.5903923	0.6099839	0.1380417	0.7009419	0.7747166	0.1325255
500	0.2715012	0.2598349	0.0106673	0.0089012	0.1129350	0.7592608	0.9815643	0.4183167	0.0478791	0.4758563	0.5898728	0.6102096	0.1411863	0.6977842	0.7668377	0.1316643
550	0.9196256	0.2218612	0.0106582	0.0093933	0.0719219	0.5680533	0.9847323	0.4245664	0.0490576	0.5518206	0.6791303	0.6156577	0.1387642	0.5789805	0.7644277	0.6260838
600	0.9911324	0.1500349	0.0106447	0.0099434	0.0419304	0.5152918	0.9914490	0.4479860	0.0493918	0.6684761	0.7666069	0.6186990	0.1218107	0.4458629	0.7271625	0.7775063
650	0.9990216	0.1095897	0.0106378	0.0094686	0.0294914	0.5139879	0.9955957	0.4719345	0.0483145	0.7385595	0.8033734	0.6197253	0.1044212	0.3856256	0.6904803	0.8458239
700	0.9998921	0.0914383	0.0106297	0.0089686	0.0242038	0.5221706	0.9976251	0.4880137	0.0466128	0.7701095	0.8173838	0.6199084	0.0929151	0.3573363	0.6735485	0.8823355
750	0.9999881	0.0839347	0.0106216	0.0086987	0.0216751	0.5288795	0.9985554	0.4964996	0.0450825	0.7828508	0.8225384	0.6196929	0.0864828	0.3433015	0.6690072	0.9022073
800	0.9999987	0.0809651	0.0106159	0.0085751	0.0202482	0.5329657	0.9989764	0.5002424	0.0439993	0.7877365	0.8243503	0.6193357	0.0831326	0.3368313	0.6691152	0.9127732
850	0.9999999	0.0798226	0.0106125	0.0085213	0.0193405	0.5352718	0.9991710	0.5016486	0.0433214	0.7895633	0.8249199	0.6189872	0.0814018	0.3343352	0.6702637	0.9181631
900	1.0000000	0.0793918	0.0106108	0.0084984	0.0187386	0.5365830	0.9992654	0.5020862	0.0429238	0.7902413	0.8250433	0.6187112	0.0804748	0.3336654	0.6713231	0.9207686
950	1.0000000	0.0792318	0.0106099	0.0084887	0.0183428	0.5373582	0.9993141	0.5021811	0.0426978	0.7904950	0.8250222	0.6185171	0.0799496	0.3336895	0.6721039	0.9219573
1000	1.0000000	0.0791731	0.0106095	0.0084846	0.0180891	0.5378340	0.9993409	0.5021761	0.0425705	0.7905923	0.8249678	0.6183907	0.0796366	0.3339062	0.6726544	0.9224702

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.5310233	0.0903174	0.0423546	0.3088666	0.0178351	0.3627365	0.9992630	0.5079822	0.0424006	0.7630732	0.9222415	0.6182025	0.0791959	0.4259633	0.6732127	0.9090921
100	0.4792816	0.1322232	0.2757435	0.4248111	0.0187314	0.3138915	0.9989389	0.5281517	0.0423899	0.6947530	0.9510248	0.6181878	0.0793097	0.4787280	0.6735053	0.8758819
150	0.4735731	0.2673231	0.4835638	0.4695873	0.0206148	0.3020346	0.9986473	0.5516491	0.0423814	0.6413168	0.9576883	0.6181495	0.0796306	0.5188434	0.6768023	0.8460608
200	0.4729432	0.4271196	0.5871165	0.4873118	0.0225444	0.2997130	0.9984408	0.5693092	0.0423873	0.6131376	0.9584280	0.6180953	0.0802568	0.5438276	0.6818254	0.8258584
250	0.4728737	0.5227726	0.6313455	0.4970011	0.0238710	0.2991985	0.9982823	0.5795947	0.0424146	0.6006577	0.9581081	0.6180483	0.0810413	0.5570466	0.6864417	0.8140856
300	0.4728661	0.5691205	0.6500666	0.5070862	0.0246167	0.2988868	0.9981605	0.5847186	0.0424596	0.5956134	0.9578092	0.6180209	0.0817599	0.5636522	0.6896273	0.8078128
350	0.4728652	0.5900580	0.6593478	0.5178545	0.0249987	0.2986175	0.9980750	0.5870545	0.0425117	0.5936819	0.9576469	0.6180124	0.0822943	0.5669489	0.6914320	0.8045877
400	0.4728651	0.5994188	0.6652395	0.5268970	0.0251897	0.2984172	0.9980205	0.5880831	0.0425607	0.5929668	0.9575728	0.6180161	0.0826404	0.5686031	0.6923113	0.8029278
450	0.4728651	0.6037815	0.6694444	0.5331762	0.0252880	0.2982875	0.9979884	0.5885408	0.0426003	0.5927073	0.9575420	0.6180256	0.0828455	0.5694229	0.6926890	0.8020626
500	0.4728651	0.6059961	0.6723877	0.5370480	0.0253420	0.2982103	0.9979701	0.5887532	0.0426291	0.5926139	0.9575301	0.6180365	0.0829611	0.5698161	0.6928323	0.8016096
550	0.9418418	0.5660889	0.5966380	0.2907552	0.0226730	0.4688616	0.9982773	0.5767397	0.0426661	0.6328726	0.8406870	0.6181417	0.0828683	0.4601926	0.6956918	0.8238194
600	0.9935835	0.4868556	0.4303363	0.2261277	0.0199934	0.5163271	0.9988300	0.5492744	0.0426871	0.7083187	0.8235936	0.6182282	0.0820565	0.3891521	0.6944219	0.8663362
650	0.9992921	0.4080743	0.2953087	0.1755471	0.0187509	0.5307606	0.9991597	0.5276559	0.0426640	0.7549534	0.8226608	0.6182627	0.0810133	0.3592338	0.6883728	0.8952221
700	0.9999219	0.3199273	0.1919414	0.1172167	0.0182104	0.5355767	0.9993070	0.5149078	0.0426097	0.7764661	0.8235857	0.6182716	0.0802126	0.3469536	0.6824646	0.9098502
750	0.9999914	0.2259564	0.1066278	0.0668520	0.0179706	0.5373367	0.9993621	0.5082272	0.0425483	0.7852902	0.8242586	0.6182663	0.0797189	0.3412819	0.6784899	0.9165367
800	0.9999990	0.1498118	0.0503726	0.0349782	0.0178555	0.5380331	0.9993785	0.5049366	0.0424959	0.7886921	0.8245938	0.6182539	0.0794467	0.3383190	0.6762406	0.9196057
850	0.9999999	0.1073510	0.0242245	0.0194019	0.0177935	0.5383282	0.9993814	0.5033766	0.0424579	0.7899546	0.8247378	0.6182397	0.0793042	0.3366838	0.6750697	0.9211001
900	1.0000000	0.0893906	0.0148195	0.0128186	0.0177563	0.5384622	0.9993807	0.5026565	0.0424330	0.7904117	0.8247937	0.6182269	0.0792305	0.3357818	0.6744786	0.9218731
950	1.0000000	0.0827330	0.0118614	0.0101839	0.0177327	0.5385279	0.9993797	0.5023309	0.0424178	0.7905744	0.8248127	0.6182169	0.0791915	0.3352945	0.6741802	0.9222861
1000	1.0000000	0.0803834	0.0109808	0.0091472	0.0177175	0.5385629	0.9993792	0.5021861	0.0424088	0.7906318	0.8248177	0.6182097	0.0791699	0.3350366	0.6740280	0.9225082

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.1899759	0.1015971	0.0508153	0.3221652	0.0516234	0.5381919	0.9990108	0.5009637	0.6049966	0.7091952	0.8276095	0.6464648	0.0567927	0.1272471	0.6778323	0.9390275
100	0.1006069	0.2042169	0.3672573	0.4432419	0.1571528	0.5382416	0.9945932	0.4888521	0.7769592	0.4223857	0.7051945	0.7150981	0.0651910	0.1618938	0.6744819	0.9645867
150	0.0907469	0.4747620	0.6497259	0.4899986	0.3665836	0.5849102	0.9801949	0.4536083	0.8295449	0.2289860	0.4709721	0.6982720	0.1216236	0.2736982	0.6284508	0.9493696
200	0.0896591	0.7126039	0.7844679	0.5083423	0.5442819	0.6297559	0.9610128	0.3961225	0.8458172	0.1689565	0.3230534	0.4586809	0.2344533	0.3235207	0.5386538	0.8883836
250	0.0895391	0.8324286	0.8391034	0.5165567	0.6341757	0.6313589	0.9466307	0.3434680	0.8514284	0.1822399	0.2574039	0.3459049	0.3462629	0.3131528	0.4497160	0.7902598
300	0.0895258	0.8846475	0.8606074	0.5214845	0.6754298	0.6185213	0.9363543	0.3090193	0.8542957	0.2233904	0.2306988	0.3122995	0.4224006	0.2714984	0.3952443	0.6711941
350	0.0895244	0.9063271	0.8694753	0.5249358	0.6939110	0.6068968	0.9274033	0.2902304	0.8564917	0.2637703	0.2200720	0.3046565	0.4660508	0.2280633	0.3734501	0.5781054
