G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3773365	0.0106667	0.0084619	0.0000000	0.9893541	0.9982084	0.4493089	0.0396824	0.4533038	0.0988202	0.0278501	0.0732540	0.5279105	0.1796139	0.7180168
0.0000000	0.3773365	0.0106667	0.0084619	0.4130179	0.7289888	0.9299211	0.3135847	0.0000000	0.4533105	0.0988202	0.0154472	0.3801428	0.5123055	0.1333364	0.4213254
0.0000000	0.3773365	0.0106667	0.0084619	0.4289879	0.7226375	0.9280046	0.3102864	0.0396824	0.4533038	0.0988202	0.0278501	0.0000000	0.5445451	0.2151063	0.7160870
0.0000000	0.0000000	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3772371	0.0000000	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773341	0.0105626	0.0000000	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.0000000	0.9466816	0.7790199	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.2981639	0.0000000	0.4226674	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.4817374	0.1703383	0.0000000	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.0000000	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533105	0.0000000	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0000000	0.3909205	0.5120298	0.1322706	0.4100627
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.0000000	0.1092829	0.6109737
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.4994819	0.0000000	0.4154028
0.0000000	0.3773365	0.0106667	0.0084619	0.4289872	0.7226424	0.9280031	0.3102788	0.0396824	0.4533038	0.0988203	0.0278502	0.3909092	0.5177586	0.1521396	0.0000000
1.0000000	0.0791398	0.0106092	0.0084817	0.0000001	0.0000000	0.9999927	0.9999810	0.0419416	0.7906851	0.8247656	0.6180626	0.0732540	0.3377189	0.6815059	0.9237224
