G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5000001	0.2547551	0.1566625	0.5786430	0.3763671	0.6012028	0.0012817	0.6380648	0.7950110	0.5678376	0.3898619	0.7667756	0.2891322	0.8175823	0.0687408	0.6908038
1.0000000	0.3020541	0.0479993	0.7673699	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6046933	0.0310043	0.6164316	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.5834927	0.1250229	0.3165989	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.2457941	0.6209906	0.0002361	0.8224538	0.4715041	0.5660421	0.2705326	0.2791224	0.1697005	0.8213281	0.0416759	0.7008675
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.3364062	0.0081509	0.8691400	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.6030394	0.0618466	0.6177574	0.4888852	0.6727392	0.0040766	0.7649125	0.4646500	0.5660418	0.2706330	0.2762391	0.2578042	0.7544976	0.0295403	0.7461174
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.3824508	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.2654764	0.6240994	0.0003518	0.8213297	0.2354424	0.5658671	0.2791744	0.1907598	0.1810972	0.8118833	0.0390192	0.7083099
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.2830320	0.2747848	0.2164740	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.5658013	0.1353275	0.2761769	0.2578042	0.7544978	0.0295402	0.7461178
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5663146	0.3079648	0.1381536	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.4922275	0.6736815	0.0084357	0.7627632	0.4731679	0.5660421	0.2705086	0.2798255	0.1292288	0.8448403	0.0580313	0.6702691
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.3796629	0.0207388	0.8681078
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7613041	0.0148471	0.7443464
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.6101101	0.1088686	0.3945024
