G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3773365	0.0106667	0.0084619	0.4289882	0.7226353	0.9280068	0.3102904	0.0396824	0.4533038	0.0988202	0.0278501	0.3909205	0.5120298	0.1322706	0.4100627
1.0000000	0.0000005	0.0106089	0.0084619	0.0176923	0.5386137	0.9993793	0.5020732	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.3347609	0.6738748	0.9227604
1.0000000	0.0790754	0.0000002	0.0084816	0.0176926	0.5386130	0.9993793	0.5020734	0.0423968	0.7906632	0.8248136	0.6181977	0.0791383	0.3347584	0.6738725	0.9227615
1.0000000	0.0791390	0.0105626	0.0000016	0.0176925	0.5386134	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181976	0.0791381	0.3347597	0.6738737	0.9227609
1.0000000	0.0791398	0.0106092	0.0084817	0.0000009	0.5499385	0.9997899	0.5071203	0.0419436	0.7906845	0.8247701	0.6180667	0.0732547	0.3376620	0.6814669	0.9237561
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.0000000	0.9996134	0.9899835	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3347615	0.6738753	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5376835	0.0000008	0.5022880	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3347612	0.6738751	0.9227603
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.8934688	0.0000003	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3347615	0.6738753	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0002001	0.5498698	0.9997891	0.5070700	0.0000000	0.7914026	0.8210584	0.6079464	0.0732690	0.3376551	0.6814465	0.9237507
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386139	0.9993793	0.5020732	0.0423966	0.0000000	0.1180196	0.0289045	0.0791378	0.3347616	0.6738755	0.9227601
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7914026	0.0000000	0.6181975	0.0791378	0.3347616	0.6738754	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7913947	0.0988207	0.0000000	0.0791378	0.3347615	0.6738754	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0164147	0.5395288	0.9994200	0.5023959	0.0396824	0.7907882	0.8245258	0.6173948	0.0000001	0.3725222	0.7898865	0.9210049
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386137	0.9993793	0.5020732	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.0000005	0.6579997	0.9896361
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386137	0.9993793	0.5020732	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.0248571	0.0000000	0.9893256
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3908951	0.8685242	0.0000000
