G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0000000	0.1585763	0.1018288	0.0006081	0.1064324	0.8736107	0.9995584	0.4290334	0.3919428	0.5432918	0.8667906	0.8284810	0.3537562	0.6081813	0.5375538	0.2763067
1.0000000	0.3133947	0.2147302	0.1331117	0.0856968	0.2334583	0.7259876	0.5639604	0.7348986	0.5531202	0.3023102	0.9991081	0.0408023	0.3394129	0.8200429	0.5375633
0.6174539	0.1041315	0.2413286	0.0474013	0.0798245	0.5143210	0.9185797	0.3099147	0.0612093	0.5329834	0.7691103	0.9999290	0.3016080	0.1508002	0.5717093	0.4286398
0.7149538	0.4328673	0.3121621	0.2564903	0.1118375	0.5053570	0.5992399	0.0965679	0.2071237	0.6117658	0.7166672	0.6577399	0.2355980	0.3835210	0.2937949	0.7481115
0.9343681	0.0680090	0.0000000	0.0000082	0.2806581	0.7202733	0.8103525	0.1575224	0.4239401	0.8537160	0.7790887	0.7221442	0.1176597	0.4338049	0.7446298	0.8212671
1.0000000	0.4718586	0.0506099	0.1154301	0.0062760	0.4050065	0.9998815	0.5433864	0.0203551	0.3380433	0.7576184	0.7221697	0.0748592	0.1251970	0.8492023	0.6386723
1.0000000	0.2735087	0.0000516	0.0088291	0.0064572	0.7912206	0.9988300	0.3062294	0.0490795	0.7070649	0.8482483	0.6928364	0.0208320	0.6416436	0.9383665	0.8538028
1.0000000	0.0355183	0.1367103	0.0929838	0.5389197	0.1541317	0.9976285	0.3841697	0.6768702	0.1712932	0.5395475	0.7771901	0.1396229	0.4094331	0.7745265	0.6365901
1.0000000	0.1074541	0.1847154	0.0000895	0.0510884	0.5840300	0.8080063	0.4806164	0.1770980	0.5854082	0.7668672	0.7667057	0.0227243	0.7748293	0.5718432	0.5838269
1.0000000	0.2294689	0.2704129	0.2145127	0.0430536	0.2974309	0.8149547	0.1108241	0.2396465	0.4791012	0.8082739	0.9358405	0.0184671	0.7476294	0.8469089	0.5565134
1.0000000	0.0159182	0.0000000	0.0000000	0.0829797	0.6249580	0.6312021	0.4652839	0.3237300	0.7903323	0.8857129	0.6944049	0.1407674	0.7230085	0.6500602	0.7483376
1.0000000	0.4018506	0.0078044	0.0559184	0.1098337	0.5963747	0.9115855	0.4659298	0.2688491	0.4030157	0.8233234	0.6776464	0.4539203	0.2230750	0.3634298	0.5168157
1.0000000	0.2959217	0.0001477	0.0129614	0.0328054	0.7280425	0.6515435	0.2624330	0.0982094	0.5399590	0.9341790	0.9010013	0.0131419	0.7078196	0.9906430	0.8427661
0.9573456	0.1345828	0.0000000	0.0002476	0.0216913	0.5658440	0.9993633	0.4941737	0.0889349	0.5920331	0.8501510	0.6176239	0.3563110	0.0199326	0.8281797	0.6562916
1.0000000	0.3692918	0.2551437	0.2748861	0.1658937	0.3291864	0.5511139	0.4798938	0.0024171	0.4520606	0.8877561	0.7253875	0.0753686	0.3271511	0.9254180	0.8161047
0.8982424	0.1175502	0.1769944	0.0786940	0.1144084	0.2041420	0.8304168	0.6347081	0.0211621	0.7054406	0.9321872	0.8675474	0.1890907	0.7032206	0.4396958	0.3856403
