"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.0000000	0.6030566	0.0618306	0.6177147	0.4888843	0.6728174	0.0081519	0.7648556	0.4646461	0.5660401	0.2706334	0.2762322	0.2578110	0.7545620	0.0295179	0.7460929
50	1.0000000	0.6283585	0.0627185	0.5496343	0.5378106	0.7927338	0.0089042	0.6271252	0.3245927	0.5660387	0.2706435	0.2705261	0.2588443	0.7544850	0.0295310	0.7461087
100	1.0000000	0.6524635	0.0682626	0.4782065	0.5413720	0.9094517	0.0119387	0.4590547	0.1765863	0.5659798	0.2709045	0.2412102	0.2628349	0.7537304	0.0295038	0.7463373
150	1.0000000	0.6633265	0.0774899	0.4376355	0.4759826	0.9647356	0.0119225	0.3598861	0.0986632	0.5651431	0.2720966	0.2062199	0.2639080	0.7521474	0.0294171	0.7469456
200	1.0000000	0.6667839	0.0866294	0.4177454	0.4141655	0.9863223	0.0082959	0.3186128	0.0642890	0.5580874	0.2747161	0.1821441	0.2581082	0.7516956	0.0293463	0.7474121
250	1.0000000	0.6670322	0.0935077	0.4090701	0.3789511	0.9939901	0.0049412	0.3053054	0.0502875	0.5314387	0.2782058	0.1683192	0.2479198	0.7541546	0.0294102	0.7469071
300	1.0000000	0.6661613	0.0978425	0.4059212	0.3623306	0.9965582	0.0030268	0.3019321	0.0448540	0.4844628	0.2815760	0.1586745	0.2378034	0.7593224	0.0296809	0.7450535
350	1.0000000	0.6651367	0.1002197	0.4052447	0.3550995	0.9973823	0.0021277	0.3014435	0.0428284	0.4355187	0.2846592	0.1494404	0.2302093	0.7655482	0.0301421	0.7421686
400	1.0000000	0.6643324	0.1013540	0.4055036	0.3520729	0.9976375	0.0017406	0.3016002	0.0421059	0.3983241	0.2878449	0.1405315	0.2253860	0.7711659	0.0307091	0.7389465
450	1.0000000	0.6638186	0.1018014	0.4059836	0.3508314	0.9977139	0.0015803	0.3018048	0.0418631	0.3749418	0.2912749	0.1331245	0.2226334	0.7753300	0.0312814	0.7360171
500	1.0000000	0.6635390	0.1019175	0.4064020	0.3503283	0.9977360	0.0015150	0.3019439	0.0417891	0.3619248	0.2946558	0.1278037	0.2211710	0.7779857	0.0317846	0.7337178
550	1.0000000	0.6375690	0.1003905	0.4725767	0.2567770	0.8636197	0.0012473	0.4427850	0.1828791	0.3996445	0.3009695	0.1258745	0.2160527	0.7796942	0.0321954	0.7320459
600	1.0000000	0.6133508	0.0924515	0.5440201	0.2412416	0.7267809	0.0006320	0.6091856	0.3323174	0.4743164	0.3095437	0.1406506	0.1940542	0.7851905	0.0328133	0.7294945
650	1.0000000	0.6034424	0.0818994	0.5857945	0.3240936	0.6622739	0.0004467	0.7127961	0.4116583	0.5219112	0.3051475	0.1754346	0.1846015	0.7979282	0.0341837	0.7238463
700	1.0000000	0.6010661	0.0732746	0.6062278	0.4006315	0.6448217	0.0010859	0.7666825	0.4468951	0.5460502	0.2928295	0.2131291	0.1989440	0.8047334	0.0354567	0.7186563
750	1.0000000	0.6012423	0.0676906	0.6147871	0.4467661	0.6480163	0.0026461	0.7878677	0.4608347	0.5572619	0.2824762	0.2417247	0.2194704	0.7981967	0.0355789	0.7183808
800	1.0000000	0.6018893	0.0645558	0.6177210	0.4704174	0.6562912	0.0045394	0.7901289	0.4654869	0.5622512	0.2763427	0.2594119	0.2356760	0.7851338	0.0347894	0.7225768
850	1.0000000	0.6024081	0.0629765	0.6183931	0.4814962	0.6633743	0.0061112	0.7844816	0.4664579	0.5644213	0.2732314	0.2689336	0.2459784	0.7729568	0.0336567	0.7286097
900	1.0000000	0.6027253	0.0622562	0.6183355	0.4863116	0.6679694	0.0071372	0.7776010	0.4662052	0.5653531	0.2717699	0.2735080	0.2518389	0.7643975	0.0325360	0.7343649
