G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.0282588	0.6237717	0.5466972	0.0000001	0.0317385	0.0000000	0.5007896	0.9312486	0.0548528	0.5464140	0.7918491	0.4273799	0.3467699	0.5600209	0.3889245
0.0000000	0.0282588	0.6237717	0.5466972	0.0654425	0.0336878	0.0000000	0.5006523	0.0000000	0.0548341	0.5463923	0.4355569	0.4760178	0.3467280	0.5601147	0.3889407
0.0000000	0.0282588	0.6237715	0.5466972	0.0654454	0.0336900	0.0000000	0.5006464	0.9999997	0.0548715	0.5464117	0.8125497	0.0000002	0.3468652	0.5595327	0.3889720
0.0000000	0.0000000	0.6237706	0.5466982	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.0000000	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.9999995	0.0000000	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0000000	0.0000000	0.5018223	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.6329449	0.4492355	0.0000001	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0000003	0.5464150	0.7843559	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0299828	0.0000000	0.7843838	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.3532032	0.9281898	0.0000000	0.4760519	0.3467076	0.5601908	0.3889394
0.0000000	0.0282588	0.6237715	0.5466972	0.0654454	0.0336900	0.0000000	0.5006465	0.9092888	0.0548688	0.5464150	0.7841940	0.4761041	0.0000000	0.4558457	0.4736096
0.0000000	0.0282588	0.6237715	0.5466972	0.0654454	0.0336900	0.0000000	0.5006465	0.9092888	0.0548688	0.5464150	0.7841940	0.4761041	0.9999999	0.0000000	0.1729377
0.0000000	0.0282588	0.6237715	0.5466972	0.0654454	0.0336900	0.0000000	0.5006465	0.9092888	0.0548688	0.5464150	0.7841940	0.4761041	0.3238928	0.9999993	0.0000002
1.0000000	0.6030394	0.0618465	0.6177574	0.0000000	0.0000000	0.0000000	0.9872568	0.4746165	0.5660422	0.2704876	0.2804380	0.0027250	0.3506162	0.5317588	0.4092758
