G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5000014	0.1794445	0.0106450	0.0087216	0.0235039	0.5430651	0.9978655	0.4974200	0.0425801	0.6053336	0.7621402	0.6180990	0.0820454	0.4521306	0.6828271	0.8465459
1.0000000	0.0395869	0.0106089	0.0084626	0.0176927	0.5386128	0.9993793	0.5020735	0.0423968	0.7906632	0.8248137	0.6181976	0.0791385	0.3347590	0.6738725	0.9227619
1.0000000	0.0790874	0.0053083	0.0084817	0.0176934	0.5386110	0.9993792	0.5020740	0.0423972	0.7906632	0.8248141	0.6181979	0.0791397	0.3347545	0.6738674	0.9227648
1.0000000	0.0791392	0.0105699	0.0042484	0.0176929	0.5386122	0.9993793	0.5020736	0.0423970	0.7906632	0.8248138	0.6181978	0.0791389	0.3347573	0.6738706	0.9227630
1.0000000	0.0791398	0.0106092	0.0084817	0.0087953	0.5447867	0.9996360	0.5044938	0.0421278	0.7906751	0.8247941	0.6181249	0.0755893	0.3364163	0.6783400	0.9234440
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.2693318	0.9995294	0.6120676	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.3347607	0.6738744	0.9227608
1.0000000	0.0791398	0.0106092	0.0084817	0.0176929	0.5386120	0.4999137	0.5020737	0.0423970	0.7906632	0.8248138	0.6181978	0.0791389	0.3347573	0.6738706	0.9227630
1.0000000	0.0791398	0.0106092	0.0084817	0.0176925	0.5386132	0.9926528	0.2511048	0.0423967	0.7906632	0.8248136	0.6181976	0.0791382	0.3347600	0.6738737	0.9227612
1.0000000	0.0791398	0.0106092	0.0084817	0.0079884	0.5453284	0.9996556	0.5047171	0.0210513	0.7912983	0.8226606	0.6122436	0.0753008	0.3366019	0.6787474	0.9234663
1.0000000	0.0791398	0.0106092	0.0084817	0.0176929	0.5386122	0.9993793	0.5020736	0.0423970	0.3954539	0.8248097	0.6181839	0.0791389	0.3347573	0.6738706	0.9227630
1.0000000	0.0791398	0.0106092	0.0084817	0.0176925	0.5386132	0.9993793	0.5020733	0.0423967	0.7912329	0.4127218	0.6181976	0.0791382	0.3347600	0.6738737	0.9227612
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386136	0.9993793	0.5020732	0.0423967	0.7910089	0.6127371	0.3090999	0.0791379	0.3347610	0.6738748	0.9227605
1.0000000	0.0791398	0.0106092	0.0084817	0.0166771	0.5392989	0.9994104	0.5023318	0.0402031	0.7907645	0.8245969	0.6175541	0.0393709	0.3545712	0.7294692	0.9252271
1.0000000	0.0791398	0.0106092	0.0084817	0.0176927	0.5386128	0.9993793	0.5020735	0.0423968	0.7906632	0.8248137	0.6181976	0.0791385	0.1652487	0.6624501	0.9709904
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386136	0.9993793	0.5020732	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.1333113	0.3304061	0.9776773
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.5386135	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.3766813	0.8072555	0.4551166
