G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.0282588	0.6237717	0.5466972	0.0654435	0.0336886	0.0000000	0.5006510	0.9094813	0.0548521	0.5464150	0.7844937	0.4760519	0.3467076	0.5601908	0.3889394
1.0000000	0.0000021	0.0471062	0.7813151	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6048505	0.0000030	0.6162985	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.5578239	0.1586696	0.0000032	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.0000000	0.6031510	0.0000000	0.8275316	0.4746165	0.5660422	0.2704876	0.2804380	0.0027250	0.3506162	0.5317588	0.4092758
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.0000023	0.0081510	0.9466700	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618467	0.6177573	0.4888852	0.6727352	0.0000022	0.7649132	0.4646500	0.5660418	0.2706330	0.2762391	0.2578042	0.7544977	0.0295403	0.7461175
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.9972235	0.4583855	0.0000042	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.0654423	0.6041730	0.0000002	0.8272667	0.0000000	0.0303745	0.2682487	0.0996058	0.0299091	0.4217921	0.3174111	0.5943751
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.0000043	0.2770202	0.2017647	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5657970	0.0000037	0.2761746	0.2578042	0.7544979	0.0295402	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.6156750	0.6885718	0.0000010	0.2578042	0.7544979	0.0295401	0.7461179
1.0000000	0.6030394	0.0618465	0.6177574	0.4927791	0.6738285	0.0084844	0.7623953	0.4746166	0.5660422	0.2704876	0.2804380	0.0000002	0.3467061	0.5598100	0.3890579
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.0000019	0.0166784	0.9538875
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081509	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.7628634	0.0000033	0.7438847
1.0000000	0.6030394	0.0618465	0.6177574	0.4888853	0.6728114	0.0081510	0.7648963	0.4646500	0.5660418	0.2706330	0.2762392	0.2578042	0.3501049	0.2481636	0.0000037
