G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0000000	0.6745186	0.0661443	0.5857064	0.4268198	0.9650588	0.2926071	0.7178937	0.4732655	0.5700711	0.1318065	0.2138537	0.1260166	0.8516619	0.0566594	0.6908264
0.8474284	0.4906196	0.0691489	0.6663701	0.9559448	0.9900119	0.1278517	0.1267066	0.4692803	0.9999691	0.2148398	0.5793708	0.5169414	0.6636092	0.0712743	0.4888558
0.9074022	0.5780385	0.0528525	0.7953427	0.3564880	0.9938830	0.0009054	0.5705647	0.2785375	0.9459213	0.2017660	0.3815633	0.1452745	0.8783336	0.0205800	0.7308279
1.0000000	0.5759130	0.0467951	0.7864464	0.5135366	0.9634054	0.1879602	0.5725908	0.3838041	0.5394705	0.4310968	0.2606035	0.2814476	0.5995694	0.0118470	0.9823507
0.6865764	0.7952448	0.1780532	0.3101445	0.3422339	0.5938323	0.0000866	0.7948422	0.4671953	0.5359256	0.2450396	0.4636030	0.6734326	0.7745049	0.0001367	0.9551411
1.0000000	0.5765047	0.0262704	0.9078104	0.7133821	0.9672713	0.0408561	0.2823114	0.4737559	0.5360749	0.2705308	0.2489676	0.1073883	0.9192320	0.0080802	0.7724446
0.6832624	0.3813980	0.0789578	0.8010024	0.5156610	0.9804753	0.0046158	0.3557892	0.6185745	0.9999478	0.1571012	0.7610788	0.3487245	0.2891520	0.0210401	0.9180086
1.0000000	0.6663347	0.0556788	0.5026357	0.0090642	0.9635840	0.2203998	0.7274572	0.0781800	0.5253380	0.5403625	0.0933352	0.0786040	0.8316308	0.0887950	0.7592269
1.0000000	0.5765278	0.0240940	0.5156825	0.4981724	0.9507798	0.0875714	0.5515092	0.4706932	0.5358940	0.2109733	0.2407868	0.1842522	0.6942012	0.0582283	0.5809375
1.0000000	0.5689514	0.0930011	0.4431279	0.6872629	0.9543793	0.1212950	0.2359641	0.4677076	0.6164072	0.4699638	0.3465721	0.2025841	0.5717598	0.0387167	0.6900656
0.6856605	0.6251786	0.0608885	0.6842821	0.3701114	0.6213429	0.0014751	0.6751853	0.6039400	0.6008662	0.7252553	0.6991831	0.4013572	0.7986149	0.0023206	0.5152837
1.0000000	0.5757321	0.0501101	0.3765001	0.4268533	0.9975394	0.1847399	0.3585792	0.4733424	0.7386117	0.5121451	0.4798186	0.1234593	0.6942678	0.0140613	0.5436594
1.0000000	0.6000973	0.1051282	0.3934990	0.8095298	0.9106633	0.0609392	0.2546313	0.4746165	0.7257335	0.4168644	0.1786845	0.0033199	0.2093048	0.1676278	0.7006660
0.8815870	0.6468451	0.0613895	0.7107376	0.3685098	0.9377038	0.0577094	0.5411391	0.4068662	0.6594986	0.5154571	0.5612853	0.3042586	0.7553393	0.0323325	0.7170566
1.0000000	0.6152011	0.0221094	0.7893254	0.6593547	0.9658566	0.4066768	0.7453346	0.4105986	0.5600097	0.6010429	0.2271045	0.5229060	0.4932288	0.0280093	0.7330899
0.5215225	0.2497588	0.1355543	0.6067134	0.4943224	0.6638862	0.0015282	0.7244796	0.4118511	0.5404741	0.4532222	0.6898265	0.1577666	0.2144589	0.1995864	0.5423567
