"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	0.9111707	0.5742049	0.0814490	0.4640672	0.3134206	0.5460540	0.0066260	0.5119276	0.3844765	0.4409938	0.2545966	0.2427669	0.2037116	0.6385835	0.0283962	0.5763073
50	0.7567374	0.5557181	0.0569869	0.5056987	0.4606816	0.5073978	0.0095550	0.4541571	0.3074913	0.5256087	0.1490545	0.2369078	0.2815542	0.4951308	0.0156822	0.6130010
100	0.8406334	0.4617331	0.0311036	0.3838381	0.3980021	0.7156761	0.0139182	0.3252473	0.1231610	0.4406508	0.1047299	0.2512703	0.2281334	0.6134449	0.0258413	0.6253146
150	0.7577490	0.4935167	0.0573085	0.3968307	0.4693476	0.6400297	0.0180009	0.2652839	0.1064104	0.5837714	0.2427840	0.1371784	0.2802056	0.5777997	0.0476542	0.7617456
200	0.7734226	0.4187615	0.0520066	0.3275536	0.3463496	0.7832167	0.0139423	0.2473515	0.0830934	0.4819289	0.2620606	0.1488404	0.2086513	0.7110230	0.0097076	0.7170729
250	0.7291453	0.6032075	0.0655257	0.3309772	0.1981323	0.7934199	0.0015872	0.2256257	0.0365658	0.4025381	0.2002255	0.0896262	0.1908689	0.6494153	0.0121647	0.7011048
300	0.8065717	0.5028774	0.0901951	0.4034199	0.2784985	0.9155245	0.0105050	0.3042452	0.0578314	0.4501777	0.1978637	0.1322466	0.1937282	0.5780448	0.0149089	0.5934621
350	0.8403008	0.4723460	0.0741226	0.3557847	0.3565159	0.8344607	0.0019942	0.2601198	0.0529098	0.3676384	0.2163330	0.1275883	0.2135108	0.6477979	0.0590843	0.5713524
400	0.7572269	0.5041651	0.0776226	0.3770152	0.3228731	0.7701058	0.0060225	0.2485635	0.0633115	0.3884175	0.1629962	0.0867876	0.2051554	0.5336002	0.0129567	0.4552179
450	0.8161689	0.5062870	0.0849618	0.3529379	0.3637414	0.7502956	0.0139641	0.1906486	0.0367033	0.4403238	0.1460084	0.0886860	0.1589937	0.5683173	0.0369728	0.6306623
500	0.7842368	0.5626904	0.0796281	0.3359429	0.2478994	0.6755512	0.0051745	0.3150689	0.0215270	0.2291445	0.2127301	0.1003321	0.1694444	0.5423601	0.0289107	0.6425110
550	0.8232380	0.5587144	0.0673103	0.4364414	0.2370476	0.7086203	0.0025931	0.3464330	0.1696163	0.3776815	0.2402496	0.0944355	0.1131834	0.6499462	0.0331061	0.6369887
600	0.8577089	0.4838572	0.0536727	0.3924209	0.2247315	0.5626958	0.0056110	0.5215221	0.2433498	0.3337776	0.2402622	0.1052138	0.1201369	0.6116968	0.0186704	0.5645662
650	0.9125531	0.4015521	0.0443371	0.5028907	0.2811159	0.5895593	0.0007271	0.6074819	0.3618919	0.3997979	0.2894870	0.0923699	0.0992959	0.5990299	0.0257912	0.5201433
700	0.9259562	0.6078048	0.0416325	0.6776620	0.3526431	0.4665450	0.0002745	0.6681528	0.4571778	0.4299031	0.2602117	0.1683860	0.2770279	0.5619737	0.0497517	0.5738163
750	0.8812127	0.5051217	0.0797443	0.3924647	0.3680863	0.4487651	0.0112443	0.6869984	0.3680360	0.3624304	0.2069807	0.1530354	0.1829244	0.5446816	0.0531345	0.4453174
800	0.8564731	0.5594662	0.0789154	0.4377247	0.3315363	0.5139208	0.0129016	0.5789449	0.3202026	0.4903599	0.2225634	0.2095264	0.1817936	0.6162193	0.0435542	0.4460223
850	0.8271043	0.4874288	0.0391787	0.4827917	0.3758009	0.6240446	0.0025214	0.5532534	0.2657899	0.5244038	0.2049687	0.2146470	0.2083321	0.5344880	0.0383888	0.4701912
900	0.8452933	0.4810334	0.0455565	0.4127002	0.3264619	0.6154159	0.0016559	0.5387648	0.3278191	0.3663816	0.2656817	0.2736468	0.2810212	0.5709821	0.0118669	0.5876422
950	0.7499578	0.3947407	0.0765925	0.4079667	0.3254638	0.7012658	0.0002581	0.5562683	0.3741106	0.5933282	0.1967166	0.2578078	0.3595994	0.5584743	0.0205934	0.7159473
1000	1.0246298	0.4882953	0.0344898	0.4658914	0.3744213	0.4257850	0.0019307	0.5707638	0.4893080	0.4959440	0.3134306	0.2946456	0.1957295	0.5536585	0.0249371	0.6253063

0	0.8776371	0.6534175	0.0508303	0.5671827	0.4707443	0.4584700	0.0127127	0.5839653	0.4248980	0.5924842	0.2911925	0.2942714	0.1983223	0.7551768	0.0364017	0.5562573
50	0.7703480	0.5220066	0.0567865	0.4659414	0.4581189	0.3791406	0.0221358	0.5738673	0.2527901	0.4096598	0.2736864	0.1400783	0.1602063	0.6408009	0.0134438	0.4484186
100	0.7212492	0.4426677	0.0326235	0.4201530	0.2729804	0.4998374	0.0084583	0.5471612	0.1942739	0.4747226	0.2745773	0.1518466	0.1939023	0.8099549	0.0034233	0.4074666
150	0.7503745	0.3553913	0.0443163	0.4337083	0.2529119	0.6656556	0.0140190	0.5571740	0.0289800	0.4075703	0.1594431	0.2040947	0.1814132	0.6142042	0.0070335	0.3260303
200	0.7348184	0.4295537	0.0451229	0.5454082	0.1235977	0.4573574	0.0013408	0.7080777	0.0323259	0.3666472	0.2595423	0.1414806	0.1445248	0.6684476	0.0008220	0.2123798
250	0.8198539	0.5453605	0.0897516	0.5342296	0.0715332	0.5001554	0.0022701	0.6257061	0.0007017	0.2372018	0.3127983	0.1105689	0.1519837	0.5520153	0.0020386	0.2698988
300	0.7513923	0.6040977	0.0338821	0.5063709	0.0582071	0.4754039	0.0000000	0.6651714	0.0126733	0.0852380	0.2055692	0.1035353	0.1182388	0.6413219	0.0063127	0.2560843
350	0.7669943	0.4590293	0.0640448	0.6401601	0.0431923	0.5085870	0.0023748	0.6882279	0.0071873	0.0824497	0.1739002	0.1075119	0.0407232	0.8384383	0.0208891	0.2310253
400	0.7832117	0.4850822	0.0331937	0.4864825	0.0320073	0.4141881	0.0017885	0.7040482	0.0003465	0.0264179	0.1871866	0.0894245	0.0645077	0.7431944	0.0403294	0.2295485
450	0.8841134	0.4833864	0.0366521	0.6719753	0.0667105	0.4970907	0.0003900	0.7263809	0.0000092	0.0235245	0.1999365	0.1338365	0.0592924	0.7427567	0.0218902	0.2212517
500	0.7715049	0.4564790	0.0382373	0.5042427	0.0354747	0.4437386	0.0000245	0.5375202	0.0003238	0.0201040	0.1877426	0.1138347	0.0434581	0.8420542	0.0592255	0.1491660
550	0.8514190	0.4375776	0.0461754	0.6038340	0.0466982	0.4621040	0.0017449	0.4835491	0.1112137	0.0877108	0.1695950	0.1190072	0.0122475	0.6854755	0.3070039	0.2375417
