G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.4061081	0.0084188	0.0100835	0.0000000	0.7474194	0.5717864	0.2538970	0.0076825	0.3568025	0.0612994	0.0151938	0.0726594	0.3486409	0.1398467	0.6033368
0.0000000	0.3304083	0.0190555	0.0070850	0.3551822	0.5877980	0.7516193	0.2097005	0.0000000	0.2708156	0.0741885	0.0150958	0.3062642	0.3923752	0.0985038	0.3944265
0.0000000	0.3087142	0.0139879	0.0031915	0.3671869	0.6458413	0.6803070	0.1813534	0.0248866	0.4355109	0.0897785	0.0564570	0.0000000	0.4358618	0.1318601	0.4531368
0.0000000	0.0000000	0.0069948	0.0009312	0.3210702	0.5851529	0.6390719	0.2193037	0.0439967	0.3808169	0.0620438	0.0348652	0.3135877	0.3956288	0.0868462	0.3175395
0.0000000	0.3634286	0.0000000	0.0101033	0.3339173	0.5292874	0.8055530	0.1793442	0.0449847	0.3161424	0.0500893	0.0198610	0.2505446	0.4390393	0.1054397	0.2524308
0.0000000	0.2633155	0.0155758	0.0000000	0.2829747	0.5685829	0.7933472	0.2776333	0.0437513	0.3948420	0.0714242	0.0158349	0.3354504	0.3838626	0.0927450	0.2752425
0.0000000	0.2839107	0.0025003	0.0098815	0.4499489	0.0000000	0.7203123	0.6639914	0.0146747	0.3798471	0.1022896	0.0156273	0.3698453	0.4519778	0.1550893	0.3239868
0.0000000	0.3074602	0.0023295	0.0021594	0.3696104	0.2549088	0.0000000	0.3167533	0.0251428	0.3479915	0.0368336	0.0302128	0.2166681	0.3857669	0.0702640	0.2973163
0.0000000	0.2613623	0.0093934	0.0070041	0.3424845	0.4046071	0.1088675	0.0000000	0.0226532	0.3117921	0.0599530	0.0087165	0.2671304	0.4720762	0.1182181	0.3286971
0.0000000	0.2858732	0.0300667	0.0156806	0.3883413	0.5460045	0.7112551	0.1605623	0.0420977	0.0000000	0.0726534	0.0299573	0.2763423	0.4598981	0.1229269	0.3646695
0.0000000	0.2131361	0.0077093	0.0134029	0.2627703	0.6673446	0.8192633	0.2663934	0.0289547	0.2571455	0.0000000	0.0152188	0.3718427	0.3726876	0.1100891	0.3204220
0.0000000	0.2787140	0.0099935	0.0346209	0.3702946	0.6566032	0.8197446	0.3332836	0.0338057	0.2999612	0.0713404	0.0000000	0.2887212	0.4469183	0.0735207	0.2503611
0.0000000	0.3952422	0.0009097	0.0235802	0.3258472	0.5688705	0.7354938	0.2120816	0.0170989	0.4166853	0.0610773	0.0338395	0.3135528	0.0000000	0.0826344	0.5093448
0.0000000	0.2703667	0.0193372	0.0219111	0.2914677	0.5295785	0.7215124	0.2933283	0.0335373	0.3669525	0.1132546	0.0207588	0.3097825	0.3863998	0.0000000	0.3223325
0.0000000	0.2899852	0.0101599	0.0095031	0.3054045	0.5419184	0.5877932	0.2296705	0.0181414	0.3913102	0.0825033	0.0064592	0.2897484	0.4334360	0.1423412	0.0000000
0.8965885	0.0341121	0.0414036	0.0040888	0.0000000	0.0000000	0.8244910	0.6588678	0.0381089	0.6232467	0.5253864	0.4960775	0.0577330	0.2798805	0.5322473	0.5112959
