G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.2382746	0.0176509	0.0031898	0.3550744	0.5022812	0.7178201	0.1724871	0.0304795	0.4019423	0.0789580	0.0455747	0.3575646	0.4432597	0.1081753	0.3075373
0.9954235	0.0000000	0.0005204	0.0033817	0.0410390	0.4983782	0.8316349	0.3653524	0.0399148	0.7039903	0.7388610	0.4817066	0.1045310	0.2220307	0.5475726	0.7550249
0.8662154	0.0670684	0.0000000	0.0046123	0.0131154	0.4052749	0.7846900	0.4168191	0.0320408	0.7059542	0.5457138	0.4966362	0.0619873	0.1993129	0.4849520	0.7079373
0.6656973	0.0545224	0.0012710	0.0000000	0.0134909	0.4044639	0.7382305	0.3046300	0.0324323	0.6844626	0.7152723	0.4460806	0.0412338	0.3314774	0.5846404	0.6557335
0.7898458	0.0698798	0.0110264	0.0041308	0.0000000	0.4123993	0.7918847	0.5052880	0.0586128	0.6186561	0.6857194	0.4911824	0.0427982	0.1640116	0.5595538	0.8346816
0.6772062	0.0832467	0.0169544	0.0067318	0.0048750	0.0000000	0.9234137	0.8070291	0.0111000	0.6046213	0.5890337	0.3698326	0.0444439	0.2783153	0.5105638	0.6522480
0.8504976	0.0344436	0.0247802	0.0276752	0.0333636	0.3454375	0.0000000	0.2581854	0.0300094	0.6053270	0.6894626	0.3957958	0.0621336	0.2006110	0.5354145	0.8087601
0.6710008	0.0949958	0.0099554	0.0019859	0.0108068	0.4386242	0.6393894	0.0034860	0.0516653	0.5743027	0.6678464	0.4123968	0.0687630	0.2039550	0.4388146	0.6730431
0.8710579	0.0946834	0.0166343	0.0033415	0.0024542	0.3983197	0.7915161	0.4067395	0.0000000	0.5143374	0.6148467	0.5566921	0.0576470	0.2978220	0.5944721	0.7136194
0.6387821	0.0755564	0.0038088	0.0011030	0.0352617	0.3298644	0.7972247	0.2822681	0.0215823	0.0000000	0.0964390	0.0378339	0.0726179	0.1896005	0.4638292	0.6410820
0.7582564	0.0541029	0.0124466	0.0037226	0.0146063	0.3805693	0.7149668	0.3646326	0.0408676	0.5603078	0.0000000	0.4999746	0.0269412	0.2687436	0.5758989	0.6833329
0.6616587	0.0925689	0.0126776	0.0088636	0.0155755	0.3425156	0.9418230	0.3779290	0.0306807	0.5969047	0.0569953	0.0000000	0.0877509	0.2633003	0.4957378	0.6359908
0.7551320	0.1016596	0.0153308	0.0098155	0.0067604	0.4219643	0.6837674	0.3444309	0.0629336	0.6450226	0.5883729	0.4204800	0.0000000	0.2742122	0.5427949	0.8809578
0.7995707	0.0323187	0.0044869	0.0087220	0.0418655	0.4327401	0.7413483	0.3430880	0.0862019	0.6060584	0.6798866	0.4500757	0.0766930	0.0000000	0.5789362	0.6894496
0.7029228	0.0782816	0.0041091	0.0012903	0.0223114	0.3874478	0.8721092	0.3342009	0.0741512	0.5883175	0.5602104	0.4127236	0.0672915	0.0181303	0.0000000	0.8741013
0.7453715	0.0240734	0.0054775	0.0109424	0.0169088	0.4336615	0.8618209	0.3095238	0.0263648	0.5750602	0.6426101	0.4673237	0.0478131	0.3182218	0.8560846	0.0000000
