G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.6685210	0.1412876	0.0491418	0.0011226	0.1141863	0.7386706	0.6330285	0.3743205	0.3179627	0.3098365	0.6579343	0.5479436	0.2600905	0.5716665	0.3547845	0.2018247
0.7118463	0.2409775	0.1941381	0.1556788	0.0659171	0.1697304	0.5330477	0.4644172	0.5426036	0.4589879	0.2915639	0.8550532	0.0737705	0.1519275	0.6094432	0.4789598
0.4280696	0.0326962	0.2267618	0.0409091	0.1173825	0.3869329	0.6989805	0.2400885	0.0606297	0.3754212	0.6192630	0.6607601	0.2379700	0.2356516	0.5054341	0.3531313
0.4885519	0.3905332	0.2307396	0.1872839	0.1030562	0.3863319	0.5604126	0.0819470	0.1348405	0.5712912	0.4638470	0.5893732	0.2218537	0.3326814	0.2981608	0.5174122
0.6017861	0.0491789	0.0088453	0.0001239	0.1794934	0.6049448	0.6622718	0.1074370	0.3947299	0.6417374	0.5794415	0.4602883	0.1217301	0.2887126	0.5268843	0.6894426
0.7067663	0.3967768	0.1358673	0.1406419	0.0095265	0.3159323	0.7111306	0.3986628	0.0203148	0.2930946	0.6413756	0.5042275	0.0553576	0.0658481	0.6530506	0.5516328
0.7746569	0.2329919	0.0015702	0.0111088	0.0117163	0.6663902	0.8107867	0.2109916	0.0339361	0.5038898	0.6039641	0.5029018	0.0194944	0.5649761	0.6363796	0.6660760
0.8287150	0.0291405	0.0947849	0.0371614	0.5459912	0.0798709	0.6172691	0.3638186	0.5094844	0.0796078	0.4253458	0.6496455	0.1329942	0.3077784	0.5313332	0.4548214
0.7521941	0.0820731	0.2099045	0.0017173	0.0581802	0.4176802	0.6255916	0.3561000	0.1147319	0.4384837	0.5382156	0.5775623	0.0155479	0.5971207	0.5063245	0.5049437
0.7505724	0.1894352	0.2000595	0.2018048	0.0333225	0.2379437	0.6164952	0.0871091	0.1896161	0.3707643	0.8572005	0.7364816	0.0119728	0.6197800	0.7079990	0.3332288
0.7422139	0.0479964	0.0002273	0.0003399	0.0529323	0.4636605	0.4285528	0.3766762	0.2649769	0.6314910	0.6461199	0.5045538	0.1265491	0.6268485	0.5206247	0.4929674
0.7634311	0.2428317	0.0050102	0.0488875	0.0732170	0.4640701	0.6327157	0.2712554	0.1589148	0.2525254	0.5815578	0.6276039	0.2431761	0.1887076	0.2593926	0.3240264
0.7635703	0.1881750	0.0034895	0.0068637	0.0272267	0.5428391	0.4820489	0.1819535	0.0743715	0.4730598	0.7288855	0.6142740	0.0229145	0.5075732	0.8180314	0.5293886
0.7515047	0.1331360	0.0008098	0.0014890	0.0048449	0.5313761	0.6802304	0.3039854	0.0866517	0.4750561	0.5688634	0.4756701	0.3140399	0.0653194	0.6636783	0.4559816
0.8894663	0.2990078	0.2499004	0.3023724	0.1257040	0.1664785	0.4264067	0.3638228	0.0010346	0.3121553	0.6002549	0.4484821	0.0582827	0.2276927	0.8099601	0.6031101
0.7278623	0.1607700	0.1682364	0.0979628	0.1128029	0.1378807	0.7243912	0.4276653	0.0422936	0.6386805	0.6460068	0.7086573	0.1504579	0.5340149	0.2897130	0.2676994
