alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0892597	0.7693949	0.6542545	0.0219355	0.3999754	0.3580406	0.4335656	0.3195874	0.6229214	0.7857453
0.5215483	0.3281980	0.0951195	0.0501053	0.4811283	0.3204084	0.3456772	0.2786796	0.2971055	0.8700907
0.2416189	0.7005735	0.3406728	0.0086230	0.3894538	0.4401108	0.4068334	0.2330115	0.4832180	0.7441961
0.2099810	0.7816216	0.8413896	0.0053028	0.4098148	0.3772252	0.4225501	0.3186624	0.5482788	0.7834680
0.2114499	0.8418313	0.9500162	0.0118393	0.2084232	0.4275760	0.3319278	0.2792413	0.5611619	0.7554053
0.1712614	0.7030454	0.7095281	0.0081352	0.3609152	0.2623041	0.3798471	0.2683519	0.6001583	0.8374966
0.1724945	0.6965389	0.7585616	0.0090961	0.4827399	0.3967670	0.1984482	0.3193943	0.5713014	0.8210502
0.1308373	0.7590311	0.6998763	0.0176181	0.4954870	0.5094554	0.3768880	0.1241818	0.6078134	0.7011651
0.1937453	0.7479841	0.7817090	0.0403307	0.4224485	0.4571204	0.4832679	0.2828475	0.3583475	0.7473581
0.2778703	0.7663062	0.7761151	0.0076724	0.5581532	0.5926475	0.2204464	0.5088490	0.5702752	0.4070420
