alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	0.7375121	0.7386389	0.0103422	0.4427656	0.3950052	0.3371535	0.3126633	0.5688441	0.8226503
0.7206472	0.0000000	0.0439630	0.0078565	0.2513332	0.3839319	0.5074298	0.2372959	0.0478763	0.8843064
0.1348099	0.7307635	0.0000000	0.0078259	0.3401701	0.3884539	0.5368996	0.2256337	0.6631925	0.6745888
0.1536836	0.8393939	0.8494966	0.0000000	0.4645073	0.4262416	0.4030943	0.3012735	0.7262802	0.8077180
0.2091661	0.8937723	0.7690088	0.0114756	0.0000000	0.4316217	0.3984866	0.2704543	0.7036913	0.7609759
0.2947400	0.7783559	0.6816873	0.0084885	0.4060928	0.0000000	0.3805051	0.2915933	0.6203650	0.8244276
0.2190141	0.8430794	0.6863071	0.0066528	0.3593377	0.4404002	0.0000000	0.2858212	0.6097892	0.7445974
0.1937001	0.8125012	0.8016986	0.0015234	0.3060567	0.4025169	0.4540583	0.0000000	0.6165692	0.8809650
0.1595450	0.7408145	0.7962375	0.0065755	0.4910347	0.3151079	0.4087148	0.3132948	0.0000000	0.8365371
0.2272733	0.7779168	0.7734083	0.8261670	0.6309341	0.8253988	0.0192391	0.9064001	0.6399443	0.0000000
