alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1583886	0.8366145	0.6870060	0.0005322	0.4072476	0.2478462	0.2867746	0.2721889	0.2813508	0.6437309
0.1667995	0.6490253	0.7452205	0.0003291	0.4823524	0.4006974	0.4185508	0.2776476	0.5533370	0.7638328
0.3137381	0.5747065	0.5191037	0.0072194	0.2817962	0.4233449	0.3492435	0.4214585	0.4647117	0.6492143
0.1757302	0.7920548	0.7337830	0.0001880	0.1799383	0.3765545	0.3099240	0.2413902	0.3760903	0.7514728
0.1628438	0.6778903	0.7537842	0.0214747	0.5862729	0.4527599	0.3187621	0.4177041	0.4554100	0.5682871
0.3266666	0.4846221	0.5528909	0.0101738	0.5252872	0.2162864	0.2346098	0.2547515	0.5182574	0.5553804
0.2488034	0.4971672	0.6562220	0.0007094	0.4927807	0.3106242	0.4807892	0.2675116	0.5493608	0.7849536
0.2152962	0.7984329	0.6257554	0.0153728	0.5016455	0.4582937	0.3337746	0.2117791	0.4474682	0.7761076
0.0377725	0.7282490	0.7490592	0.0111488	0.3757440	0.3236815	0.4603308	0.1740416	0.5664205	0.7912255
0.0724494	0.8354107	0.6537520	0.0007158	0.2527497	0.2524106	0.5064193	0.3488114	0.4111305	0.8743652
