"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	0.2273292	1.0334170	1.0859068	0.0134414	0.5608931	0.5873593	0.4683770	0.3981586	0.7639161	1.0559996
50	0.2732810	0.8524413	0.9406530	0.0208109	0.6061900	0.5345345	0.4957788	0.4175506	0.6075885	0.3415023
100	0.2788507	0.9469507	0.9663852	0.0119210	0.7340156	0.6604457	0.3763310	0.5403696	0.5847340	0.2579359
150	0.3163938	1.0591843	0.9305614	0.0124138	0.8323962	0.6977540	0.2869953	0.8159323	0.7074560	0.2663914
200	0.2887112	1.0516683	0.9335601	0.0216955	0.9350730	0.8171017	0.2476849	0.8569548	0.7250098	0.2480280
250	0.2326486	0.9846207	0.9529332	0.0271161	0.9251552	0.8320338	0.1983024	0.7390472	0.6927237	0.2524015
300	0.2942353	0.9238628	0.9332953	0.0167991	0.9702366	0.8021167	0.1591975	0.8676136	0.7447509	0.2334055
350	0.3070310	0.9905127	0.9682044	0.0211217	0.9880287	0.7554847	0.1782233	0.8966303	0.6996401	0.2598915
400	0.2616955	1.0687205	1.0537010	0.0409070	0.9684149	0.7991470	0.1585072	0.8491311	0.6844804	0.2030286
450	0.1746618	1.0752245	0.9511973	0.0513975	0.9995738	0.8908923	0.1228214	0.8366926	0.7873594	0.2454605
500	0.2402609	1.0287703	0.9417951	0.0533659	0.9245412	0.9677253	0.1092473	0.9605803	0.7700797	0.2262442
550	0.2487029	1.0322925	0.9454962	0.0492912	1.0045606	0.9068642	0.1610740	0.8544254	0.6999395	0.9022595
600	0.2185923	0.9640050	1.0509800	0.0286388	0.6833442	0.7783214	0.2653724	0.5607360	0.7001317	1.0237305
650	0.2239697	1.0453444	0.9528143	0.0224910	0.6350875	0.6443517	0.3888284	0.4793812	0.7635655	1.0499982
700	0.1846528	0.9949391	0.9877295	0.0187274	0.5350132	0.6156591	0.4885085	0.4017548	0.7195876	1.0045619
750	0.2483905	0.9715916	0.9600970	0.0155723	0.4746722	0.4842281	0.5208200	0.3404511	0.7206055	1.0485538
