alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1258618	1.0462156	0.9464036	0.0152950	0.5579161	0.5016510	0.5017643	0.3821404	0.7378611	0.9998400
0.6937477	0.5051524	0.1413987	0.0245909	0.5617025	0.4920123	0.5127839	0.3752267	0.4871938	1.0002433
0.2976619	0.9413352	0.4827957	0.0139672	0.5380149	0.5427214	0.4719814	0.3725222	0.6299356	1.0295011
0.3152491	1.0387370	1.0312732	0.0147002	0.4968028	0.5129516	0.5336189	0.3652907	0.7282226	1.0152372
0.2495144	1.0547395	1.0166567	0.0169099	0.2865758	0.5219785	0.5414423	0.4588640	0.7155871	1.0395712
0.2213796	1.0378071	0.9984890	0.0183861	0.4919925	0.2548029	0.5174634	0.3481274	0.6931839	0.9304284
0.2628877	0.9828687	0.9251512	0.0129628	0.5531219	0.5311320	0.2513630	0.3907712	0.6974248	1.0564890
0.2237405	1.0010137	0.8954493	0.0192600	0.5187780	0.4575298	0.5072543	0.1792431	0.6870043	0.9878868
0.2537350	1.0264370	0.9535354	0.0237666	0.5233299	0.5113335	0.5719417	0.3802875	0.4481876	0.9892073
0.2558583	1.0074159	0.9635153	0.0149696	0.7478182	0.7491720	0.3242673	0.7058346	0.7419621	0.5393019
