alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	1.0009216	0.8890936	0.0200470	0.5111762	0.4846874	0.5480094	0.4065779	0.7418619	1.0448660
0.9938692	0.0000000	0.0613887	0.0091021	0.3524175	0.4805846	0.6204256	0.3422342	0.0676715	1.0572060
0.2537913	1.0334203	0.0000000	0.0140497	0.4696161	0.5009846	0.5483772	0.3226732	0.7231068	1.0072647
0.2240478	1.0647481	1.0410029	0.0000000	0.5539085	0.5012737	0.5515949	0.3926134	0.7754513	1.0253201
0.2006139	1.0594189	0.9606038	0.0224203	0.0000000	0.5846615	0.5222961	0.3630283	0.7744497	0.9852852
0.3116982	0.9966743	0.9054303	0.0063984	0.5198951	0.0000000	0.5067536	0.4351981	0.6535249	1.0218525
0.2716524	1.0716994	1.0307764	0.0163441	0.5080166	0.5053297	0.0000000	0.3635839	0.6738396	1.0214312
0.2156447	1.0682657	0.9732846	0.0144128	0.4893717	0.5395111	0.5495109	0.0000000	0.7122427	1.1222409
0.2109429	1.0120545	0.9510444	0.0135108	0.5603436	0.4742801	0.5225951	0.4199005	0.0000000	0.9405220
0.2235405	0.9808774	0.9761219	0.9836728	0.9243274	1.1103008	0.0190292	1.1368384	0.9897295	0.0000000
